food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
122465,21592,Aegean,1/4 baked personal pizza - 73 g,207,10,4.6,0,23,472.1,20.3,2.1,0,9,15,15,20,13,0,0,0
122466,21592,Big Kahuna,1/4 baked personal pizza - 91 g,205,9.4,4.4,0,24.5,468,20.1,1,1.6,9.6,12,8,18,7,0,0,0
122467,21592,Earthborn,1/4 baked personal pizza - 117 g,198,9.3,4,0,19.1,477,20.2,1.8,0.9,8.4,32,12,18,9,0,0,0
122468,21592,Five Cheese,1/4 baked personal pizza - 58 g,180,8.7,4.2,0,21,284.3,16.6,0.7,0,8,3,5,19,7,0,0,0
122469,21592,Fresh Jalapeno Burn (Beef),1/4 baked personal pizza - 105 g,218,11,4.9,0,24.2,527,19.7,1.6,0.8,9.6,11,7,18,10,0,0,0
122470,21592,Fresh Jalapeno Burn (Chicken),1/4 baked personal pizza - 105 g,199,8.8,3.9,0,23.2,553.5,19.7,1.6,0.7,10.3,11,7,18,9,0,0,0
122471,21592,Fresh Jalapeno Burn (Sausage),1/4 baked personal pizza - 105 g,221,11.1,4.8,0,25.9,526.4,19.7,1.6,0.8,10.1,11,7,18,10,0,0,0
122472,21592,Garlic Chicken w/ Smoked Bacon,1/4 baked personal pizza - 79 g,179,7.9,3.6,0,20.7,341.1,17.9,1.1,0.5,8.5,14,7,16,7,0,0,0
122473,21592,Little Nell's Chicken BBQ,1/4 baked personal pizza - 68 g,180,8,3.5,0,20,440,18,1,1,9,2,4,15,6,0,0,0
122474,21592,Magellan,1/4 baked personal pizza - 66 g,210,11,4.5,0,25,420,17,1,1,9,10,10,15,10,0,0,0
122475,21592,Margherita,1/4 baked personal pizza - 67 g,152,6.2,2.5,0,11.8,303.7,17.6,0.9,0,5.9,9,6,12,6,0,0,0
122476,21592,Mediterranean,1/4 baked personal pizza - 82 g,190,9.4,4.5,0,23,357.1,17.6,1.7,0,8.3,12,14,20,10,0,0,0
