menu_id,menu_name,restaurant_id
21592,N-N-W's Baked Personal Pizzas,1211
21593,Nick-N-Willy's Medium Pizzas,1211
21594,Nick-N-Willy's Large Pizzas,1211
21595,Nick-N-Willy's Family Pizzas,1211
21596,Nick-N-Willy's Liv-N-Lite Pizzas,1211
21597,Nick-N-Willy's Side Salads,1211
21598,Nick-N-Willy's Entree Salads,1211
21599,Nick-N-Willy's Family Salads,1211
21600,Nick-N-Willy's Baked Croutons,1211
21601,Nick-N-Willy's Salad Dressings,1211
21602,Nick-N-Willy's Cheese-N-Garlic Brd,1211
21603,Nick-N-Willy's Desserts,1211
