food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
123094,21650,"7"" Mini Pepperoni",1 pizza - 200 g,490,15,8,0,35,1010,63,10,4,25,0,10,35,25,0,0,0
123095,21650,"13"" Pepperoni Pizza",1/8 pizza - 105 g,260,9,4.5,0,20,600,30,5,2,14,0,8,20,10,0,0,0
123096,21650,"7"" Mini Combo Pizza",1 pizza - 274 g,620,25,11,0,55,1770,67,12,6,34,4,10,40,30,0,0,0
123097,21650,"13"" Combo Pizza",1/8 pizza - 134 g,360,20,8,0,40,1060,28,5,3,16,2,6,20,15,0,0,0
123098,21650,"7"" Mini Sausage Pizza",1 pizza - 215 g,540,17,9,0,40,1190,68,11,4,29,2,15,40,25,0,0,0
123099,21650,"13"" Sausage pizza",1/8 pizza - 108 g,260,9,4.5,0,20,600,30,5,2,14,0,8,20,10,0,0,0
123100,21651,"6"" Turkey Sub",1 sandwich - 143 g,290,7,3.5,0,40,810,38,0,2,17,0,4,8,10,0,0,0
123101,21651,"6"" Ham Sub",1 sandwich - 143 g,310,9,3.5,0,45,1250,37,0,3,24,0,4,10,15,0,0,0
123102,21651,"6"" Meatball Sub",1 sandwich - 199 g,520,29,12,0,75,1080,43,2,4,23,2,10,15,20,0,0,0
123103,21651,"6"" Italian Sub",1 sandwich - 143 g,500,30,12,0,75,1550,37,0,3,22,2,4,8,10,0,0,0
123104,21651,"6"" Cold Cut Combo",1 sandwich - 143 g,400,19,8,0,60,1280,38,0,2,19,2,4,8,10,0,0,0
123105,21651,"6"" Club Combo Sub",1 sandwich - 228 g,400,12,4,0,85,1780,39,0,2,34,0,4,10,15,0,0,0
123106,21651,"6"" Roast Beef Sub",1 sandwich - 143 g,340,10,4.5,0,55,880,37,0,3,24,0,4,10,15,0,0,0
123107,21651,"6"" BBQ Beef Sub",1 sandwich - 171 g,390,15,6,0,45,830,46,0,7,20,15,10,10,15,0,0,0
123108,21651,"6"" Taco Sub",1 sandwich - 171 g,490,26,11,0,60,950,43,2,3,24,0,10,15,20,0,0,0
123109,21652,"Ham, Egg & Cheese Croissnat",1 serving - 151 g,380,22,8,0,165,1190,28,1,5,17,2,20,10,10,0,0,0
123110,21652,"Sausage, Egg & Cheese Croissant",1 serving - 156 g,520,38,13,0,175,1060,28,1,5,16,0,20,15,10,0,0,0
123111,21652,"Ham, Egg & Cheese Biscuit",1 serving - 184 g,420,24,8,0,165,1710,33,1,3,19,2,8,15,15,0,0,0
123112,21652,"Sausage, Egg & Cheese Biscuit",1 serving - 180 g,560,39,13,0,175,1580,34,1,4,17,0,8,15,15,0,0,0
