menu_id,menu_name,restaurant_id
21653,"12"" Medium Pan Pizzas",1218
21654,"12"" Medium Thin 'N Crispy Pizzas",1218
21655,"12"" Medium Hand-Tossed Style Pizzas",1218
21656,"14"" Large Pan Pizzas",1218
21657,"14"" Large Thin 'N Crispy Pizzas",1218
21658,"14"" Large Hand-Tossed Style Pizzas",1218
21659,"14"" Large Stuffed Crust Pizzas",1218
21660,"16"" Full House XL Pizza™",1218
21661,"6"" Personal Pan Pizzas",1218
21662,"12"" Fit n' Delicious Pizza™",1218
21663,"14"" Fit n' Delicious Pizza™",1218
21664,Cheesy Bites Pizza,1218
21665,Appetizers,1218
21666,Dressings & Dipping Sauces,1218
21667,Desserts,1218
21668,Soft Drinks,1218
