food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
123242,21669,"12"" Medium Edge Pizza -Veggie",1 slice - 47 g,80,3,1.5,0,10,200,9,1,2,5,0,2,8,4,0,0,0
123243,21669,"12"" Medium Edge Pizza -The Works",1 slice - 56 g,110,5,2.5,0,15,290,9,1,2,6,0,2,8,6,0,0,0
123244,21669,"14"" Large Edge Pizza - Veggie",1 slice - 67 g,120,5,2.5,0,10,280,13,1,3,7,0,4,10,6,0,0,0
123245,21669,"12""Medium Edge Pizza -Meaty",1 slice - 49 g,170,7,3,0,20,390,9,1,2,8,0,2,8,6,0,0,0
123246,21669,"14"" Large Edge Pizza -The Works",1 slice - 78 g,150,7,3.5,0,20,410,13,1,3,9,0,2,10,8,0,0,0
123247,21669,"14"" Large Edge Pizza - Meaty",1 slice - 68 g,180,9,4,0,30,550,12,1,3,11,0,2,10,10,0,0,0
123248,21670,Cheese Only,1 square slice - 59 g,150,7,3.5,0,15,350,15,0,1,8,0,2,15,10,0,0,0
123249,21670,Veggie Lover's,1 square slice - 72 g,140,5,2.5,0,10,290,16,1,1,6,0,2,10,10,0,0,0
123250,21670,Pepperoni Only,1 square slice - 57 g,160,7,3,0,15,380,15,1,1,7,0,2,10,10,0,0,0
123251,21670,Triple Crown,1 square slice - 65 g,150,7,3,0,10,350,16,1,1,7,0,2,10,10,0,0,0
123252,21670,Hawaiian,1 square slice - 72 g,160,7,3.5,0,20,400,17,1,2,8,0,2,15,10,0,0,0
123253,21670,Canadian,1 square slice - 65 g,160,8,3.5,0,15,420,15,1,1,8,0,2,10,10,0,0,0
123254,21670,Supreme Lover's,1 square slice - 71 g,180,8,3.5,0,20,440,16,1,1,9,0,2,10,15,0,0,0
123255,21670,Pepperoni Lover's,1 square slice - 61 g,170,9,4,0,15,440,15,1,1,8,0,2,10,10,0,0,0
123256,21670,Meat Lover's,1 square slice - 70 g,180,9,4,0,20,500,16,1,1,9,0,2,10,15,0,0,0
123257,21671,"14"" Large Hand Tossed Pizza",1 slice - 92 g,230,8,4,0,20,610,26,1,2,12,0,3,20,15,0,0,0
123258,21671,"12"" Medium Hand Tossed Pizza",1 slice - 98 g,250,8,4.5,0,20,650,29,1,2,13,0,4,20,15,0,0,0
123259,21671,"14"" Large Thin 'N' Crispy Pizza",1 slice - 75 g,190,8,4,0,20,480,19,1,4,11,0,4,20,15,0,0,0
123260,21671,"12"" MediumThin 'N' Crispy Pizza",1 slice - 80 g,200,8,5,0,20,510,20,1,5,12,0,4,20,15,0,0,0
123261,21671,"14"" Large Pan Pizza",1 slice - 97 g,270,12,5,0,20,520,27,1,1,12,0,4,20,15,0,0,0
123262,21671,"12"" Medium Pan Pizza",1 slice - 106 g,280,13,5,0,20,570,29,1,1,13,0,4,20,20,0,0,0
123263,21671,"14"" Large Stuffed Crust Pizza",1 slice - 142 g,355,13,7,0,35,1050,37,2,3,20,0,5,35,15,0,0,0
123264,21671,"12"" Medium Stuffed Crust Pizza",1 slice - 140 g,350,13,7,0,35,1040,37,2,3,20,0,4,35,15,0,0,0
123265,21671,"6"" Personal Pan Pizza",individual pizza - 250 g,680,28,12,0,55,1350,71,3,3,32,0,5,60,25,0,0,0
123266,21672,"14"" MediumThin 'N' Crispy Pizza",1 slice - 72 g,190,8,4,0,20,510,18,1,4,10,0,2,15,20,0,0,0
123267,21672,"12"" Medium Hand Tossed Pizza",1 slice - 98 g,260,10,5,0,20,730,29,1,2,13,0,3,15,12,0,0,0
123268,21672,"14"" Large Hand Tossed Pizza",1 slice - 90 g,240,9,4,0,20,670,27,1,2,12,0,3,15,12,0,0,0
123269,21672,"12"" MediumThin 'N' Crispy Pizza",1 slice - 79 g,210,10,5,0,25,590,20,1,5,11,0,2,15,20,0,0,0
123270,21672,"14"" Large Pan Pizza",1 slice - 95 g,270,13,5,0,20,570,27,1,1,11,0,2,15,20,0,0,0
123271,21672,"12"" Medium Pan Pizza",1 slice - 105 g,290,14,5,0,20,610,29,1,1,12,0,2,15,20,0,0,0
123272,21672,"14"" Large Stuffed Crust Pizza",1 slice - 145 g,380,16,8,0,40,1170,37,2,3,20,0,4,30,15,0,0,0
