food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
123628,21698,Ranch Stix,1 piece,165,6.3,1,0,0,188,23,0,3,3,0,0,0,0,0,0,0
123629,21698,Ranch Stix,1 piece,218,10.6,4,0,7,270,25,0,1,7,0,0,0,0,0,0,0
123630,21698,Garlic Bread,1 piece,220,12,4,0,10,350,21,1,1,4,0,0,0,0,0,0,0
123631,21698,Garlic Bread,1 piece,288,17.7,8,0,28,456,12,1,1,8,0,0,0,0,0,0,0
123632,21698,Hot Wings,1 piece,111,9.7,3,0,33,283,1,0,1,5,0,0,0,0,0,0,0
123633,21698,Chicken Strips,1 piece,118,9.6,3,0,19,262,4,0,1,5,0,0,0,0,0,0,0
123634,21698,Popcorn Chicken,single - 5 oz,606,46,11.5,0,65,1217,26,3,5,22,0,0,0,0,0,0,0
123635,21698,Popcorn Chicken,family - 10 oz,1212,92,23,0,129,2434,52,6,11,44,0,0,0,0,0,0,0
123636,21699,Broasted Chicken Breast,1 piece,440,23,7,0,160,370,4,0,1,52,0,0,0,0,0,0,0
123637,21699,Broasted Chicken Thigh,1 piece,370,26,7,0,140,340,4,0,1,30,0,0,0,0,0,0,0
123638,21699,Broasted Chicken Leg,1 piece,190,12,3.5,0,80,180,2,0,0,18,0,0,0,0,0,0,0
123639,21699,Broasted Chicken Wing,1 piece,190,13,3.5,0,65,170,2,0,0,15,0,0,0,0,0,0,0
123640,21699,Potato Wedges,1 piece,60,0,0,0,0,110,13,1,1,2,0,0,0,0,0,0,0
123641,21700,Bacon Cheeseburger,1/8 slice,220,9,4,0,20,350,26,1,2,10,0,0,0,0,0,0,0
123642,21700,BBQ Beef,1/8 slice,220,8,3.5,0,25,250,28,1,4,10,0,0,0,0,0,0,0
123643,21700,BBQ Chicken,1/8 slice,210,6,3,0,25,210,27,1,3,10,0,0,0,0,0,0,0
123644,21700,Beef,1/8 slice,210,7,3.5,0,20,250,25,1,2,10,0,0,0,0,0,0,0
123645,21700,Bronco,1/8 slice,260,12,5,0,30,400,25,1,2,12,0,0,0,0,0,0,0
123646,21700,California Chicken,1/8 slice,250,12,4.5,0,25,240,26,1,2,10,0,0,0,0,0,0,0
123647,21700,Canadian Bacon,1/8 slice,200,7,3.5,0,25,290,25,1,2,10,0,0,0,0,0,0,0
123648,21700,Cheese,1/8 slice,220,8,4.5,0,25,190,25,1,2,10,0,0,0,0,0,0,0
123649,21700,Chicken Broccoli,1/8 slice,220,8,4,0,30,230,26,1,2,11,0,0,0,0,0,0,0
123650,21700,Garlic Cheese,1/8 slice,230,11,4,0,15,140,25,1,1,8,0,0,0,0,0,0,0
123651,21700,Italian Sausage,1/8 slice,220,9,4,0,25,230,25,1,1,10,0,0,0,0,0,0,0
123652,21700,Pepperoni,1/8 slice,220,9,4,0,25,270,25,1,1,10,0,0,0,0,0,0,0
123653,21700,Prairie,1/8 slice,210,7,3.5,0,20,240,26,1,2,8,0,0,0,0,0,0,0
123654,21700,Roundup,1/8 slice,230,10,4,0,25,300,26,2,2,10,0,0,0,0,0,0,0
