food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
123912,21723,Grande Cheese,1/8 pizza - 120 g,260,6,3,0,15,530,38,2,3,13,10,10,20,15,0,0,0
123913,21723,Grande Pepperoni,1/8 pizza - 159 g,410,20,9,0,60,1150,38,2,4,19,25,10,15,15,0,0,0
123914,21723,Thin Crust Cheese,1/8 pizza - 89 g,210,8,4,0,15,390,23,1,2,12,10,10,25,2,0,0,0
123915,21723,Thin Crust Pepperoni,1/8 pizza - 127 g,350,20,9,0,50,1040,23,1,2,20,25,10,25,6,0,0,0
123916,21724,Spring Veggie,1/8 pizza - 179 g,280,6,3.5,0,15,600,41,3,4,13,30,15,25,15,0,0,0
123917,21724,Garlic Spinaci,1/8 pizza - 171 g,300,10,5,0,20,500,40,3,3,15,20,30,25,20,0,0,0
123918,21724,Meat Magnifico,1/8 pizza - 187 g,490,25,10,0,65,1440,38,2,3,26,20,10,25,20,0,0,0
123919,21724,Hawaiian,1/8 pizza - 170 g,360,13,6,0,40,890,40,2,5,21,10,10,30,15,0,0,0
123920,21724,Deluxe,1/8 pizza - 183 g,390,16,7,0,45,1100,40,2,4,20,30,10,25,15,0,0,0
123921,21724,Chicken Spinaci,1/8 pizza - 171 g,330,11,4.5,0,35,480,39,3,3,20,15,20,25,20,0,0,0
123922,21724,Broccoli Chicken,1/8 pizza - 152 g,360,14,7,0,45,500,37,2,2,22,25,10,35,15,0,0,0
123923,21724,Philly Steak,1/8 pizza - 171 g,360,13,6,0,30,480,38,2,3,20,10,10,35,15,0,0,0
123924,21725,Italian,1 sandwich - 437 g,910,42,20,0,140,3410,77,4,2,54,30,20,50,30,0,0,0
123925,21725,Steak,1 sandwich - 468 g,970,46,22,0,130,1920,81,5,4,55,50,25,50,40,0,0,0
123926,21725,Ham,1 sandwich - 524 g,920,43,18,0,140,3150,81,5,4,52,40,30,50,35,0,0,0
123927,21725,Turkey,1 sandwich - 489 g,940,39,16,0,70,3560,81,4,5,66,15,20,50,25,0,0,0
123928,21725,Vegetarian,1 sandwich - 425 g,750,31,15,0,60,2110,83,6,5,34,60,30,50,35,0,0,0
123929,21725,Club,1 sandwich - 468 g,1020,50,20,0,130,3550,79,4,4,63,15,20,50,30,0,0,0
123930,21725,Chicken,1 sandwich - 454 g,900,38,16,0,115,2510,81,4,2,54,15,20,50,25,0,0,0
123931,21726,Chicken Caesar,1 plate - 257 g,220,4.5,1.5,0,100,120,4,2,2,38,35,40,8,15,0,0,0
123932,21726,Mediterranean,1 plate - 402 g,270,18,9,0,50,1060,20,6,12,13,230,70,40,20,0,0,0
123933,21726,Garden della Casa,1 plate - 345 g,190,10,4,0,15,580,16,5,8,12,120,60,30,15,0,0,0
123934,21726,Tuscany Chicken,1 plate - 430 g,350,16,6,0,95,650,15,5,8,38,120,60,35,25,0,0,0
123935,21726,Antipasta,1 plate - 439 g,630,50,18,0,80,2040,16,5,8,32,120,60,35,30,0,0,0
123936,21727,Pepperoni Sticks,2.5 slices - 147 g,470,26,9,0,50,1090,36,1,2,21,15,6,20,15,0,0,0
123937,21727,Bread Sticks,2 slices - 79 g,230,8,1.5,0,0,290,35,1,2,5,0,2,2,10,0,0,0
123938,21727,Bruschetta,1 slice - 69 g,150,8,2.5,0,8,315,14,1,0.5,7,8,6,11,5,0,0,0
123939,21727,Wings - Buffalo,10 wings - 307 g,560,39,8,0,235,2410,3,0,2,47,0,25,0,0,0,0,0
123940,21727,Wings - BBQ,10 wings - 307 g,610,33,8,0,235,2030,26,0,17,47,0,4,0,4,0,0,0
123941,21727,Wings - Garlic,10 wings - 307 g,980,85,17,0,235,2550,5,1,2,47,0,15,0,0,0,0,0
123942,21728,Italian,1 package - 43 g,200,21,3,0,0,410,4,0,3,0,0,0,0,0,0,0,0
123943,21728,Fat-free Italian,1 package - 43 g,20,0,0,0,0,700,5,1,3,0,0,0,0,0,0,0,0
123944,21728,Ranch,1 package - 43 g,260,28,4,0,10,240,2,0,2,1,0,0,4,0,0,0,0
123945,21728,Blue Cheese,1 package - 43 g,230,25,4.5,0,25,380,2,0,2,1,0,0,2,0,0,0,0
123946,21728,Caesar,1 package - 43 g,210,23,3.5,0,0,420,2,0,2,1,0,2,2,0,0,0,0
123947,21728,Greek,1 package - 43 g,220,24,3.5,0,0,190,1,0,1,0,0,0,2,0,0,0,0
123948,21728,Croutons,1 package - 7 g,30,1,0,0,0,105,5,0,0,1,0,0,0,2,0,0,0
