food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
125175,21814,Chicken Wrap,,548,12.1,0,0,0,823,81.4,7,0,27.7,0,0,0,0,0,0,0
125176,21814,Beef Wrap,,566,12.8,0,0,0,652,81.1,7,0,29.8,0,0,0,0,0,0,0
125177,21814,Meatball Wrap,,542,14,0,0,0,1108,86.5,8,0,18.4,0,0,0,0,0,0,0
125178,21814,Falafel Wrap,,625,18.1,0,0,0,1300,96,11,0,18.7,0,0,0,0,0,0,0
125179,21814,Veggie Wrap,,466,8.6,0,0,0,629,81.7,8,0,14.5,0,0,0,0,0,0,0
125180,21814,Chicken Wrap,,583,12.4,0,0,0,863,88.2,8,0,29.5,0,0,0,0,0,0,0
125181,21814,Beef Wrap,,601,13.1,0,0,0,692,87.9,8,0,31.6,0,0,0,0,0,0,0
125182,21814,Meatball Wrap,,577,14.3,0,0,0,1148,93.3,9,0,20.2,0,0,0,0,0,0,0
125183,21814,Falafel Wrap,,660,18.4,0,0,0,1340,102.8,12,0,20.5,0,0,0,0,0,0,0
125184,21814,Veggie Wrap,,501,8.9,0,0,0,669,88.5,9,0,16.3,0,0,0,0,0,0,0
125185,21815,Chicken Caesar,,588,48,0,0,0,1499,51,7,0,27,0,0,0,0,0,0,0
125186,21815,Chicken Ranch,,539,27,0,0,0,1002,53,7,0,24,0,0,0,0,0,0,0
125187,21815,Singapore Chicken,,586,20,0,0,0,899,76,8,0,26,0,0,0,0,0,0,0
125188,21815,Mexi Beef,,606,23,0,0,0,869,53,7,0,46,0,0,0,0,0,0,0
125189,21815,Chicken Souvlaki,,489,18,0,0,0,947,54,7,0,31,0,0,0,0,0,0,0
125190,21815,Go Veggie,,541,26,0,0,0,999,61,7,0,18,0,0,0,0,0,0,0
125191,21816,Philly Cheese,,767,37,0,0,0,1311,58,3,0,50,0,0,0,0,0,0,0
125192,21816,Southwest Chicken,,680,32,0,0,0,1451,58,3,0,42,0,0,0,0,0,0,0
125193,21816,Chicken Club,,786,41,0,0,0,1789,60,3,0,45,0,0,0,0,0,0,0
125194,21816,Chicken Cordon Bleu,,714,32,0,0,0,1926,60,9,0,44,0,0,0,0,0,0,0
125195,21817,Chicken Box,regular,295,3.4,0,0,0,224,44.6,2,0,18.3,0,0,0,0,0,0,0
125196,21817,Beef Box,regular,313,4.1,0,0,0,53,44.6,2,0,20.4,0,0,0,0,0,0,0
125197,21817,Veggie Box,regular,231,0.4,0,0,0,54,48.6,4,0,5.5,0,0,0,0,0,0,0
125198,21817,Chicken Box,regular,330,3.7,0,0,0,264,51.4,3,0,20.1,0,0,0,0,0,0,0
125199,21817,Beef Box,regular,348,4.4,0,0,0,93,51.4,3,0,22.2,0,0,0,0,0,0,0
125200,21817,Veggie Box,regular,266,0.7,0,0,0,94,55.4,5,0,7.3,0,0,0,0,0,0,0
125201,21817,Chicken Box,large,463,5,0,0,0,341,74,4,0,28,0,0,0,0,0,0,0
125202,21817,Beef Box,large,490,6.1,0,0,0,84,74,4,0,32,0,0,0,0,0,0,0
125203,21817,Veggie Box,large,358,0.6,0,0,0,75,78,5,0,8.4,0,0,0,0,0,0,0
125204,21817,Chicken Box,large,533,5.5,0,0,0,420,87.5,5,0,31.6,0,0,0,0,0,0,0
125205,21817,Beef Box,large,560,6.6,0,0,0,163,87.5,5,0,35.6,0,0,0,0,0,0,0
125206,21817,Veggie Box,large,428,1.1,0,0,0,154,91.5,6,0,12,0,0,0,0,0,0,0
125207,21818,Chicken,16 oz,128,2.2,0,0,0,1077,17.6,1,0,9.8,0,0,0,0,0,0,0
125208,21818,Beef,16 oz,137,2.5,0,0,0,992,17.4,1,0,10.8,0,0,0,0,0,0,0
125209,21818,Veggie,16 oz,155,2.5,0,0,0,1013,21.2,2,0,11.5,0,0,0,0,0,0,0
125210,21818,Chicken,,163,2.5,0,0,0,1117,24.4,2,0,11.6,0,0,0,0,0,0,0
125211,21818,Beef,,172,2.8,0,0,0,1032,24.2,2,0,12.6,0,0,0,0,0,0,0
125212,21818,Veggie,,190,2.8,0,0,0,1053,28,3,0,13.3,0,0,0,0,0,0,0
125213,21818,Beef,32 oz,437,5.3,0,0,0,1984,70.8,3,0,24.9,0,0,0,0,0,0,0
125214,21818,Chicken,32 oz,419,4.6,0,0,0,2154,71.7,3,0,22.8,0,0,0,0,0,0,0
125215,21818,Veggie,32 oz,396,3.5,0,0,0,1084,72.7,4,0,17.4,0,0,0,0,0,0,0
125216,21818,Beef,,507,5.8,0,0,0,2063,84.3,4,0,28.5,0,0,0,0,0,0,0
125217,21818,Chicken,,489,5.1,0,0,0,2233,85.2,4,0,26.4,0,0,0,0,0,0,0
125218,21818,Veggie,,466,4,0,0,0,1163,86.2,5,0,21,0,0,0,0,0,0,0
125219,21819,Chicken Sub,,721,12,0,0,0,705,106.6,9,0,46,0,0,0,0,0,0,0
125220,21819,Beef Sub,,807,20.3,0,0,0,363,106.1,9,0,50.4,0,0,0,0,0,0,0
125221,21819,Ham Sub,,759,20.3,0,0,0,1783,110.3,10,0,37.5,0,0,0,0,0,0,0
125222,21819,Meatball Sub,,709,15.8,0,0,0,1275,116.9,10,0,27.5,0,0,0,0,0,0,0
125223,21819,Club Sub,,853,23.1,0,0,0,1418,108.9,9,0,48.8,0,0,0,0,0,0,0
125224,21819,Veggie & Cheese Sub,,670,15.3,0,0,0,497,106.5,9,0,25.9,0,0,0,0,0,0,0
125225,21820,Teriyaki,,36,0,0,0,0,540,9,0,0,0.4,0,0,0,0,0,0,0
125226,21820,Thai,,51,1.5,0,0,0,294,9,0,0,0.6,0,0,0,0,0,0,0
125227,21820,Tyaki,,43,0.8,0,0,0,417,9,0,0,0.5,0,0,0,0,0,0,0
125228,21820,Szechwan,,24,0.9,0,0,0,292,3.4,0,0,0.6,0,0,0,0,0,0,0
125229,21820,Honey Garlic,,81,0,0,0,0,104,21.5,0,0,0.1,0,0,0,0,0,0,0
125230,21820,BBQ,,37,0,0,0,0,235,9.3,0,0,0,0,0,0,0,0,0,0
125231,21820,BBQ Ranch,,86,7,0,0,0,234,5.5,0,0,0,0,0,0,0,0,0,0
125232,21820,Curry,,33,0.5,0,0,0,270,6,0,0,0.5,0,0,0,0,0,0,0
125233,21820,Orange Ginger,,45,1,0,0,0,312,11.2,0,0,0.2,0,0,0,0,0,0,0
125234,21820,Pineapple Curry,,47,0,0,0,0,189,11.7,0,0,0,0,0,0,0,0,0,0
125235,21820,Jerk,,20,1,0,0,0,567,2.2,0,0,0.2,0,0,0,0,0,0,0
125236,21820,Cajun,,18,0,0,0,0,246,4.2,0,0,0.2,0,0,0,0,0,0,0
125237,21821,Chicken,,82,3,0,0,0,191,0.3,0,0,13.6,0,0,0,0,0,0,0
125238,21821,Beef,,100,3.7,0,0,0,20,0,0,0,15.7,0,0,0,0,0,0,0
125239,21821,Ham,,91,4.8,0,0,0,730,2.1,1,0,9.3,0,0,0,0,0,0,0
125240,21821,Meatballs,,76,4.9,0,0,0,476,5.4,1,0,4.3,0,0,0,0,0,0,0
125241,21821,Bacon,2 slices,83,7,0,0,0,240,0,0,0,5,0,0,0,0,0,0,0
125242,21821,Falafel,,192,10,0,0,0,736,20,5,0,5.6,0,0,0,0,0,0,0
125243,21821,Cheddar,1 oz,113,9.3,0,0,0,174,0.4,0,0,7,0,0,0,0,0,0,0
125244,21821,Jack,1 oz,110,9,0,0,0,190,0,0,0,7,0,0,0,0,0,0,0
125245,21821,Shredded Marble,1 oz,93,6.9,0,0,0,175,0.6,0,0,7,0,0,0,0,0,0,0
125246,21822,Mayonnaise,1 tbsp,110,12,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
