food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
125257,21823,Plain Bagel,,265,1.1,0.2,0,0,451,52,2.6,6.1,11.8,0,0,0,0,0,0,0
125258,21823,Wholemeal,,237,1.4,0.3,0,0,432,43.5,8,6.8,12.5,0,0,0,0,0,0,0
125259,21823,Granary,,262,1.1,0.2,0,0,455,52.2,4.1,8.2,10.8,0,0,0,0,0,0,0
125260,21823,Onion Multiseed,,271,2.5,0.5,0,0,760,50.7,3.8,7.2,11.4,0,0,0,0,0,0,0
125261,21823,Rye,,254,1.2,0.2,0,0,457,49.7,4.8,7.5,11.2,0,0,0,0,0,0,0
125262,21823,Poppy,,273,1.7,0.3,0,0,459,52.4,3.3,8.7,12,0,0,0,0,0,0,0
125263,21823,Sesame,,263,2,0.4,0,0,486,48.9,4.6,8,12.3,0,0,0,0,0,0,0
125264,21823,Cheese,,274,4,2.7,0,0,439,46.9,3.1,7.2,12.5,0,0,0,0,0,0,0
125265,21823,Energy Bar,,267,3.5,0.5,0,0,375,49.6,5.2,13,9.2,0,0,0,0,0,0,0
125266,21823,Cinnamon Raisin,,265,1.1,0.2,0,0,403,52.2,2.4,10,11.6,0,0,0,0,0,0,0
125267,21823,Honey Sunflower,,294,4.4,0.5,0,0,390,51.1,2.8,7.4,12.5,0,0,0,0,0,0,0
125268,21823,Health Seed,,278,2.3,0.3,0,0,469,50.1,3.8,8.1,14.3,0,0,0,0,0,0,0
125269,21823,Bran,,262,1.5,0.2,0,0,0.5,52.8,3.4,4.5,9.5,0,0,0,0,0,0,0
125270,21823,Pretzel Bagel,,316.8,6.5,2.4,0,0,856.7,53.6,3.5,5.7,10.9,0,0,0,0,0,0,0
125271,21824,Ham,,60.5,1.7,0.4,0,0,209,0.1,0,0,11.3,0,0,0,0,0,0,0
125272,21824,Turkey,,65.5,0.8,0.8,0,0,825,0.9,13.8,0,13.8,0,0,0,0,0,0,0
125273,21824,Crisp Bacon,,156.4,12.3,2,0,0,672.6,0.8,1.4,0.2,10.6,0,0,0,0,0,0,0
125274,21824,Grilled Chicken,,41.6,0.3,0.1,0,0,124.4,0.6,0,0.2,9,0,0,0,0,0,0,0
125275,21824,Cumberland Sausages,,130.5,9.4,3.6,0,0,500,4.6,0.2,0.6,7.1,0,0,0,0,0,0,0
125276,21824,Salt Beef,,66.5,2.8,1.1,0,0,115,1.2,0.2,0.1,9.3,0,0,0,0,0,0,0
125277,21825,Tuna Flakes,,49.5,0.3,0.1,0,0,150,0,0,0,11.8,0,0,0,0,0,0,0
125278,21825,Smoked Salmon,,73.8,3.6,1.4,0,0,756,0.1,0,0.1,10.4,0,0,0,0,0,0,0
125279,21826,Butter,,153.5,4.1,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125280,21826,Flora ProActiv,,26.6,3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125281,21826,Strawberry Jam,,78.9,0,0,0,0,8.1,19.6,0.2,19.6,0.1,0,0,0,0,0,0,0
125282,21826,Marmalade,,122.9,0,0,0,0,0,30.6,0.2,30.6,0.1,0,0,0,0,0,0,0
125283,21826,Honey,,68.4,0,0,0,0,3.3,22.9,0,22.9,0.1,0,0,0,0,0,0,0
125284,21826,Marmite,,32.9,0,0,0,0,0.5,2.9,0.5,0.1,5.8,0,0,0,0,0,0,0
125285,21826,Peanut Butter,,177.6,15.5,3.1,0,0,0.1,6.3,2,3.3,6.7,0,0,0,0,0,0,0
125286,21826,Nutella,,159.9,9.3,4,0,0,101.7,17.1,0.2,15.1,2,0,0,0,0,0,0,0
125287,21826,Banana,,47.5,0.2,0,0,0,0.1,11.6,0.6,8,0.6,0,0,0,0,0,0,0
125288,21826,Full Fat Cream Cheese,,155.5,13.5,9.5,0,0,0.4,0,0,0,8.5,0,0,0,0,0,0,0
125289,21826,Low Fat Cream Cheese,,96,8,5.5,0,0,0.4,0,0,0,6,0,0,0,0,0,0,0
125290,21826,Houmous,,113.3,7.3,1.1,0,0,0.3,6.7,2.6,0.3,5.3,0,0,0,0,0,0,0
125291,21826,Guacamole,,75,6.7,0.9,0,0,225,3.4,1.7,1.7,0,0,0,0,0,0,0,0
125292,21826,Cheddar Cheese,,153.2,12.4,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0,0
125293,21826,EmmentalSwiss,,150.8,11.4,3.6,0,0,280.4,0,0,0.1,11.6,0,0,0,0,0,0,0
125294,21826,Mozzarella,,100,8.2,2.1,0,0,53.6,0.8,0,0,5.8,0,0,0,0,0,0,0
125295,21826,Shaved Parmesan,,76.2,6,3.8,0,0,133.8,0.7,0,0.8,7,0,0,0,0,0,0,0
125296,21826,Dill Mayo,,616.8,66,5.2,0,0,447,4.3,0.2,3.3,1.4,0,0,0,0,0,0,0
125297,21827,Tomato,,4,0.1,0,0,0,2.3,0.8,0.3,0.8,0.2,0,0,0,0,0,0,0
125298,21827,Cucumber,,1.6,0,0,0,0,0.5,0.2,0.1,0.2,0.1,0,0,0,0,0,0,0
125299,21827,Gherkins,,7,0.1,0,0,0,73.6,1.4,0,0.1,0,0,0,0,0,0,0,0
125300,21827,Red Onion,,0.4,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0
125301,21827,Spinach,,0.4,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0
125302,21827,Rocket,,1,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0
125303,21827,Mixed Leaves,,0.6,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
125304,21827,Crunchy Peppers,,10.5,0.1,0,0,0,7.5,2.4,0.7,2.2,0.2,0,0,0,0,0,0,0
125305,21827,Sweet Pepper,,27.8,0,0,0,0,40,5.6,0.4,5.5,0.2,0,0,0,0,0,0,0
125306,21827,Sun Sweet Tomato,,46.4,3.8,0.3,0,0,76,3.5,1.2,2.8,0.6,0,0,0,0,0,0,0
125307,21827,Portobello Mushrooms,,2.1,0.1,0,0,0,0.8,0.1,0.2,0,0.3,0,0,0,0,0,0,0
125308,21828,Caesar Mayo,,62,6.5,0.7,0,0,38.1,0.2,0,0.1,0.7,0,0,0,0,0,0,0
125309,21828,1000 Island Dressing,,114.4,10.4,1.8,0,0,308.8,0.9,0,0.8,0.3,0,0,0,0,0,0,0
125310,21828,Honey Mustard Dressing,,124.2,13.1,0.9,0,0,72.6,1.1,0.1,0.9,0.5,0,0,0,0,0,0,0
125311,21828,Cranberry Sauce,,65.1,0,1.1,0,0,0.3,17.3,1.6,0.7,0.1,0,0,0,0,0,0,0
125312,21828,Hellmanns Light Mayo,,45,4.5,0.3,0,0,0.1,1,0,0.3,0.1,0,0,0,0,0,0,0
125313,21828,Ketchup,,16.1,0,1.1,0,0,0.2,3.7,0.1,3.5,0.2,0,0,0,0,0,0,0
125314,21828,H. P Sauce,,17.9,0,1.1,0,0,0.2,4.1,0.2,3.4,0.2,0,0,0,0,0,0,0
125315,21828,Mustard,,11,0.6,0,0,0,152.5,0.8,0.5,0.4,0.6,0,0,0,0,0,0,0
125316,21828,Pesto,,69.3,7,0.7,0,0,133.5,0.3,0.2,0.3,1.3,0,0,0,0,0,0,0
125317,21828,Sweet Chilli Sauce,,39,0,1.1,0,0,245.2,9.6,0.1,4.4,0.1,0,0,0,0,0,0,0
