food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
125318,21829,Apple Cinnamon,1/2 bagel - 70 g,166,1,0,0,0,236,35,2,3,6,0,0,0,0,0,0,0
125319,21829,Banana Nut,1/2 bagel - 70 g,170,1,0,0,0,230,34,2,2,6,0,0,0,0,0,0,0
125320,21829,Blueberry,1/2 bagel - 70 g,165,1,0,0,0,241,34,2,1,6,0,0,0,0,0,0,0
125321,21829,Cheddar Herb,1/2 bagel - 70 g,176,3,2,0,8,302,30,1,1,7,0,0,0,0,0,0,0
125322,21829,Chocolate Chip,1/2 bagel - 70 g,174,1,1,0,0,236,34,2,2,6,0,0,0,0,0,0,0
125323,21829,Cinnamon Raisin,1/2 bagel - 70 g,168,1,0,0,0,232,35,2,1,6,0,0,0,0,0,0,0
125324,21829,Cinnamon Sugar,1/2 bagel - 70 g,175,1,0,0,0,241,37,1,1,6,0,0,0,0,0,0,0
125325,21829,Cranberry Walnut,1/2 bagel - 70 g,176,1,0,0,0,235,36,2,3,6,0,0,0,0,0,0,0
125326,21829,Egg,1/2 bagel - 70 g,164,1,0,0,2,246,33,1,1,6,0,0,0,0,0,0,0
125327,21829,Everything,1/2 bagel - 70 g,168,1,0,0,0,389,34,2,1,6,0,0,0,0,0,0,0
125328,21829,Garlic,1/2 bagel - 70 g,165,1,0,0,0,246,34,2,1,6,0,0,0,0,0,0,0
125329,21829,Honey Oat,1/2 bagel - 70 g,160,1,0,0,0,223,34,1,1,6,0,0,0,0,0,0,0
125330,21829,Jalapeno,1/2 bagel - 70 g,175,3,2,0,8,344,30,1,1,7,0,0,0,0,0,0,0
125331,21829,Onion,1/2 bagel - 70 g,168,1,0,0,0,246,35,2,1,6,0,0,0,0,0,0,0
125332,21829,Plain,1/2 bagel - 70 g,167,1,0,0,0,251,34,2,1,6,0,0,0,0,0,0,0
125333,21829,Poppy,1/2 bagel - 70 g,172,1,0,0,0,245,34,2,1,6,0,0,0,0,0,0,0
125334,21829,Pumpernickel,1/2 bagel - 70 g,166,1,0,0,0,246,34,2,1,6,0,0,0,0,0,0,0
125335,21829,Salt,1/2 bagel - 70 g,162,1,0,0,0,968,33,1,1,6,0,0,0,0,0,0,0
125336,21829,Sesame,1/2 bagel - 70 g,179,2,0,0,0,238,33,2,1,7,0,0,0,0,0,0,0
125337,21829,Spinach,1/2 bagel - 70 g,178,1,0,0,0,137,36,2,1,7,0,0,0,0,0,0,0
125338,21829,Strawberry,1/2 bagel - 70 g,171,1,0,0,0,235,36,2,2,6,0,0,0,0,0,0,0
125339,21829,Tomato Basil,1/2 bagel - 70 g,161,1,0,0,0,280,33,2,1,6,0,0,0,0,0,0,0
125340,21829,Vegetable,1/2 bagel - 70 g,159,1,0,0,0,241,33,2,1,6,0,0,0,0,0,0,0
125341,21829,Wheat,1/2 bagel - 70 g,165,1,0,0,0,238,34,2,1,6,0,0,0,0,0,0,0
125342,21830,Blueberry Cobbler,1/2 bagel - 70 g,196,4,2,0,6,220,35,1,2,5,0,0,0,0,0,0,0
125343,21830,Cheddar Nacho,1/2 bagel - 70 g,176,3,2,0,8,351,30,2,1,7,0,0,0,0,0,0,0
125344,21830,Cinnamon Apple Pie,1/2 bagel - 70 g,193,4,2,0,6,210,34,1,2,5,0,0,0,0,0,0,0
125345,21830,Cinnamon Bun,1/2 bagel - 70 g,200,4,2,0,6,220,35,1,2,5,0,0,0,0,0,0,0
125346,21830,Cinnamon Danish,1/2 bagel - 70 g,198,4,2,0,6,214,36,2,1,5,0,0,0,0,0,0,0
125347,21830,French Toast,1/2 bagel - 70 g,186,2,0,0,2,232,37,1,2,6,0,0,0,0,0,0,0
125348,21830,Quiche Lorraine,1/2 bagel - 70 g,177,4,2,0,10,125,27,1,1,8,0,0,0,0,0,0,0
125349,21830,Strawberry White Chocolate,1/2 bagel - 70 g,182,2,1,0,0,239,36,2,4,6,0,0,0,0,0,0,0
125350,21830,Swiss Melt,1/2 bagel - 70 g,184,4,2,0,10,235,29,1,1,9,0,0,0,0,0,0,0
125351,21830,White Chocolate Swirl,1/2 bagel - 70 g,198,4,2,0,6,224,35,1,2,5,0,0,0,0,0,0,0
125352,21831,Blueberry,1 bagel - 113 g,320,1.5,0,0,0,520,66,2,8,11,0,0,0,0,0,0,0
125353,21831,Cinnamon Raisin,1 bagel - 113 g,310,1,0,0,0,500,66,3,13,11,0,0,0,0,0,0,0
125354,21831,Honey Grain,1 bagel - 113 g,310,3,0,0,0,330,61,4,5,11,0,0,0,0,0,0,0
125355,21831,Plain,1 bagel - 113 g,310,1,0,0,0,530,64,2,9,11,0,0,0,0,0,0,0
125356,21831,Russian Black Bread,1 bagel - 113 g,320,1,0,0,0,500,67,4,8,11,0,0,0,0,0,0,0
125357,21831,Sour Dough,1 bagel - 113 g,310,1,0,0,0,540,64,2,9,11,0,0,0,0,0,0,0
125358,21831,Whole Wheat,1 bagel - 113 g,310,1.5,0,0,0,470,66,5,7,12,0,0,0,0,0,0,0
125359,21832,Fat Free Blueberry,2 mini muffins - 55 g,108,0,0,0,0,192,26,1,12,2,0,0,0,0,0,0,0
125360,21832,Fat Free Cherry Pie,2 mini muffins - 55 g,109,0,0,0,0,188,26,0,14,2,0,0,0,0,0,0,0
125361,21832,Fat Free Chocolate Eclair,2 mini muffins - 55 g,120,0,0,0,0,221,28,1,17,2,0,0,0,0,0,0,0
125362,21832,Fat Free Chocolate Marble,2 mini muffins - 55 g,125,0,0,0,0,256,29,1,15,2,0,0,0,0,0,0,0
125363,21832,Fat Free Cinnamon Bun,2 mini muffins - 55 g,168,0,0,0,0,176,42,0,11,1,0,0,0,0,0,0,0
125364,21832,Fat Free Raspberry Amaretto,2 mini muffins - 55 g,127,0,0,0,0,186,31,1,18,2,0,0,0,0,0,0,0
125365,21833,Banana Nut,2 mini muffins - 55 g,195,11,2,0,21,121,21,1,12,4,0,0,0,0,0,0,0
125366,21833,Blueberry,2 mini muffins - 55 g,168,8,2,0,24,136,22,0,12,2,0,0,0,0,0,0,0
125367,21833,Blueberry Cheesecake,2 mini muffins - 55 g,199,12,5,0,38,145,20,0,9,3,0,0,0,0,0,0,0
125368,21833,Boston Cream Pie,2 mini muffins - 55 g,176,7,2,0,22,144,26,0,17,2,0,0,0,0,0,0,0
125369,21833,Cherry Cheesecake,2 mini muffins - 55 g,170,10,4,0,30,124,19,0,10,2,0,0,0,0,0,0,0
125370,21833,Chocolate Cheesecake,2 mini muffins - 55 g,202,12,5,0,20,133,22,0,11,2,0,0,0,0,0,0,0
125371,21833,Chocolate Chip,2 mini muffins - 55 g,211,11,3,0,25,142,27,1,16,3,0,0,0,0,0,0,0
125372,21833,Cinnamon Crumb Cake,2 mini muffins - 55 g,212,13,5,0,37,135,21,0,11,3,0,0,0,0,0,0,0
125373,21833,Cinnamon Swirl Cheesecake,2 mini muffins - 55 g,214,11,3,0,25,142,28,0,15,2,0,0,0,0,0,0,0
125374,21833,Deep Dish Apple Pie,2 mini muffins - 55 g,177,8,2,0,19,113,25,0,14,2,0,0,0,0,0,0,0
125375,21833,Double Chocolate,2 mini muffins - 55 g,201,9,3,0,0,139,28,1,17,2,0,0,0,0,0,0,0
125376,21833,Golden Corn Bread,2 mini muffins - 55 g,197,9,2,0,24,135,26,1,12,3,0,0,0,0,0,0,0
125377,21833,Lemon Poppyseed,2 mini muffins - 55 g,201,10,3,0,28,161,25,0,14,3,0,0,0,0,0,0,0
125378,21833,Pumpkin Spice,2 mini muffins - 55 g,181,8,3,0,23,128,26,0,10,2,0,0,0,0,0,0,0
125379,21834,Plain Lite,2 tbsp - 30 g,70,5,3,0,15,125,3,0,1,2,0,0,0,0,0,0,0
125380,21834,Garden Vegetable Lite,2 tbsp - 30 g,60,5,3,0,20,180,1,1,1,3,0,0,0,0,0,0,0
125381,21834,Strawberry Lite,2 tbsp - 30 g,80,6,3,0,15,110,6,0,0,2,0,0,0,0,0,0,0
125382,21834,Santa Fe Vegetable Lite,2 tbsp - 30 g,60,4,2.5,0,15,125,4,0,2,2,0,0,0,0,0,0,0
125383,21835,Soft/Plain,2 tbsp - 30 g,100,10,6,0,30,100,2,0,1,2,0,0,0,0,0,0,0
125384,21835,Very Berry,2 tbsp - 30 g,120,11,6,0,30,90,4,0,2,1,0,0,0,0,0,0,0
125385,21835,Onion Chive,2 tbsp - 30 g,100,10,7,0,20,140,2,0,1,2,0,0,0,0,0,0,0
125386,21835,Honey Cinnamon,2 tbsp - 30 g,130,12,8,0,30,75,3,0,3,2,0,0,0,0,0,0,0
125387,21835,Nutty Honey,2 tbsp - 30 g,100,9,6,0,25,85,5,0,5,1,0,0,0,0,0,0,0
125388,21835,Hickory Cheddar,2 tbsp - 30 g,140,12,6,0,40,290,5,0,2,2,0,0,0,0,0,0,0
125389,21835,Garden Vegetable,2 tbsp - 30 g,100,10,6,0,20,160,1,1,1,2,0,0,0,0,0,0,0
125390,21836,Turkey,10.1 oz,465,3,0,0,61,1567,77,4,1,32,0,0,0,0,0,0,0
125391,21836,Roast Beef,10.1 oz,480,6,2,0,46,1689,77,4,1,29,0,0,0,0,0,0,0
125392,21836,Ham,10.1 oz,495,9,3,0,53,1734,77,4,1,27,0,0,0,0,0,0,0
125393,21836,Tuna,10.1 oz,547,14,2,0,29,1039,77,4,1,27,0,0,0,0,0,0,0
125394,21837,Classic Turkey,10.1 oz,552,14,2,0,66,1450,74,4,1,32,0,0,0,0,0,0,0
125395,21837,Kick-N Roast Beef,10.6 oz,579,15,2,0,74,1802,79,4,1,29,0,0,0,0,0,0,0
125396,21837,Holey Guacamole,10.6 oz,476,5,1,0,61,1449,76,4,2,33,0,0,0,0,0,0,0
125397,21837,Mediterranean Veg-Out,11 oz,506,9,1,0,0,818,90,8,3,20,0,0,0,0,0,0,0
125398,21838,Chicken Caesar,10.9 oz,611,19,5,0,64,1459,78,4,3,31,0,0,0,0,0,0,0
125399,21838,Turkey Club,11.6 oz,782,34,12,0,113,2355,75,4,2,43,0,0,0,0,0,0,0
125400,21838,Grilled Chicken,10.2 oz,571,17,4,0,55,1144,77,4,3,28,0,0,0,0,0,0,0
125401,21838,Big Apple Club,11.6 oz,797,37,13,0,110,2438,75,4,2,41,0,0,0,0,0,0,0
125402,21838,Roma Italian,12.6 oz,764,34,14,0,109,2393,76,4,1,40,0,0,0,0,0,0,0
125403,21838,All-American Duo,12.6 oz,752,28,13,0,107,1767,78,4,1,46,0,0,0,0,0,0,0
125404,21839,Cafe Chicken Melt,13.7 oz,815,32,14,0,133,1767,80,4,6,51,0,0,0,0,0,0,0
125405,21839,Deli-Style Turkey,12.1 oz,732,25,11,0,115,1602,76,4,3,48,0,0,0,0,0,0,0
