food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
125525,21851,Tuna 12,1/2 serving - 242 g,500,16,5,0,35,990,67,4,9,22,0,0,0,0,0,0,0
125526,21851,Tuna 8,1/2 serving - 210 g,410,15,5,0,35,880,50,3,8,19,0,0,0,0,0,0,0
125527,21851,Tuna Mini,1 serving - 227 g,460,16,5,0,35,950,59,3,9,21,0,0,0,0,0,0,0
125528,21851,Turkey Bacon Avocado 12,1/2 serving - 312 g,570,20,4.5,0,45,1610,68,6,7,29,0,0,0,0,0,0,0
125529,21851,Turkey Bacon Avocado 8,1/2 serving - 214 g,390,13,3,0,30,1090,49,4,5,20,0,0,0,0,0,0,0
125530,21851,Turkey Bacon Avocado Mini,1 serving - 232 g,440,14,3,0,30,1160,58,5,5,21,0,0,0,0,0,0,0
125531,21852,Avocado Delight 12,1/2 serving - 377 g,760,42,18,0,80,820,75,10,9,23,0,0,0,0,0,0,0
125532,21852,Avocado Delight 8,1/2 serving - 258 g,520,28,12,0,55,570,53,7,6,16,0,0,0,0,0,0,0
125533,21852,Avocado Delight Mini,1 serving - 275 g,570,29,12,0,55,630,62,7,6,17,0,0,0,0,0,0,0
125534,21852,Cream Cheese & Cucumber 12,1/2 serving - 246 g,490,20,9,0,45,620,64,4,6,15,0,0,0,0,0,0,0
125535,21852,Cream Cheese & Cucumber 8,1/2 serving - 214 g,400,19,9,0,45,510,47,3,5,13,0,0,0,0,0,0,0
125536,21852,Cream Cheese & Cucumber Mini,1 serving - 232 g,450,19,9,0,45,570,56,3,6,14,0,0,0,0,0,0,0
125537,21852,Salad Sub 12,1/2 serving - 313 g,420,11,1.5,0,0,1340,67,5,7,12,0,0,0,0,0,0,0
125538,21852,Salad Sub 8,1/2 serving - 214 g,290,7,1,0,0,920,48,3,5,8,0,0,0,0,0,0,0
125539,21852,Salad Sub Mini,1 serving - 232 g,340,8,1,0,0,980,57,4,5,10,0,0,0,0,0,0,0
125540,21852,Veggie 12,1/2 serving - 316 g,720,35,15,0,70,1790,69,4,10,30,0,0,0,0,0,0,0
125541,21852,Veggie 8,1/2 serving - 217 g,490,24,10,0,45,1220,49,3,7,20,0,0,0,0,0,0,0
125542,21852,Veggie Mini,1 serving - 234 g,540,24,10,0,45,1280,58,3,7,22,0,0,0,0,0,0,0
125543,21853,BBQ Beef 12,1/2 serving - 259 g,610,21,9,0,95,830,62,3,7,41,0,0,0,0,0,0,0
125544,21853,BBQ Beef 8,1/2 serving - 178 g,4201,14,6,0,65,580,45,2,5,28,0,0,0,0,0,0,0
125545,21853,BBQ Beef Mini,1 serving - 196 g,470,14,6,0,65,640,54,3,5,29,0,0,0,0,0,0,0
125546,21853,BLT 12,1/2 serving - 247 g,570,25,6,0,30,1040,66,4,9,19,0,0,0,0,0,0,0
125547,21853,BLT 8,1/2 serving - 171 g,400,17,4.5,0,20,720,47,3,6,13,0,0,0,0,0,0,0
125548,21853,BLT Mini,1 serving - 188 g,440,17,4.5,0,20,780,56,3,7,14,0,0,0,0,0,0,0
125549,21853,French Dip 12,1/2 serving - 252 g,590,15,5,0,100,560,65,3,3,45,0,0,0,0,0,0,0
125550,21853,French Dip 8,1/2 serving - 174 g,410,10,3.5,0,70,390,46,2,2,31,0,0,0,0,0,0,0
125551,21853,French Dip Mini,1 serving - 191 g,460,11,3.5,0,70,460,55,2,3,32,0,0,0,0,0,0,0
125552,21853,Meatball 12,1/2 serving - 286 g,490,13,3.5,0,70,900,69,4,5,25,0,0,0,0,0,0,0
125553,21853,Meatball 8,1/2 serving - 197 g,350,9,2.5,0,45,620,49,3,3,17,0,0,0,0,0,0,0
125554,21853,Meatball Mini,1 serving - 214 g,390,9,2.5,0,45,690,58,3,4,19,0,0,0,0,0,0,0
125555,21853,SW Chicken Fajita 12,1/2 serving - 250 g,490,10,2,0,75,670,63,3,7,34,0,0,0,0,0,0,0
125556,21853,SW Chicken Fajita 8,1/2 serving - 172 g,340,7,1.5,0,50,470,45,2,5,23,0,0,0,0,0,0,0
125557,21853,SW Chicken Fajita mini,1 serving - 190 g,390,7,1.5,0,50,540,54,3,5,25,0,0,0,0,0,0,0
125558,21854,Roast Beef 12,1/2 serving - 351 g,670,24,8,0,65,1050,81,5,7,36,0,0,0,0,0,0,0
125559,21854,Roast Beef 8,1/2 serving - 234 g,450,16,5,0,45,700,54,3,5,24,0,0,0,0,0,0,0
125560,21854,Roast Beef Mini,1 serving - 234 g,450,16,5,0,45,700,54,3,5,24,0,0,0,0,0,0,0
125561,21854,Smoked Chicken 12,1/2 serving - 351 g,680,24,7,0,70,1970,83,5,7,33,0,0,0,0,0,0,0
125562,21854,Smoked Chicken 8,1/2 serving - 234 g,450,16,4.5,0,50,1310,56,3,5,22,0,0,0,0,0,0,0
125563,21854,Smoked Chicken Mini,1 serving - 234 g,450,16,4.5,0,50,1310,56,3,5,22,0,0,0,0,0,0,0
125564,21854,Turkey 8,1/2 serving - 234 g,470,15,5,0,60,700,54,3,5,28,0,0,0,0,0,0,0
125565,21854,Turkey Mini,1 serving - 234 g,470,15,5,0,60,700,54,3,5,28,0,0,0,0,0,0,0
125566,21854,Turkey 12,1/2 serving - 351 g,700,22,7,0,95,1050,81,5,7,43,0,0,0,0,0,0,0
125567,21855,Fettucine,"small - 2,735 g",6330,477.5,172,0,860,4650,334,27,40,175,0,0,0,0,0,0,0
