food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
125568,21856,Asiago Parmesan,123 g,330,4,1.5,0,5,640,62,4,8,14,0,2,10,20,0,0,0
125569,21856,Blueberry,1 bagel - 120 g,330,2,0,0,0,530,67,4,14,11,0,0,2,20,0,0,0
125570,21856,Chocolate Chip,1 bagel - 122 g,310,4.5,1.5,0,0,500,69,4,19,11,0,0,2,20,0,0,0
125571,21856,Cinnamon Raisin,1 bagel - 123 g,330,2,0,0,0,510,69,4,17,11,0,0,4,20,0,0,0
125572,21856,Cinnamon Sugar,1 bagel - 129 g,350,2,0,0,0,540,73,6,16,12,0,0,6,20,0,0,0
125573,21856,Cranberry Orange,1 bagel - 121 g,330,2,0,0,0,510,68,4,17,11,2,0,2,20,0,0,0
125574,21856,Everything,123 g,320,2,0,0,0,740,64,4,8,12,0,0,4,20,0,0,0
125575,21856,Fortified,130 g,350,4,0,0,0,540,68,6,10,12,0,0,2,20,0,0,0
125576,21856,Garlic,122 g,320,2,0,0,0,560,65,4,8,12,0,0,4,25,0,0,0
125577,21856,Honey Grain,124 g,330,3,0,0,0,510,65,5,10,13,0,0,4,25,0,0,0
125578,21856,Jalapeño,1 bagel - 121 g,320,2,0,0,0,560,64,4,8,12,6,8,2,25,0,0,0
125579,21856,Onion,122 g,320,2,0,0,0,560,64,4,8,12,2,0,2,20,0,0,0
125580,21856,Plain,1 bagel - 121 g,320,2,0,0,0,560,64,4,8,12,0,0,2,20,0,0,0
125581,21856,Poppy,122 g,320,2.5,0,0,0,560,64,4,8,12,0,0,4,20,0,0,0
125582,21856,Pumpernickel,1 bagel - 124 g,330,2.5,0,0,0,620,67,5,11,12,0,0,2,20,0,0,0
125583,21856,Rosemary Olive Oil,1 bagel - 123 g,350,7,0.5,0,0,540,64,4,10,12,0,0,2,20,0,0,0
125584,21856,Salt,123 g,320,2,0,0,0,1610,64,4,8,12,0,0,2,20,0,0,0
125585,21856,Sesame,130 g,360,2.5,0,0,0,660,68,4,11,13,0,0,2,40,0,0,0
125586,21856,Sourdough,1 bagel - 134 g,340,2,0,0,0,640,68,4,8,13,0,0,2,20,0,0,0
125587,21856,Sun Dried Tomato,1 bagel - 121 g,320,2,0,0,0,640,64,4,11,12,2,2,4,20,0,0,0
125588,21856,Whole Wheat,1 bagel - 136 g,390,6,1,0,0,680,73,9,8,16,0,0,2,50,0,0,0
125589,21857,Asiago,130 g,360,4.5,1.5,0,5,740,66,4,11,15,0,2,10,20,0,0,0
125590,21857,Everything,123 g,320,2,0,0,0,740,64,4,8,12,0,0,4,20,0,0,0
125591,21857,Plain,4.6 oz - 130 g,350,2.5,0,0,0,670,70,4,11,13,0,0,2,20,0,0,0
125592,21857,Sesame,4.6 oz - 130 g,360,2.5,0,0,0,660,68,4,11,13,0,0,2,40,0,0,0
125593,21858,Bacon Scallion,1 scoop - 43 g,140,12,7,0,40,150,5,0,2,3,0,10,6,0,0,0,0
125594,21858,Garden Veggie,1 scoop - 43 g,130,11,6,0,35,140,5,1,2,3,8,10,6,0,0,0,0
125595,21858,Garden Veggie Light,1 scoop - 43 g,90,6,4,0,25,105,3,0,2,5,4,15,8,15,0,0,0
125596,21858,Herb & Garlic Light,1 scoop - 43 g,90,6,3.5,0,25,120,4,0,2,6,0,4,8,2,0,0,0
125597,21858,Honey Walnut,1 portion - 43 g,150,12,6,0,35,120,7,1,3,3,0,10,6,0,0,0,0
125598,21858,Jalapeño,1 scoop - 43 g,140,13,8,0,45,140,4,0,2,3,0,8,6,0,0,0,0
125599,21858,Olive Pimento,1 scoop - 43 g,140,13,6,0,45,130,3,0,1,3,0,10,6,0,0,0,0
125600,21858,Onion and Chive,1 scoop - 43 g,140,13,9,0,35,105,3,0,1,3,6,20,6,0,0,0,0
125601,21858,Plain,1 scoop - 43 g,130,11,7,0,40,120,6,1,2,3,0,10,6,0,0,0,0
125602,21858,Plain Light,1 scoop - 43 g,100,6,3,0,25,125,4,1,3,3,0,4,8,0,0,0,0
125603,21858,Smoked Salmon,1 scoop - 43 g,150,13,6,0,40,150,3,1,2,3,0,10,6,0,0,0,0
125604,21858,Strawberry,43 g,140,13,7,0,30,100,4,0,4,3,2,15,2,0,0,0,0
125605,21858,Wildberry,1 scoop - 43 g,140,12,7,0,35,115,5,0,3,3,0,8,6,0,0,0,0
125606,21859,Wheat,1 tortilla - 4 oz - 113 g,310,8,2,0,0,330,53,4,1,10,2,15,35,20,0,0,0
125607,21860,Balsamic Vinaigrette,2 oz - 57 g,110,9,1,0,0,360,8,0,6,0,0,0,0,0,0,0,0
125608,21860,Asian,2 oz - 57 g,260,21,2,0,0,190,17,0,15,0,4,0,0,0,0,0,0
125609,21860,Ranch,2 oz - 57 g,340,38,6,0,10,320,4,0,2,2,2,10,20,2,0,0,0
125610,21860,Special Caesar,2 oz - 57 g,110,9,2,0,30,680,8,0,2,2,0,0,0,0,0,0,0
125611,21861,Caesar,1 salad - 234 g,270,17,4.5,0,40,900,22,2,5,9,15,35,20,4,0,0,0
125612,21861,Chicken Caesar,1 salad - 319 g,370,20,5,0,85,1420,23,2,5,27,15,35,20,6,0,0,0
125613,21861,Mandarin Medley,1 salad - 286 g,340,17,5,0,20,660,36,4,27,8,25,40,6,4,0,0,0
125614,21861,Mango Island Chicken,1 salad - 339 g,380,23,4,0,50,740,27,3,20,21,50,45,4,8,0,0,0
125615,21861,Sesame Chicken,1 salad - 298 g,480,28,3,0,45,780,30,2,18,22,15,35,4,25,0,0,0
125616,21862,Chicken Fajita,311 g,530,11,4.5,0,80,1040,81,6,16,30,60,25,8,30,0,0,0
125617,21862,Cranberry Gobbler,1 bagel sandwich - 274 g,620,21,6,0,55,1430,78,5,17,32,4,20,20,25,0,0,0
125618,21862,Cuban Chicken,1 bagel sandwich - 319 g,680,25,7,0,85,2180,74,4,10,44,4,20,25,30,0,0,0
125619,21862,Herby Turkey,259 g,560,14,7,0,45,1310,78,5,10,30,15,20,10,30,0,0,0
125620,21862,Garden Veggie,351 g,400,2.5,0,0,0,620,82,7,14,16,100,25,6,40,0,0,0
125621,21862,Leonardo Da Veggie,244 g,480,12,6,0,30,870,74,5,11,21,25,35,20,25,0,0,0
125622,21862,Mango Island Chicken,334 g,580,11,4.5,0,65,1210,89,6,25,33,30,25,6,25,0,0,0
125623,21862,Radishy Roast Beef,1 bagel sandwich - 269 g,560,18,6,0,60,1270,73,5,11,35,8,25,20,35,0,0,0
125624,21862,Roadhouse Chicken,341 g,970,40,16,1,175,1740,78,4,22,67,6,15,20,30,0,0,0
125625,21862,Santa Fe Turkey,294 g,490,9,4,0,50,1450,75,5,12,30,35,30,6,25,0,0,0
125626,21862,Smoked Salmon,253 g,490,10,4.5,0,45,770,74,5,10,28,10,10,6,25,0,0,0
125627,21862,Supreme Club,250 g,470,9,2,0,35,1460,72,5,11,28,10,20,4,25,0,0,0
125628,21863,Turkey,261 g,510,14,1.5,0,35,1290,70,5,9,26,10,20,4,25,0,0,0
125629,21863,Ham,261 g,470,5,1,0,30,1470,82,5,21,25,10,20,2,25,0,0,0
125630,21863,Chicken Salad,268 g,630,26,3.5,0,80,1080,73,5,11,28,10,20,4,25,0,0,0
125631,21863,Chicken Breast,318 g,660,11,2.5,0,95,780,87,5,26,47,10,25,4,30,0,0,0
125632,21863,Tuna Salad,1 sandwich - 247 g,620,27,3.5,0,35,990,73,5,10,23,10,20,2,25,0,0,0
125633,21863,Hummus,247 g,490,11,1,0,0,810,80,9,9,18,10,20,2,30,0,0,0
