food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
126022,21915,"7 "" BLT",225 g,591,38,9,0,33,116,47,1,0,19,0,0,0,0,0,0,0
126023,21915,"7 "" Cheese Steak",290 g,503,19,9,0,67,1209,49,1,0,31,0,0,0,0,0,0,0
126024,21915,"7 "" Chicken Breast",314 g,569,27,4,0,67,1248,50,1,0,35,0,0,0,0,0,0,0
126025,21915,"7 "" Chicken Cheddar Deluxe",330 g,669,39,10,0,77,1693,51,1,0,34,0,0,0,0,0,0,0
126026,21915,"7 "" Club",361 g,657,35,8,0,88,2032,51,1,0,38,0,0,0,0,0,0,0
126027,21915,"7 "" Double Cheese Steak",393 g,747,36,18,0,134,1704,49,1,0,52,0,0,0,0,0,0,0
126028,21915,"7 "" Garden Veggie",253 g,390,12,6,0,28,832,51,1,0,20,0,0,0,0,0,0,0
126029,21915,"7 "" Gyro",344 g,710,41,18,0,58,1692,61,2,0,32,0,0,0,0,0,0,0
126030,21915,"7 "" Ham & Provolone",308 g,612,34,8,0,65,1596,50,1,0,28,0,0,0,0,0,0,0
126031,21915,"7 "" Hot Veggie",277 g,472,17,9,0,42,1192,55,2,0,24,0,0,0,0,0,0,0
126032,21915,"7 "" Italian Special",343 g,817,51,16,0,97,2115,50,1,0,36,0,0,0,0,0,0,0
126033,21915,"7 "" Meatball & Provolone",280 g,723,38,18,0,94,1706,54,2,0,40,0,0,0,0,0,0,0
126034,21915,"7 "" Pepperoni Melt",331 g,730,45,14,0,95,2009,50,1,0,32,0,0,0,0,0,0,0
126035,21915,"7 "" Philly Cheese Steak",326 g,531,19,9,0,67,1237,55,2,0,32,0,0,0,0,0,0,0
126036,21915,"7 "" Pizza Sub",324 g,709,39,19,0,102,2019,55,2,0,33,0,0,0,0,0,0,0
126037,21915,"7 "" Roast Beef",301 g,607,30,6,0,51,973,50,1,0,35,0,0,0,0,0,0,0
126038,21915,"7 "" Seafood with Crab",314 g,642,38,6,0,28,1438,60,1,0,20,0,0,0,0,0,0,0
126039,21915,"7 "" Spicy Chicken Sedona",308 g,530,18,4,0,75,1649,54,3,0,37,0,0,0,0,0,0,0
126040,21915,"7 "" Three Cheese",276 g,685,44,15,0,64,1104,50,1,0,26,0,0,0,0,0,0,0
126041,21915,"7 "" Tuna",312 g,666,40,6,0,59,1128,49,1,0,32,0,0,0,0,0,0,0
126042,21915,"7 "" Turkey Breast",301 g,537,28,4,0,48,1604,50,1,0,26,0,0,0,0,0,0,0
126043,21916,"4"" Mini Chicken Breast (Better Bunch)",156 g,185,1,0,0,28,544,25,1,0,18,0,0,0,0,0,0,0
126044,21916,"4"" Mini Club (Better Bunch)",169 g,193,3,0,0,30,846,26,1,0,16,0,0,0,0,0,0,0
126045,21916,"4"" Mini Garden Veggie (Better Bunch)",123 g,136,1,0,0,0,263,26,1,0,6,0,0,0,0,0,0,0
126046,21916,"4"" Mini Ham (Better Bunch)",149 g,178,2,0,0,23,701,26,1,0,13,0,0,0,0,0,0,0
126047,21916,"4"" Mini Hot Veggie (Better Bunch)",112 g,144,1,0,0,0,371,27,1,0,6,0,0,0,0,0,0,0
126048,21916,"4"" Mini Roast Beef (Better Bunch)",149 g,205,3,1,0,20,309,25,1,0,18,0,0,0,0,0,0,0
126049,21916,"4"" Mini Turkey Breast (Better Bunch)",157 g,177,2,0,0,23,698,26,1,0,15,0,0,0,0,0,0,0
126050,21916,"7 "" Chicken Breast (Better Bunch)",286 g,366,2,0,0,57,1086,50,1,0,35,0,0,0,0,0,0,0
126051,21916,"7 "" Club (Better Bunch)",312 g,381,5,1,0,61,1690,51,1,0,32,0,0,0,0,0,0,0
126052,21916,"7 "" Garden Veggie (Better Bunch)",218 g,266,2,0,0,0,524,50,1,0,11,0,0,0,0,0,0,0
126053,21916,"7 "" Ham (Better Bunch)",258 g,336,4,1,0,38,1254,50,1,0,23,0,0,0,0,0,0,0
126054,21916,"7 "" Hot Veggie (Better Bunch)",223 g,287,2,0,0,0,742,55,2,0,12,0,0,0,0,0,0,0
126055,21916,"7 "" Roast Beef (Better Bunch)",272 g,405,6,2,0,41,617,50,1,0,35,0,0,0,0,0,0,0
126056,21916,"7 "" Turkey Breast (Better Bunch)",272 g,335,3,0,0,38,1249,50,1,0,26,0,0,0,0,0,0,0
126057,21917,"4"" Mini BLT",125 g,298,19,4,0,16,559,24,1,0,9,0,0,0,0,0,0,0
126058,21917,"4"" Mini Chicken Breast",170 g,287,13,2,0,33,625,25,1,0,18,0,0,0,0,0,0,0
126059,21917,"4"" Mini Chicken Cheddar Deluxe",169 g,329,19,5,0,35,775,26,1,0,16,0,0,0,0,0,0,0
126060,21917,"4"" Mini Club",195 g,337,18,4,0,44,1018,27,1,0,19,0,0,0,0,0,0,0
126061,21917,"4"" Mini Garden Veggie",146 g,216,7,4,0,18,463,26,1,0,11,0,0,0,0,0,0,0
126062,21917,"4"" Mini Ham & Provolone",174 g,316,18,4,0,36,872,26,1,0,15,0,0,0,0,0,0,0
126063,21917,"4"" Mini Hot Veggie",144 g,254,10,6,0,25,641,28,1,0,13,0,0,0,0,0,0,0
126064,21917,"4"" Mini Italian Special",178 g,403,25,7,0,44,1012,25,1,0,16,0,0,0,0,0,0,0
126065,21917,"4"" Mini Meatball & Provolone",140 g,361,19,9,0,47,853,27,1,0,20,0,0,0,0,0,0,0
126066,21917,"4"" Mini Pepperoni Melt",169 g,348,21,6,0,41,891,26,1,0,15,0,0,0,0,0,0,0
126067,21917,"4"" Mini Pizza Sub",157 g,336,18,9,0,47,964,28,1,0,15,0,0,0,0,0,0,0
