food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
126326,21935,MonteCarlo,,362,3,1,0,24,2307,65,0,0,21,0,0,0,0,0,0,0
126327,21935,Ham,,362,3,1,0,24,2552,65,0,0,20,0,0,0,0,0,0,0
126328,21935,Pastrami,,375,4,1,0,36,2320,63,0,0,23,0,0,0,0,0,0,0
126329,21935,American Coldcut,,355,3,0,0,23,2128,64,0,0,20,0,0,0,0,0,0,0
126330,21935,Vegetarian,,300,1,0,0,0,1479,64,0,0,9,0,0,0,0,0,0,0
126331,21935,Turkey,,362,3,0,0,24,2061,65,0,0,21,0,0,0,0,0,0,0
126332,21935,Roast Beef,,362,2,0,0,30,1989,63,0,0,21,0,0,0,0,0,0,0
126333,21936,American Coldcut,,421,16,5,0,49,1344,42,0,0,26,0,0,0,0,0,0,0
126334,21936,BronxBomber,,445,18,6,0,58,1072,42,0,0,28,0,0,0,0,0,0,0
126335,21936,ItalianSpecial,,473,37,12,0,72,2007,43,0,0,27,0,0,0,0,0,0,0
126336,21936,LouisvilleGrinder,,457,20,7,0,64,964,42,0,0,29,0,0,0,0,0,0,0
126337,21936,MonteCarlo,,431,17,6,0,55,1248,42,0,0,28,0,0,0,0,0,0,0
126338,21936,NewYorker,,437,16,7,0,61,984,44,0,0,29,0,0,0,0,0,0,0
126339,21936,PacificSub,,440,17,6,0,49,1159,43,0,0,28,0,0,0,0,0,0,0
126340,21936,Vegetarian,,253,6,3,0,10,468,41,0,0,9,0,0,0,0,0,0,0
126341,21936,Turkey Ole,,360,11,5,0,44,1106,44,0,0,23,0,0,0,0,0,0,0
126342,21937,ChickenMelt,,405,11,4,0,54,665,42,0,0,31,0,0,0,0,0,0,0
126343,21937,DooleyOriginal,,548,41,14,0,82,2162,46,0,0,27,0,0,0,0,0,0,0
126344,21937,Ham & SwissMelt,,385,13,4,0,39,1485,43,0,0,22,0,0,0,0,0,0,0
126345,21937,Reuben,,459,20,5,0,56,915,42,0,0,25,0,0,0,0,0,0,0
126346,21937,Roast BeefMelt,,378,10,4,0,50,1184,44,0,0,27,0,0,0,0,0,0,0
126347,21937,Tuna Melt,,330,8,3,0,34,764,42,0,0,20,0,0,0,0,0,0,0
126348,21937,Turkey SwissMelt,,385,13,3,0,39,993,43,0,0,23,0,0,0,0,0,0,0
126349,21938,American Coldcut,,486,15,5,0,49,1357,60,0,0,27,0,0,0,0,0,0,0
126350,21938,BronxBomber,,510,17,5,0,58,1085,60,0,0,29,0,0,0,0,0,0,0
