menu_id,menu_name,restaurant_id
21935,"7"" Sandwiches under 4 grams of Fat",1245
21936,Deli Sandwiches on Plain Croissants - Cold Sandwiches,1245
21937,Deli Sandwiches on Plain Croissants - Melted Sandwiches,1245
21938,Deli Sandwiches on Bagels - Cold Sandwiches,1245
21939,Deli Sandwiches on Bagels - Melted Sandwiches,1245
21940,Deli Sandwiches on White Subs - Cold Sandwiches,1245
21941,Deli Sandwiches on White Subs - Melted Sandwiches,1245
21942,Assorted Bagels and Breads,1245
21943,Standard Sandwich Toppings,1245
21944,Baked Goods,1245
