menu_id,menu_name,restaurant_id
21945,Sandwiches,1246
21946,Sandwiches - Vegetarian,1246
21947,Sandwiches Of The Week,1246
21948,Sandwiches Of The Week - Vegetarian,1246
21949,Sandwiches Of The Week - Wheat Free,1246
21950,Sandwiches Of The Week - Vegetarian Wheat Free,1246
21951,Toasties,1246
21952,Toasties - Vegetarian,1246
21953,Baguettes,1246
21954,Baguettes - Vegetarian,1246
21955,Wraps,1246
21956,Wraps - Vegetarian,1246
21957,Soup - Simple,1246
21958,Soup - Bold,1246
21959,Pies,1246
21960,Salad,1246
21961,Salad - Vegetarian,1246
21962,Salad - Sushi,1246
21963,Salad - Sushi Vegetarian,1246
21964,Dessert - Pots,1246
21965,Dessert - Cookies and Slices,1246
21966,Dessert - Cakes,1246
21967,Dessert - Fruit Salads,1246
21968,Drinks - Whole Milk (Hot),1246
21969,Drinks - Whole Milk (Cold),1246
21970,Drinks - Skimmed Milk (Hot),1246
21971,Drinks - Skimmed Milk (Cold),1246
21972,Drinks - Soya Milk (Hot),1246
21973,Drinks - Soya Milk (Cold),1246
21974,Breakfast - Hot Toasted,1246
21975,Breakfast - Hot Toasted (Vegetarian),1246
21976,Breakfast - Cereals and Yoghurts,1246
21977,Breakfast - Patisserie & Muffins,1246
