food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
126955,22008,Just Bread - Wheat Sub (1/2 loaf),1 sandwich,340,2.5,0,0,0,750,67,2,0,11,0,0,0,3,0,0,0
126956,22008,Just Bread - Sliced Wheat (per slice),1 sandwich,70,1.5,0,0,0,130,14,1,0,3,0,0,0,0,0,0,0
126957,22008,Just Bread - White Sub 1/2 loaf,1 sandwich,350,0,0,0,0,750,70,0,0,15,0,0,0,6,0,0,0
126958,22008,Just Fillings - Comet Morehouse,1 sandwich,193,12,4,0,55,795,5,1.6,0,16,0,0,0,2,0,0,0
126959,22008,Just Fillings - Halleys Comet,1 sandwich,184,2,0,0,37,546,4,2,0,12,0,0,0,3,0,0,0
126960,22008,Just Fillings - Bornk,1 sandwich,314,19,0,0,73,1265,7,2,0,27,0,0,0,3,0,0,0
126961,22008,Just Fillings - Boney Billy,1 sandwich,83,1,0,0,31,402,5,2,0,14,0,0,0,2,0,0,0
126962,22008,Just Fillings - Tappy,1 sandwich,349,25,10,0,68,1137,11,3,0,19,0,0,0,2,0,0,0
126963,22008,Just Fillings - Jacob Bluefinger,1 sandwich,269,21,8,0,48,602,8,2,0,18,0,0,0,3,0,0,0
126964,22008,Just Fillings - Shortcake,1 sandwich,262,16,6,0,82,1324,6,2,0,23,0,0,0,3,0,0,0
126965,22008,Just Fillings - Comet Candy,1 sandwich,266,15,5,0,84,1485,6,2,0,27,0,0,0,4,0,0,0
126966,22008,Just Fillings - Flash,1 sandwich,419,29,10,0,103,1667,12,3,0,26,0,0,0,3,0,0,0
126967,22008,Just Fillings - Tullius,1 sandwich,271,12,4,0,85,1135,10,3,0,31,0,0,0,4,0,0,0
126968,22008,Just Fillings - Girf,1 sandwich,249,13,4,0,78,1184,6,2,0,27,0,0,0,2,0,0,0
126969,22008,Just Fillings - Narmer,1 sandwich,325,22,8,0,71,991,8,2,0,29,0,0,0,3,0,0,0
126970,22008,Just Fillings - Geeter,1 sandwich,103,2,0,0,25,842,13,2,0,11,0,0,0,3,0,0,0
