food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
127066,22014,Abbot's Habit,1 sandwich,880,45,14,0,125,1380,75,5,0,40,0,0,0,0,0,0,0
127067,22014,Chicken Pesto,1 sandwich,680,21,9,0,120,1080,68,5,0,53,0,0,0,0,0,0,0
127068,22014,Del Monte Special,1 sandwich,860,69,16,0,55,670,49,15,0,20,0,0,0,0,0,0,0
127069,22014,Erik Berger,1 sandwich,880,45,14,0,125,2900,71,4,0,45,0,0,0,0,0,0,0
127070,22014,Erik's Rueben,1 sandwich,750,40,12,0,100,1720,59,7,0,38,0,0,0,0,0,0,0
127071,22014,John Muir,1 sandwich,430,20,3,0,0,580,46,12,0,11,0,0,0,0,0,0,0
127072,22014,Marrakech Express,1 sandwich,640,39,12,0,100,1650,36,2,0,33,0,0,0,0,0,0,0
127073,22014,Natural High,1 sandwich,900,76,28,0,125,890,27,8,0,33,0,0,0,0,0,0,0
127074,22014,Pilgrim's Progress,1 sandwich,650,45,7,0,60,940,41,10,0,25,0,0,0,0,0,0,0
127075,22014,Pot Belly,1 sandwich,840,45,13,0,135,2430,57,4,0,52,0,0,0,0,0,0,0
127076,22014,R.E.O. Speedwagon,1 sandwich,810,44,13,0,125,2310,56,4,0,46,0,0,0,0,0,0,0
127077,22014,Raging Bull,1 sandwich,850,45,14,0,125,1530,69,5,0,37,0,0,0,0,0,0,0
127078,22014,Sea Dog,1 sandwich,950,54,15,0,100,1550,76,5,0,36,0,0,0,0,0,0,0
127079,22014,Sweet LIberty,1 sandwich,520,22,8,0,75,1140,49,6,0,34,0,0,0,0,0,0,0
127080,22014,Turkey Walnut Pesto,1 sandwich,860,62,14,0,95,1220,41,10,0,34,0,0,0,0,0,0,0
127081,22015,Tomato Sour Pillow,2 slices,240,1.5,0,0,0,500,47,2,0,8,0,0,0,0,0,0,0
127082,22015,Sour Dough,2 slices,210,1,0,0,0,490,46,2,0,8,0,0,0,0,0,0,0
127083,22015,Bread Bowl,1 each,455,2,0,0,0,960,90,4,0,15,0,0,0,0,0,0,0
127084,22015,9-Grain Wheat Bread,2 slices,216,3,1,0,0,480,47,3,0,7,0,0,0,0,0,0,0
127085,22015,"5"" Onion/Pepper Roll",1 roll,350,4,1.5,0,0,680,66,3,0,10,0,0,0,0,0,0,0
127086,22015,"6"" Sweet French Roll",1 roll,320,2,0,0,0,670,66,3,0,10,0,0,0,0,0,0,0
