food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
127646,22076,Anthurium,,249,3,1,0,0,550,48,4,0,10,0,0,0,0,0,0,0
127647,22076,Bird of Paradise,,233,5,3,0,0,1054,44,4,0,6,0,0,0,0,0,0,0
127648,22076,Black-Eyed Susan,,419,15,4,0,3,933,51,7,0,19,0,0,0,0,0,0,0
127649,22076,Blue Heron,regular,377,11,4,0,73,1333,37,3,0,31,0,0,0,0,0,0,0
127650,22076,Boardwalk Gull,,529,17,3,0,7,645,71,4,0,24,0,0,0,0,0,0,0
127651,22076,Carolina Chickadee,,523,16,3,0,51,1511,63,5,0,31,0,0,0,0,0,0,0
127652,22076,Cormorant,,554,35,6,0,64,761,36,4,0,26,0,0,0,0,0,0,0
127653,22076,Cormorant,,439,24,5,0,10,803,37,3,0,18,0,0,0,0,0,0,0
127654,22076,Cuban Bull Finch,,332,6,2,0,58,1900,39,2,0,31,0,0,0,0,0,0,0
127655,22076,Finch,,305,5,2,0,56,1614,38,2,0,27,0,0,0,0,0,0,0
127656,22076,Flamingo,regular,336,6,2,0,67,951,35,3,0,34,0,0,0,0,0,0,0
127657,22076,Gooney Bird,,266,0,0,0,40,1365,43,4,0,24,0,0,0,0,0,0,0
127658,22076,Hoopoe,,601,25,4,0,22,1332,69,7,0,28,0,0,0,0,0,0,0
127659,22076,Hummingbird,,385,9,3,0,82,1161,37,2,0,37,0,0,0,0,0,0,0
127660,22076,Kestrel,,282,3,1,0,64,749,33,4,0,32,0,0,0,0,0,0,0
127661,22076,Laughing Falcon,,349,10,3,0,67,924,34,4,0,31,0,0,0,0,0,0,0
127662,22076,Laughing Falcon,,437,18,6,0,76,1511,35,2,0,31,0,0,0,0,0,0,0
127663,22076,Mallard,,546,10,3,0,82,1053,67,3,0,44,0,0,0,0,0,0,0
127664,22076,Mockingbird,,463,9,1,0,47,1859,70,7,0,28,0,0,0,0,0,0,0
127665,22076,Penguin Club,,638,13,2,0,59,2264,94,5,0,39,0,0,0,0,0,0,0
127666,22076,Phoenix,,457,8,2,0,47,1760,66,3,0,28,0,0,0,0,0,0,0
127667,22076,Pipit w/Chicken Salad,regular,530,30,4,0,65,861,41,4,0,27,0,0,0,0,0,0,0
127668,22076,Pipit w/Tuna Salad,regular,415,20,3,0,10,903,41,4,0,18,0,0,0,0,0,0,0
127669,22076,Pterodactyl,regular,290,8,3,0,37,1174,36,3,0,17,0,0,0,0,0,0,0
127670,22076,Rainbow Parrot,,387,9,2,0,74,1581,46,5,0,30,0,0,0,0,0,0,0
127671,22076,Reuben - Corned Beef,,337,6,2,0,70,2457,39,5,0,28,0,0,0,0,0,0,0
127672,22076,Reuben - Turkey,,257,0,0,0,40,2357,41,5,0,22,0,0,0,0,0,0,0
127673,22076,Rose of Sharon,,337,2,1,0,0,217,70,3,0,11,0,0,0,0,0,0,0
127674,22076,Ruffed Grouse,,447,10,2,0,49,1832,60,4,0,28,0,0,0,0,0,0,0
127675,22076,Salty Eagle,,446,6,2,0,47,1432,70,3,0,28,0,0,0,0,0,0,0
127676,22076,Scarlet Ibis,regular,256,2,0,0,40,1405,35,3,0,24,0,0,0,0,0,0,0
127677,22076,Shrike,,629,30,4,0,61,937,59,5,0,32,0,0,0,0,0,0,0
127678,22076,Skimmer,,486,3,0,0,64,1167,78,8,0,40,0,0,0,0,0,0,0
127679,22076,Texas Wren w/Chicken Breast,,485,10,2,0,79,1355,57,4,0,41,0,0,0,0,0,0,0
127680,22076,Texas Wren w/Black Bean Burger,,553,15,3,0,16,1529,73,7,0,28,0,0,0,0,0,0,0
127681,22076,Twisted Chicken,,440,3,1,0,64,633,69,5,0,37,0,0,0,0,0,0,0
127682,22076,Waterthrush,,451,6,2,0,40,859,68,4,0,31,0,0,0,0,0,0,0
127683,22076,Whooping Crane,,410,2,1,0,40,1284,70,4,0,30,0,0,0,0,0,0,0
127684,22077,Southwest Pita,,355,4,1,0,64,910,49,5,0,34,0,0,0,0,0,0,0
127685,22077,Southwest Pita,,443,12,4,0,73,1497,50,4,0,34,0,0,0,0,0,0,0
127686,22077,Southwest Pita,,423,9,2,0,0,1084,65,8,0,22,0,0,0,0,0,0,0
127687,22078,Ancho Chili Ranch,1 oz,107,11,2,0,6,246,1,0,0,1,0,0,0,0,0,0,0
127688,22078,Mayonnaise,1 oz,205,23,10,0,10,164,0,0,0,2,0,0,0,0,0,0,0
127689,22078,Thousand Island,1 oz,130,13,6,0,15,330,4,0,0,0,0,0,0,0,0,0,0
127690,22078,Honey Dijon,1 oz,140,12,0,0,10,150,8,0,0,0,0,0,0,0,0,0,0
127691,22078,Ranch,1 oz,107,11,2,0,6,245,1,0,0,1,0,0,0,0,0,0,0
127692,22078,Vinaigrette,1 oz,71,7,8,0,0,487,2,0,0,0,0,0,0,0,0,0,0
127693,22078,Mustard - Yellow,1 oz,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0
127694,22078,Dijon Mustard,1 oz,30,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0
127695,22078,Ikey's Sauce,1 oz,200,22,10,0,10,180,0,0,0,2,0,0,0,0,0,0,0
127696,22078,Blue Cheese,1 oz,156,16,3,0,24,293,2,0,0,1,0,0,0,0,0,0,0
127697,22079,Cheddar Cheese,1 slice,59,5,3,0,11,96,1,0,0,7,0,0,0,0,0,0,0
127698,22079,Pepperjack Cheese,1 slice,55,4,3,0,14,259,1,0,0,3,0,0,0,0,0,0,0
127699,22079,Muenster Cheese,1 slice,55,4,3,0,15,102,0,0,0,7,0,0,0,0,0,0,0
127700,22079,Provolone Cheese,1 slice,64,5,3,0,16,74,1,0,0,4,0,0,0,0,0,0,0
127701,22079,Swiss Cheese,1 slice,49,4,2,0,11,26,0,0,0,4,0,0,0,0,0,0,0
127702,22080,"Rye, Pumpernickel ",2 slices,160,0,0,0,0,320,36,2,0,4,0,0,0,0,0,0,0
127703,22080,"Focaccia Roll, Tomato Basil ",1 each,340,2,0,0,0,770,69,4,0,13,0,0,0,0,0,0,0
127704,22080,Wheat,2 slices,320,5,0,0,0,640,62,6,0,10,0,0,0,0,0,0,0
127705,22080,White,2 slices,300,4,0,0,0,580,58,2,0,10,0,0,0,0,0,0,0
127706,22080,French Bread,regular - 2 oz,155,2,0,0,0,345,29,2,0,5,0,0,0,0,0,0,0
127707,22080,Kaiser Roll,1 each,291,4,1,0,0,540,52,2,0,10,0,0,0,0,0,0,0
127708,22080,Pita Bread,1 each,220,2,0,0,0,510,43,2,0,7,0,0,0,0,0,0,0
127709,22080,Pretzel Roll,1 each,310,2,0,0,0,210,64,2,0,10,0,0,0,0,0,0,0
127710,22080,Cheese Tortilla,1 each,217,9,2,0,3,360,29,1,0,4,0,0,0,0,0,0,0
127711,22081,Broccoli Salad,5 oz,195,15,3,0,8,131,12,2,0,5,0,0,0,0,0,0,0
127712,22081,Cole Slaw,5 oz,94,7,1,0,9,276,9,2,0,1,0,0,0,0,0,0,0
127713,22081,Fruit Salad,5 oz,97,0,0,0,0,9,24,3,0,1,0,0,0,0,0,0,0
127714,22081,Pickle Mix,5 oz,17,0,0,0,0,1153,5,2,0,1,0,0,0,0,0,0,0
127715,22081,Red Potato Salad,5 oz,243,17,2,0,8,257,20,2,0,3,0,0,0,0,0,0,0
127716,22081,Tortellini Salad,5 oz,320,20,3,0,20,911,27,5,0,10,0,0,0,0,0,0,0
127717,22081,Linguini Salad,5 oz,196,8,1,0,0,1044,26,2,0,0,0,0,0,0,0,0,0
