food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
127718,22082,Traditional Roll,"1 8"" roll - 4.5 oz - 127.8 g",350,3.5,0.5,0,0,760,68,5,6,13,0,0,8,20,0,0,0
127719,22082,Bistro Roll,"1 8"" roll - 5.5 oz - 156.2 g",340,3.5,0.5,0,0,1010,65,2,0,12,10,0,6,20,0,0,0
127720,22082,Wheat Roll,"1 8"" roll - 4.5 oz - 127.8 g",360,5,1,0,0,590,65,6,3,15,6,0,15,15,0,0,0
127721,22083,American Cheese,"8"" portion - 0.8 oz - 21.3 g",72,6,3.8,0,18,330,0.8,0,0,3.9,0,6,9,0,0,0,0
127722,22083,Provolone Cheese,"8"" portion - 0.8 oz - 21.3 g",67.5,5.3,3,0,15,150,0.8,0,0,5.3,0,4.5,12,0,0,0,0
127723,22083,Swiss Cheese,"8"" portion - 0.8 oz - 21.3 g",67.5,4.5,3,0,15,45,0,0,0,6,0,3,18,0,0,0,0
127724,22083,Mushrooms,1 oz - 28.4 g,5,0,0,0,0,55,0.5,0.5,0,0.5,2,0,0,2,0,0,0
127725,22083,Green Peppers,1 oz - 28.4 g,3,0,0,0,0,0.5,0.8,0.3,0,0.1,0,0,0,0,0,0,0
127726,22083,Sweet Peppers,1 oz - 28.4 g,8,0,0,0,0,125,0.8,0,0,0,0,0,0,0,0,0,0
127727,22083,Bacon,4 strips - 1.2 oz - 34.1 g,136,10,4,0,24,394,0,0,0,8,0,0,0,0,0,0,0
127728,22084,Ranch,1 souffle cup - 1.5 oz - 42.6 g,225,24,3.8,0,7.5,450,3,0,3,0,0,0,3,0,0,0,0
127729,22084,Blue Cheese,1 souffle cup - 1.5 oz - 42.6 g,205,21,4.5,0,22,234,1.5,0,0,3,0,1.5,6,0,0,0,0
127730,22084,Honey Dijon,1 souffle cup - 1.5 oz - 42.6 g,213,21,3,0,3,345,7.5,0,6,0,0,0,0,0,0,0,0
127731,22084,S.W. Sauce,1 souffle cup - 1.5 oz - 42.6 g,189,19.5,3,0,10.5,394,3,0,1.5,1.5,4.5,1.5,1.5,1.5,0,0,0
127732,22084,Fat Free Ranch,1 packet - 1.5 oz - 42.6 g,45,0,0,0,0,550,11,1,4,0,0,0,0,0,0,0,0
127733,22084,Lo-cal Italian,1 packet - 2 oz - 56.8 g,60,5,0.5,0,0,700,4,0,4,0,2,0,0,0,0,0,0
127734,22084,Jerry's Mayo,1 oz - 28.4 g,120,12,1.5,0,12,89,0.5,0,0,0.2,0,0,0,0,0,0,0
127735,22084,Fat Free Mayo,1 packet - 0.4 oz - 11.4 g,5,0,0,0,0,130,1,0,0,0,0,0,0,0,0,0,0
127736,22084,Jerry's Oil & Spice,1 tbsp - 0.5 oz - 14.2 g,120,14,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0
127737,22084,Ketchup,0.5 oz - 14.2 g,16,0,0,0,0,194,4,0,4,0,0,0,0,0,0,0,0
127738,22084,Mustard,0.5 oz - 14.2 g,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
127739,22085,Side Salad,1 salad - 3 oz - 86 g,64,3,1.3,0,15,233,1.1,0.5,0,2,5.2,3,2.7,0,0,0,0
127740,22085,House Salad,1 salad - 8.9 oz - 252 g,148,6,2.6,0,30,469,2.5,1.6,0,3.9,10.2,6,5.2,0,0,0,0
127741,22085,Grilled Chicken Salad,1 salad - 11.4 oz - 322 g,230.5,8,3.3,0,67,949,5,1.6,0.8,15.9,10.2,6,6.7,0,0,0,0
127742,22085,Crispy Chicken Salad,1 salad - 11.9 oz - 294 g,314,14,3.9,0,40,1249,14.5,2.3,2,16.5,10.2,6,7.2,3,0,0,0
127743,22085,Antipasto Salad,1 salad - 12 oz - 340.5 g,446,31.4,13.4,0,102,1509,3,1.6,0,20.4,10.2,12.8,14.5,6,0,0,0
127744,22085,Tuna Salad,1 salad - 13.8 oz - 392.4 g,364,18,4,0,93,985,3,1.6,0,26.7,10.2,6,5.2,3.6,0,0,0
127745,22085,Angus Steak Salad,1 salad - 11.5 oz - 325.8 g,288,15,6.1,0,75,769,2.5,1.6,0,16.9,10.2,6,5.2,10,0,0,0
127746,22086,True Blue Bowl w/ Dressing,1 platter - 15.9 oz - 450 g,603,39,12.1,0,152,1563,4,1.6,0,33.9,10.2,7.5,11.2,16,0,0,0
127747,22086,Mixed Grille Bowl w/ Dressing,1 platter - 15.5 oz - 438.5 g,560,36.5,9.8,0,123,1643,8,1.6,2.3,30.4,14.7,7.5,8.2,12,0,0,0
127748,22086,Breadless Bacon Philly,"8"" size - 9.9 oz - 280 g",496,30.3,14.8,0,137,1376,4,0.8,0,43.6,12.2,14.5,21.8,16,0,0,0
127749,22086,Breadless Grilled Chicken,"8"" size - 7.7 oz - 217.5 g",202,4.4,1.7,0,82.5,966.3,7.7,0.8,1.7,27.9,12.2,4,4.1,0,0,0,0
127750,22086,Breadless Angus Steak,"8"" size - 7.4 oz - 209 g",300.5,18,7,0,90,604.3,2.4,0.8,0,26.4,12.2,4,0.8,20,0,0,0
127751,22086,Breadless Turkey,"8"" size - 7.7 oz - 217.5 g",158,2.8,0,0,55,1159.3,7.7,0.8,0,38.9,12.2,4,0.8,0,0,0,0
127752,22087,Steak Sub,"8"" sub - 11.7 oz - 331.1 g",571,12.5,4.5,0,80,1264.3,70.4,5.8,6,39.4,12.2,4,8.8,36,0,0,0
127753,22087,Steak w/ Mushrooms & Green Pepper,"8"" sub - 13.7 oz - 387.9 g",579,12.5,4.5,0,80,1319.8,71.7,6.6,6,40,14.2,4,8.8,38,0,0,0
127754,22087,Turkey Breast,"4"" sub - 6.4 oz - 181.2 g",260.2,3.3,0.3,0,30,1012.2,38.2,2.9,3,27.2,6.1,2,4.4,10,0,0,0
127755,22087,Original Cheesesteak,"4"" sub - 6.8 oz - 194 g",375,13.3,6.3,0,60,832,36,3.9,3,26.8,6,8,20.5,18,0,0,0
127756,22087,Grilled Chicken,"4"" sub - 6.1 oz - 172.7 g",276,4,1.1,0,41.3,863.2,37.9,2.9,3.8,20.5,6.1,2,6,10,0,0,0
127757,22088,Philly Cheesesteak,"8"" sub - 13.2 oz - 373.8 g",710,23.8,11.3,0,113,1744.3,71.9,5.8,6,48.6,12.2,14.5,29.8,36,0,0,0
127758,22088,Bacon Philly Cheesesteak,"8"" sub - 14.4 oz - 408 g",846,33.8,15.3,0,137,2136.3,71.9,5.8,6,56.6,12.2,14.5,29.8,36,0,0,0
127759,22088,Super Cheesesteak,"8"" sub - 15.2 oz - 431 g",718,23.8,11.3,0,113,1799.8,73.2,6.6,6,49.2,14.2,14.5,29.8,38,0,0,0
127760,22088,South Street Cheesesteak,"8"" sub - 14.2 oz - 402.2 g",718,23.8,11.3,0,113,1869.3,72.7,5.8,6,48.6,12.2,14.5,29.8,36,0,0,0
127761,22088,Fat Daddy Cheesesteak,"8"" sub - 23.9 oz - 678 g",1329,64,30,0,274,3510,75.3,6.2,6,99.8,14.4,24,51.5,52,0,0,0
127762,22088,Ultimate Cheesesteak,"8"" sub - 14.8 oz - 418.5 g",879.5,36,16.8,0,145,2158,71.9,5.8,6,59.6,12.2,16,38,36,0,0,0
127763,22088,Alpine Swiss Cheesesteak,"8"" sub - 13.2 oz - 373.6 g",705,21.5,10.5,0,110,1343,70,5.8,6,51.4,12.2,10,44.8,36,0,0,0
127764,22088,The Beast,"8"" sub - 29 oz - 822 g",1282,52.3,23.3,0,302,3554,82.8,7.3,9,107.5,36,24,53,56,0,0,0
127765,22088,Chicken Philly Cheesesteak,"8"" sub - 12.6 oz - 356.7 g",710,26.8,10.3,0,103,1984.3,73.9,5.8,6,46.6,12.2,14.5,29.8,24,0,0,0
127766,22088,Grilled Chicken,"8"" sub - 12.2 oz - 345.4 g",552,7.9,2.2,0,82.5,1726.3,75.7,5.8,7.7,40.9,12.2,4,12.1,20,0,0,0
127767,22088,Crispy Chicken,"8"" sub - 11.2 oz - 317 g",620,15.5,2.5,0,30,1934,88,7.8,9,32.3,12.2,4,11.8,25,0,0,0
