food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
127785,22091,# 1 Pepe,7 oz - 198 g,433.6,37.4,9.7,0,70.4,1123.1,5.1,0.9,0,19.7,0,0,0,0,0,0,0
127786,22091,# 1 Pepe with 7-Grain Wheat Bread,11.8 oz - 332.6 g,821.1,42.2,9.7,0,70.3,1655.9,72.9,5.7,0,34.2,0,0,0,0,0,0,0
127787,22091,# 1 Pepe with French Bread,10.5 oz - 298 g,683.6,37.4,9.7,0,70.4,1658.8,55.1,0.9,0,30.4,0,0,0,0,0,0,0
127788,22091,# 1 Pepe with Lettuce Wrap,9.9 oz - 282 g,444.5,37.5,9.8,0,70.4,1130.6,6.9,2.1,0,20.5,0,0,0,0,0,0,0
127789,22091,# 2 Big John,6 oz - 170 g,313.7,26.9,4.3,0,40.2,797,3.8,0.9,0,13,0,0,0,0,0,0,0
127790,22091,# 2 Big John with 7-Grain Wheat Bread,10.8 oz - 305.6 g,701.1,31.8,4.3,0,40.2,1329.8,71.6,5.7,0,27.5,0,0,0,0,0,0,0
127791,22091,# 2 Big John with French Bread,9.5 oz - 270 g,563.7,26.9,4.3,0,40.2,1332.7,53.8,0.9,0,23.7,0,0,0,0,0,0,0
127792,22091,# 2 Big John with Lettuce Wrap,9 oz - 254 g,324.6,27.1,4.3,0,40.2,804.5,5.5,2.1,0,13.8,0,0,0,0,0,0,0
127793,22091,# 3 Sorry Charlie,9.1 oz - 257 g,257.1,19.7,3.5,0,19.7,743.5,8.4,2.7,0,11.8,0,0,0,0,0,0,0
127794,22091,# 3 Sorry Charlie with 7-Grain Wheat Bread,13.8 oz - 392.6 g,644.6,24.5,3.5,0,19.7,1276.3,76.2,7.5,0,26.4,0,0,0,0,0,0,0
127795,22091,# 3 Sorry Charlie with French Bread,12.6 oz - 357 g,507.1,19.7,3.5,0,19.7,1279.2,58.4,2.7,0,22.5,0,0,0,0,0,0,0
127796,22091,# 3 Sorry Charlie with Lettuce Wrap,12 oz - 341 g,268,19.9,3.6,0,19.7,751,10.2,3.8,0,12.7,0,0,0,0,0,0,0
127797,22091,# 4 Turkey Tom,6.4 oz - 182 g,304.8,26,4.3,0,48.4,805.9,3.8,1.2,0,13.5,0,0,0,0,0,0,0
127798,22091,# 4 Turkey Tom with 7-Grain Wheat Bread,11.2 oz - 317.6 g,692.3,30.8,4.3,0,48.4,1338.8,71.6,6,0,28,0,0,0,0,0,0,0
127799,22091,# 4 Turkey Tom with French Bread,9.9 oz - 282 g,554.8,26,4.3,0,48.4,1341.9,53.8,1.2,0,24.2,0,0,0,0,0,0,0
127800,22091,# 4 Turkey Tom with Lettuce Wrap,9.4 oz - 266 g,315.7,26.2,4.3,0,48.4,813.5,5.6,2.4,0,14.3,0,0,0,0,0,0,0
127801,22091,# 5 Vito,6.6 oz - 188.5 g,328.6,24.9,10.2,0,68.5,1149.7,6.4,1.2,0,21.2,0,0,0,0,0,0,0
127802,22091,# 5 Vito with 7-Grain Wheat Bread,11.4 oz - 324.1 g,716.1,29.7,10.2,0,68.5,1682.6,74.3,6.1,0,35.7,0,0,0,0,0,0,0
127803,22091,# 5 Vito with French Bread,10.2 oz - 288.5 g,578.6,24.9,10.2,0,68.5,1685.4,56.4,1.2,0,31.9,0,0,0,0,0,0,0
127804,22091,# 5 Vito with Lettuce Wrap,9.6 oz - 272.5 g,339.6,25.1,10.2,0,68.5,1157.3,8.2,2.4,0,22.1,0,0,0,0,0,0,0
127805,22091,# 6 Vegetarian,7.1 oz - 202 g,389.6,36.2,9.9,0,35.7,517.9,7.3,2.4,0,10,0,0,0,0,0,0,0
127806,22091,# 6 Vegetarian with 7-Grain Wheat Bread,11.9 oz - 337.6 g,777,41.1,9.9,0,35.7,1050.8,75.1,7.2,0,24.6,0,0,0,0,0,0,0
127807,22091,# 6 Vegetarian with French Bread,10.6 oz - 302 g,639.6,36.2,9.9,0,35.7,1053.6,57.3,2.4,0,20.8,0,0,0,0,0,0,0
127808,22091,# 6 Vegetarian with Lettuce Wrap,10.1 oz - 286 g,400.5,36.4,9.9,0,35.7,525.5,9,3.6,0,10.9,0,0,0,0,0,0,0
127809,22091,J.J.B.L.T,4.6 oz - 131.7 g,383.4,33.8,6.3,0,39.1,694.9,3.7,0.9,0,15.1,0,0,0,0,0,0,0
127810,22091,J.J.B.L.T with 7-Grain Wheat Bread,9.4 oz - 267.3 g,770.9,38.6,6.3,0,39.1,1227.8,71.5,5.7,0,29.6,0,0,0,0,0,0,0
127811,22091,J.J.B.L.T with French Bread,8.2 oz - 231.7 g,633.4,33.8,6.3,0,39.1,1230.6,53.7,0.9,0,25.8,0,0,0,0,0,0,0
127812,22091,J.J.B.L.T with Lettuce Wrap,7.6 oz - 215.7 g,394.4,33.9,6.3,0,39.1,702.5,5.5,2.1,0,15.9,0,0,0,0,0,0,0
127813,22091,The J.J Gargantuan™,14.9 oz - 421.5 g,765.2,54.6,15.3,0,180.3,3247.6,11.1,1.2,0,56.4,0,0,0,0,0,0,0
127814,22091,The J.J Gargantuan™ with 7-Grain Wheat Bread,19.7 oz - 557.1 g,1152.7,59.5,15.3,0,180.3,3780.5,78.9,6.1,0,70.9,0,0,0,0,0,0,0
127815,22091,The J.J Gargantuan™ with French Bread,18.4 oz - 521.5 g,18.4,54.6,15.3,0,180.3,3783.3,61.1,1.2,0,67.1,0,0,0,0,0,0,0
127816,22091,The J.J Gargantuan™ with Lettuce Wrap,17.8 oz - 505.5 g,776.1,54.8,15.3,0,180.3,3255.2,12.8,2.4,0,57.2,0,0,0,0,0,0,0
127817,22092,# 7 Gourmet Smoked Ham Club,9.2 oz - 261 g,506.1,39.7,10.6,0,105,1814.2,6.9,0.9,0,30.2,0,0,0,0,0,0,0
127818,22092,# 7 Gourmet Smoked Ham Club with 7-Grain Wheat Bread,14 oz - 396.6 g,893.5,44.5,10.6,0,105,2347,74.7,5.7,0,44.7,0,0,0,0,0,0,0
127819,22092,# 7 Gourmet Smoked Ham Club with French Bread,14.1 oz - 399 g,851.1,39.7,10.6,0,105,2553.5,75.9,0.9,0,45,0,0,0,0,0,0,0
127820,22092,# 7 Gourmet Smoked Ham Club with Lettuce Wrap,12.2 oz - 345 g,517,39.8,10.6,0,105,1821.8,8.6,2.1,0,31,0,0,0,0,0,0,0
127821,22092,# 8 Billy Club,9.8 oz - 278 g,521.6,39.8,10.6,0,99.3,1793.4,7.9,1.1,0,32.7,0,0,0,0,0,0,0
127822,22092,# 8 Billy Club with 7-Grain Wheat Bread,14.6 oz - 413.6 g,909.1,44.7,10.6,0,99.3,2326.3,75.7,5.9,0,47.2,0,0,0,0,0,0,0
127823,22092,# 8 Billy Club with French Bread,14.7 oz - 416 g,866.6,39.8,10.6,0,99.3,2532.7,76.9,1.1,0,47.5,0,0,0,0,0,0,0
127824,22092,# 8 Billy Club with Lettuce Wrap,12.8 oz - 362 g,532.5,39.8,10.6,0,99.3,1801,9.7,2.2,0,33.6,0,0,0,0,0,0,0
127825,22092,# 9 Italian Night Club,10 oz - 283.5 g,629.7,52.4,14.5,0,114.6,2023.7,8.2,1.2,0,31.7,0,0,0,0,0,0,0
127826,22092,# 9 Italian Night Club with 7-Grain Wheat Bread,14.8 oz - 419.1 g,1017.2,57.2,14.5,0,114.6,2556.6,76,6.1,0,46.3,0,0,0,0,0,0,0
127827,22092,# 9 Italian Night Club with French Bread,14.9 oz - 421.5 g,974.7,52.4,14.5,0,114.6,2763,77.2,1.2,0,46.5,0,0,0,0,0,0,0
127828,22092,# 9 Italian Night Club with Lettuce Wrap,13 oz - 367.5 g,640.6,52.5,14.5,0,114.6,2031.3,10,2.4,0,32.6,0,0,0,0,0,0,0
127829,22092,# 10 Hunter's Club,9.6 oz - 273 g,509,38.3,10.6,0,93.2,1647.7,6.6,0.9,0,33.8,0,0,0,0,0,0,0
127830,22092,# 10 Hunter's Club with 7-Grain Wheat Bread,14.4 oz - 408.6 g,896.5,43.1,10.6,0,93.2,2180.5,74.4,5.7,0,48.3,0,0,0,0,0,0,0
127831,22092,# 10 Hunter's Club with French Bread,14.5 oz - 411 g,854,38.3,10.6,0,93.2,2387,75.6,0.9,0,48.6,0,0,0,0,0,0,0
127832,22092,# 10 Hunter's Club with Lettuce Wrap,12.6 oz - 357 g,519.9,38.5,10.6,0,93.2,1655.2,8.4,2.1,0,34.6,0,0,0,0,0,0,0
127833,22092,# 11 Country Club,9.4 oz - 267 g,495.2,38,9.7,0,107.3,1739.2,6.3,0.9,0,32,0,0,0,0,0,0,0
127834,22092,# 11 Country Club with 7-Grain Wheat Bread,14.2 oz - 402.6 g,882.7,42.8,9.7,0,107.3,2272,74.2,5.7,0,46.5,0,0,0,0,0,0,0
127835,22092,# 11 Country Club with French Bread,14.3 oz - 405 g,840.2,38,9.7,0,107.3,2478.5,75.3,0.9,0,46.8,0,0,0,0,0,0,0
127836,22092,# 11 Country Club with Lettuce Wrap,12.4 oz - 351 g,506.1,38.1,9.8,0,107.3,1746.7,8.1,2.1,0,32.8,0,0,0,0,0,0,0
127837,22092,# 12 Beach Club,9.6 oz - 271 g,451.2,36.8,9.9,0,72.7,1134,8.5,2.4,0,22.4,0,0,0,0,0,0,0
127838,22092,# 12 Beach Club with 7-Grain Wheat Bread,14.3 oz - 406.6 g,838.6,41.7,9.9,0,72.7,1666.8,76.3,7.2,0,36.9,0,0,0,0,0,0,0
127839,22092,# 12 Beach Club with French Bread,14.4 oz - 409 g,796.2,36.8,9.9,0,72.7,1873.3,77.5,2.4,0,37.2,0,0,0,0,0,0,0
127840,22092,# 12 Beach Club with Lettuce Wrap,12.5 oz - 355 g,462.1,37,9.9,0,72.7,1141.5,10.3,3.6,0,23.2,0,0,0,0,0,0,0
127841,22092,# 13 Gorment Veggie Club,10.7 oz - 304 g,753.8,65.4,26.3,0,108.6,1246.5,10.9,2.4,0,35.5,0,0,0,0,0,0,0
127842,22092,# 13 Gorment Veggie Club with 7-Grain Wheat Bread,15.5 oz - 439.6 g,1141.3,70.2,26.3,0,108.6,1779.3,78.7,7.2,0,50.1,0,0,0,0,0,0,0
127843,22092,# 13 Gorment Veggie Club with French Bread,15.6 oz - 442 g,1098.8,65.4,26.3,0,108.6,1985.8,79.9,2.4,0,50.3,0,0,0,0,0,0,0
127844,22092,# 13 Gorment Veggie Club with Lettuce Wrap,13.7 oz - 388 g,764.8,65.5,26.3,0,108.6,1254,12.7,3.6,0,36.4,0,0,0,0,0,0,0
