food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
128551,22153,Grilled Hawaiian Chicken,,232,2,0.7,0,27,990,35,0.8,3.4,16,0,0,0,0,0,0,0
128552,22153,Grilled Chicken Caesar,,224,2.9,1,0,29,661,31,0.7,1.9,16,0,0,0,0,0,0,0
128553,22153,Grilled Chicken & Broccoli,,235,2.4,0.6,0,27,576,35,1.3,2.5,16,0,0,0,0,0,0,0
128554,22153,Ultra Supreme,,223,2.3,0.8,0,26,895,34,0.8,3.2,16,0,0,0,0,0,0,0
128555,22153,Grilled Raspberry Chicken,,214,2,0.5,0,23,944,35,0.9,3.6,14,0,0,0,0,0,0,0
128556,22153,Ultra Grilled Chicken,,229,2.5,0.7,0,27,656,34,1.7,3.4,15,0,0,0,0,0,0,0
128557,22153,Ultra Combo (Chicken/Turkey),,221,1.7,0.4,0,28,642,34,1.7,3.2,16,0,0,0,0,0,0,0
128558,22153,Ultra Turkey,,214,0.8,0.1,0,30,658,34,1.7,2.9,16,0,0,0,0,0,0,0
128559,22153,Cranberry Turkey,,275,0.9,0.1,0,30,658,50,2.3,13,16,0,0,0,0,0,0,0
128560,22154,Grilled Hawaiian Chicken,,375,3.7,1,0,41,1784,57,1.2,4.8,25,0,0,0,0,0,0,0
128561,22154,Grilled Chicken Caesar,,353,4,1.3,0,42,986,50,1,2.7,24,0,0,0,0,0,0,0
128562,22154,Grilled Chicken & Broccoli,,373,3.7,1,0,41,878,57,1.9,3.5,24,0,0,0,0,0,0,0
128563,22154,Ultra Supreme,,350,3.4,1.1,0,37,1314,56,1.1,4.5,23,0,0,0,0,0,0,0
128564,22154,Grilled Raspberry Chicken,,342,3,0.7,0,34,1426,56,1.4,5,22,0,0,0,0,0,0,0
128565,22154,Ultra Grilled Chicken,,367,3.7,1,0,41,1080,56,2.3,4.7,23,0,0,0,0,0,0,0
128566,22154,Ultra Combo (Chicken/Turkey),,354,2.5,0.6,0,43,1058,56,2.3,4.3,24,0,0,0,0,0,0,0
128567,22154,Ultra Turkey,,343,1.3,0.2,0,45,1099,56,2.3,3.9,25,0,0,0,0,0,0,0
128568,22154,Cranberry Turkey,,424,1.3,0.2,0,45,1099,77,3.2,17,25,0,0,0,0,0,0,0
128569,22155,Grilled Hawaiian Chicken,,546,5.8,1.6,0,68,2704,80,1.7,7,39,0,0,0,0,0,0,0
128570,22155,Grilled Chicken Caesar,,514,6.5,2.1,0,70,1489,70,1.4,4,37,0,0,0,0,0,0,0
128571,22155,Grilled Chicken & Broccoli,,541,6,1.6,0,68,1332,79,2.6,5,38,0,0,0,0,0,0,0
128572,22155,Ultra Supreme,,510,5.3,1.9,0,63,2067,77,1.6,6.9,37,0,0,0,0,0,0,0
128573,22155,Grilled Raspberry Chicken,,495,4.7,1.2,0,57,2229,78,2,8,33,0,0,0,0,0,0,0
128574,22155,Ultra Grilled Chicken,,553,5.8,1.6,0,68,1626,78,3.3,7.2,36,0,0,0,0,0,0,0
128575,22155,Ultra Combo (Chicken/Turkey),,514,3.8,1,0,71,1590,77,3.3,6.5,38,0,0,0,0,0,0,0
128576,22155,Ultra Turkey,,495,1.8,0.2,0,75,1578,77,3.3,5.8,39,0,0,0,0,0,0,0
128577,22155,Cranberry Turkey,,597,1.8,0.3,0,75,1557,104,4.2,23,39,0,0,0,0,0,0,0
