food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
128754,22171,Cinnamon Swirl,1 slice - 1 oz,70,0,0,0,0,100,15,1,3,2,0,0,0,0,0,0,0
128755,22171,Grandma's White,1 slice - 1 oz,60,0,0,0,0,115,14,0,1,2,0,0,0,0,0,0,0
128756,22171,Honey Whole Wheat,1 slice - 1 oz,70,0,0,0,0,80,14,2,2,3,0,0,0,0,0,0,0
128757,22172,Almond Bear Claw,1 slice - 1 oz,80,2,0,0,5,85,14,1,2,2,0,0,0,0,0,0,0
128758,22172,Apple Raisin Challah,1 slice - 1 oz,70,0,0,0,10,75,14,2,1,2,0,0,0,0,0,0,0
128759,22172,Apple Raisin Cinnamon Swirl,1 slice - 1 oz,70,0,0,0,0,90,15,1,3,1,0,0,0,0,0,0,0
128760,22172,Apricot Almond,1 slice - 1 oz,70,1,0,0,0,90,13,1,2,2,0,0,0,0,0,0,0
128761,22172,Bavarian Rye,1 slice - 1 oz,65,0,0,0,0,85,13,1,0,2,0,0,0,0,0,0,0
128762,22172,Blueberry Cheese Danish,1 slice - 1 oz,60,1,0,0,5,75,12,1,3,2,0,0,0,0,0,0,0
128763,22172,Blueberry Cheesecake,1 slice - 1 oz,70,1,0,0,0,95,14,1,4,2,0,0,0,0,0,0,0
128764,22172,Blueberry Cobbler,1 slice - 1 oz,80,1,0,0,5,75,16,1,5,2,0,0,0,0,0,0,0
128765,22172,Blueberry Pancake,1 slice - 1 oz,70,1,0,0,5,75,15,1,5,2,0,0,0,0,0,0,0
128766,22172,Blueberry White Chocolate,1 slice - 1 oz,70,1,0,0,0,95,14,1,4,2,0,0,0,0,0,0,0
128767,22172,Caramel Apple,1 slice - 1 oz,80,1,0,0,0,115,16,1,4,2,0,0,0,0,0,0,0
128768,22172,Cheese Danish,1 slice - 1 oz,80,2,0,0,10,85,13,1,4,2,0,0,0,0,0,0,0
128769,22172,Cherry Apple Strudel,1 slice - 1 oz,70,1,0,0,5,90,10,1,3,2,0,0,0,0,0,0,0
128770,22172,Cherry Cheesecake,1 slice - 1 oz,70,1,0,0,0,90,14,1,4,2,0,0,0,0,0,0,0
128771,22172,Cherry Chocolate,1 slice - 1 oz,70,1,0,0,0,85,14,1,2,2,0,0,0,0,0,0,0
128772,22172,Chocolate Bobka,1 slice - 1 oz,70,2,0,0,0,85,14,1,4,2,0,0,0,0,0,0,0
128773,22172,Cinnamon Crunch,1 slice - 1 oz,80,2,0,0,0,100,15,1,5,2,0,0,0,0,0,0,0
128774,22172,Cinnamon Raisin Walnut,1 slice - 1 oz,70,1,0,0,0,70,14,2,1,3,0,0,0,0,0,0,0
128775,22172,Country Italian,1 slice - 1 oz,60,0,0,0,0,140,13,0,0,2,0,0,0,0,0,0,0
128776,22172,Cranberry Orange,1 slice - 1 oz,70,0,0,0,0,70,15,2,3,2,0,0,0,0,0,0,0
128777,22172,Cranberry Pecan Cornbread,1 slice - 1 oz,80,2,0,0,0,95,14,1,4,1,0,0,0,0,0,0,0
128778,22172,Dakota,1 slice - 1 oz,70,0,0,0,0,150,14,2,1,3,0,0,0,0,0,0,0
128779,22172,Focaccia,1 slice - 1 oz,60,1,0,0,0,150,10,0,0,2,0,0,0,0,0,0,0
128780,22172,Frosted Fruited Cinnamon Swirl,1 slice - 1 oz,70,0,0,0,0,180,31,2,9,3,0,0,0,0,0,0,0
128781,22172,German Fruit & Nut Stollen,1 slice - 1 oz,70,1,0,0,5,75,15,1,3,2,0,0,0,0,0,0,0
128782,22172,Holiday Fruit,1 slice - 1 oz,60,0,0,0,0,95,14,1,2,2,0,0,0,0,0,0,0
128783,22172,Hot Cross,1 slice - 1 oz,80,2,0,0,5,85,14,1,2,2,0,0,0,0,0,0,0
