food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
129057,22202,Bacon Spinach,339 g,770,35,13,0,440,1530,71,3,4,36,10,70,45,15,0,0,0
129058,22203,Plain,265 g,710,34,17,0,450,1740,81,2,7,25,0,30,10,35,0,0,0
129059,22203,Cheese,294 g,790,39,21,0.5,470,1920,81,2,8,32,0,35,30,30,0,0,0
129060,22203,Tomato & Cheese,336 g,800,39,21,0.5,470,1930,83,3,9,33,15,40,30,30,0,0,0
129061,22203,"Spinach, Mushroom & Swiss",315 g,840,43,23,0.5,480,1900,82,3,7,35,4,45,45,30,0,0,0
129062,22203,Turkey Sausage & Cheese,353 g,900,46,25,0.5,505,2290,82,3,8,44,4,40,35,35,0,0,0
129063,22203,Nova Lox & Chive,313 g,800,39,20,0,465,2110,81,3,8,32,2,35,20,30,0,0,0
129064,22204,Garden Veggie,2 tbsp - 20 g,60,5,3.5,0,15,105,2,0,1,1,0,4,0,0,0,0,0
129065,22204,Garlic Herb,2 tbsp - 20 g,60,5,3.5,0,15,100,3,0,0,1,0,4,0,0,0,0,0
129066,22204,Honey Almond,2 tbsp - 20 g,70,5,3,0,15,40,5,0,4,1,0,2,0,0,0,0,0
129067,22204,Jalapeno Salsa,2 tbsp - 20 g,60,5,3,0,15,95,3,0,1,1,0,4,0,0,0,0,0
129068,22204,Maple Raisin Walnut,2 tbsp - 20 g,60,5,3.5,0,15,45,4,0,3,1,0,2,0,0,0,0,0
129069,22204,Onion & Chive,2 tbsp - 20 g,70,6,4,0,20,55,3,0,1,4,0,0,0,0,0,0,0
129070,22204,Strawberry,2 tbsp - 20 g,70,5,3.5,0,15,50,5,0,4,1,0,2,0,0,0,0,0
129071,22204,Sun-Dried Tomato Basil,2 tbsp - 20 g,60,5,3.5,0,15,50,2,0,1,1,0,2,0,0,0,0,0
129072,22205,Blueberry,120 g,360,1,0,0,0,660,79,3,7,12,0,0,2,25,0,0,0
129073,22205,Chocolate Chip,120 g,400,4.5,2.5,0,0,620,80,3,12,12,0,0,2,20,0,0,0
129074,22205,Cinnamon Raisin,120 g,360,1,0,0,0,610,80,2,13,11,0,0,4,20,0,0,0
129075,22205,Cinnamon Sugar,149 g,520,21,4.5,0.5,0,910,78,2,5,12,0,20,2,20,0,0,0
129076,22205,Everything,124 g,360,2,0,0,0,850,77,2,5,12,0,0,2,20,0,0,0
129077,22205,Garlic,124 g,360,1,0,0,0,700,78,2,5,12,2,0,2,20,0,0,0
129078,22205,Good Egg,120 g,360,1.5,0,0,20,700,76,2,4,12,0,0,2,20,0,0,0
129079,22205,Poppy Dip'd,124 g,370,0.5,0,0,0,700,78,2,5,13,0,0,8,20,0,0,0
129080,22205,Pumpernickel,120 g,350,1,0,0,0,620,76,3,2,12,0,0,4,20,0,0,0
129081,22205,Salt,124 g,350,1,0,0,0,2090,77,2,5,12,0,0,2,20,0,0,0
129082,22205,Sesame,124 g,370,3,0,0,0,700,77,2,5,13,0,0,2,20,0,0,0
129083,22205,Sun Dried Tomato,120 g,360,1.5,0,0,0,750,77,3,6,12,0,0,4,20,0,0,0
129084,22205,Super Onion,120 g,360,1.5,0,0,0,660,77,3,4,12,0,0,6,20,0,0,0
129085,22205,Whole Wheat,120 g,330,1,0,0,0,620,73,4,6,12,0,0,2,20,0,0,0
129086,22205,Whole Wheat Sesame,124 g,350,3,0,0,0,620,74,4,6,13,0,0,2,20,0,0,0
129087,22205,Power Bagels-Original Fruit & Nut,1 bagel - 120 g,410,5,0.5,0,0,310,81,4,18,13,0,0,4,25,0,0,0
129088,22206,Hummus,2 oz,110,7,0.5,0,0,390,9,2,2,3,6,0,4,4,0,0,0
129089,22206,Power Bagel With Peanut Butter,117 g,750,34,6,0,0,780,92,7,22,27,0,0,6,30,0,0,0
129090,22207,Aidells Artichoke & Garlic Sausage,229 g,530,11,3,0,90,1400,81,3,5,29,6,4,10,30,0,0,0
129091,22207,Aidells Cajun Andouille Sausage,229 g,600,20,8,0,60,1500,79,2,5,28,2,2,2,20,0,0,0
129092,22207,Aidells Chicken Portobello Sausage,229 g,510,12,3,0,85,1350,78,5,9,29,0,8,10,30,0,0,0
129093,22207,Polish,237 g,750,37,16,0,55,1630,81,2,9,27,0,0,2,25,0,0,0
129094,22207,The Original Bagel Dog,232 g,740,34,15,0,80,1360,78,2,6,29,0,4,20,30,0,0,0
129095,22208,Pastrami Rachel,347 g,860,51,19,0,130,2900,64,3,8,40,30,10,25,25,0,0,0
