food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
129128,22215,Three Cheese Balls,8 cheese balls,560,36,16,0,80,1000,40,0,0,24,0,0,0,0,0,0,0
129129,22215,Three Cheese Balls,16 cheese balls,1120,72,32,0,160,2000,80,0,0,48,0,0,0,0,0,0,0
129130,22215,Snackers,,470,24,15,0,155,290,53,2,0,6,0,0,0,0,0,0,0
129131,22215,Snacker Basket,,1380,74,22,0,60,1480,144,4,0,38,0,0,0,0,0,0,0
129132,22215,Pizza Snackers,,240,11,2,0,0,200,31,2,0,9,0,0,0,0,0,0,0
129133,22215,Pizza Snacker Basket,,1120,53,10,0,5,910,140,6,0,29,0,0,0,0,0,0,0
129134,22216,Peasant Soup,cup,110,5,2,0,20,590,10,1,0,7,0,0,0,0,0,0,0
129135,22216,Peasant Soup,bowl,230,10,4,0,45,1180,19,3,0,15,0,0,0,0,0,0,0
129136,22216,Broccoli Soup,cup,190,13,8,0,37,752,14,0,0,5,0,0,0,0,0,0,0
129137,22216,Broccoli Soup,bowl,380,26,17,0,74,1505,28,0,0,9,0,0,0,0,0,0,0
129138,22217,Spinach Pie - 12 oz. filling,,330,16,6,0,40,690,34,2,0,13,0,0,0,0,0,0,0
129139,22217,Retail Spinach Pie,,250,13,4.5,0,30,530,25,1,0,10,0,0,0,0,0,0,0
129140,22218,Olga Small Olga Salad,,300,29,6,0,15,410,6,2,0,4,0,0,0,0,0,0,0
129141,22218,Olga Medium Olga Salad,,520,50,11,0,25,690,11,4,0,7,0,0,0,0,0,0,0
129142,22218,Side Caesar Salad,,350,28,7,0,10,910,15,3,0,8,0,0,0,0,0,0,0
129143,22218,Olga Entrée Olga Salad,,1000,96,21,0,50,1330,21,8,0,14,0,0,0,0,0,0,0
129144,22218,Grilled Chicken Caesar Entrée,,800,54,13,0,100,1840,30,5,0,49,0,0,0,0,0,0,0
129145,22218,Mandarin Chicken Entrée Salad,,1050,58,11,0,75,1740,102,8,0,30,0,0,0,0,0,0,0
129146,22218,CBC Entrée Salad,,750,46,14,0,125,1410,30,8,0,54,0,0,0,0,0,0,0
129147,22219,Original Olga,,600,28,9,0,85,550,58,2,0,31,0,0,0,0,0,0,0
129148,22219,Original Olga on JAFF Bread,,550,22,8,0,85,550,60,3,0,31,0,0,0,0,0,0,0
129149,22219,Low Carb Original Olga,,480,26,9,0,85,750,21,3,0,44,0,0,0,0,0,0,0
129150,22219,Original Extra Meat Olga,,760,39,13,0,135,510,58,2,0,44,0,0,0,0,0,0,0
129151,22219,Original Extra Meat Olga on JAFF Bread,,710,33,13,0,135,510,60,3,0,44,0,0,0,0,0,0,0
129152,22219,Low Carb Original Extra Meat Olga,,640,38,13,0,135,880,21,3,0,57,0,0,0,0,0,0,0
129153,22219,Original Olga Open Face Olga (with os),,930,51,18,0,185,580,59,2,0,58,0,0,0,0,0,0,0
129154,22219,Original Olga Open Face Olga (with os) JAFF,,880,45,17,0,185,580,61,3,0,58,0,0,0,0,0,0,0
129155,22219,Low Carb Original Open Face Olga (with os),,810,49,18,0,185,780,22,3,0,71,0,0,0,0,0,0,0
129156,22219,Original Super Cheese Olga,,850,47,21,0,145,850,59,2,0,47,0,0,0,0,0,0,0
129157,22219,Original Super Cheese Olga on JAFF Bread,,800,41,20,0,145,850,61,3,0,47,0,0,0,0,0,0,0
129158,22219,Low Carb Original Super Cheese Olga,,730,45,21,0,145,1130,22,3,0,60,0,0,0,0,0,0,0
129159,22219,Steak & Cheese Olga,,780,35,12,0,130,1220,69,4,0,48,0,0,0,0,0,0,0
129160,22219,Steak & Cheese Olga on JAFF Bread,,730,29,11,0,130,1220,71,5,0,49,0,0,0,0,0,0,0
129161,22219,Low Carb Steak & Cheese Olga,,660,33,12,0,130,1430,32,5,0,61,0,0,0,0,0,0,0
129162,22219,Beef & Burnt Onion Olga,,810,37,13,0,150,1120,60,3,0,61,0,0,0,0,0,0,0
129163,22219,Beef & Burnt Onion Olga on JAFF Bread,,760,30,12,0,150,1120,62,4,0,61,0,0,0,0,0,0,0
129164,22219,Low Carb Beef & Burnt Onion Olga,,690,34,12,0,150,1330,23,4,0,74,0,0,0,0,0,0,0
129165,22219,Roast Beef & Swiss Olga,,890,47,14,0,160,630,57,2,0,60,0,0,0,0,0,0,0
129166,22219,Roast Beef & Swiss Olga on JAFF Bread,,840,41,13,0,160,630,59,3,0,60,0,0,0,0,0,0,0
129167,22219,Low Carb Roast Beef & Swiss Olga,,770,45,14,0,160,830,20,3,0,73,0,0,0,0,0,0,0
129168,22219,Burger Olga,,870,54,14,0,135,630,55,2,0,40,0,0,0,0,0,0,0
129169,22219,Burger Olga on JAFF Bread,,820,48,13,0,135,630,57,3,0,40,0,0,0,0,0,0,0
129170,22219,Low Carb Burger Olga,,750,52,14,0,135,830,18,3,0,53,0,0,0,0,0,0,0
129171,22219,Bleu Cheese Burger Olga,,920,54,22,0,165,1300,56,2,0,52,0,0,0,0,0,0,0
129172,22219,Bleu Cheese Burger Olga on JAFF Bread,,870,48,22,0,165,1300,58,3,0,52,0,0,0,0,0,0,0
129173,22219,Low Carb Bleu Cheese Burger Olga,,800,52,22,0,165,1510,19,3,0,65,0,0,0,0,0,0,0
129174,22219,Chicken Fajita Olga,,660,21,7,0,125,1590,72,5,0,45,0,0,0,0,0,0,0
129175,22219,Chicken Fajita Olga on JAFF Bread,,610,15,7,0,125,1590,74,6,0,46,0,0,0,0,0,0,0
129176,22219,Low Carb Chicken Fajita Olga,,540,19,7,0,125,1790,35,6,0,59,0,0,0,0,0,0,0
129177,22219,Thai Chicken Olga,,700,21,5,0,80,600,80,5,0,46,0,0,0,0,0,0,0
129178,22219,Thai Chicken Olga on JAFF Bread,,650,15,4,0,80,600,82,6,0,46,0,0,0,0,0,0,0
129179,22219,Low Carb Thai Chicken Olga,,580,20,4.5,0,80,810,43,6,0,59,0,0,0,0,0,0,0
