food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
129464,22240,Alfalfa,8 g,2.3,0.1,0,0,0,0.5,0.3,0,0,0.3,0,0,0,0,0,0,0
129465,22240,Assorted,113 g,110.8,4.1,0,0,13.4,634.9,2.4,0,0,16.1,0,0,0,0,0,0,0
129466,22240,Babaganoush,28 g,39.5,2.6,0,0,0,92.9,2.5,1,0,1.6,0,0,0,0,0,0,0
129467,22240,Bacon,75 g,215.1,9.8,0,0,25,1797.2,1.6,0,0,28.2,0,0,0,0,0,0,0
129468,22240,BBQ Sauce,15 g,17.6,0,0,0,0,167.6,3.5,0,0,0,0,0,0,0,0,0,0
129469,22240,Black Olives,4.4 g,5.1,0.5,0,0,0,38.4,0.3,0.1,0,0,0,0,0,0,0,0,0
129470,22240,Caesar,15 g,87,9,0,0,4.6,124,0.7,0,0,0.6,0,0,0,0,0,0,0
129471,22240,Cheddar,38 g,152.8,12.7,0,0,39.7,235.6,0,0,0,9.3,0,0,0,0,0,0,0
129472,22240,Chicken Breast,100 g,114,1.8,0,0,85,77,0,0,0,22.8,0,0,0,0,0,0,0
129473,22240,Chicken Souvlaki,90 g,170,9.3,0,0,71.8,65,0,0,0,20.1,0,0,0,0,0,0,0
129474,22240,Club,113 g,196.8,8.1,0,0,23.4,1353.9,3.1,0,0,27.4,0,0,0,0,0,0,0
129475,22240,Cucumber,13 g,1.7,0,0,0,0,0.3,0.4,0,0,0.1,0,0,0,0,0,0,0
129476,22240,Dijon Mustard,5 g,5,0,0,0,0,115,0,0.1,0,0,0,0,0,0,0,0,0
129477,22240,Falafel,60 g,190,10,0,0,0,736,20,5,0,5.6,0,0,0,0,0,0,0
129478,22240,Feta,28 g,79.6,6.6,0,0,27.5,312.5,1.1,0,0,4,0,0,0,0,0,0,0
129479,22240,Green Olives,4.3 g,6.3,0.5,0,0,0,60.5,0.3,0.1,0,0,0,0,0,0,0,0,0
129480,22240,Green Peppers,37 g,10,0.1,0,0,0,0.7,2.4,0.4,0,0.3,0,0,0,0,0,0,0
129481,22240,Gyros,99 g,290,25,0,0,45,810,7,1,0,15,0,0,0,0,0,0,0
129482,22240,Ham,113 g,137.2,6.2,0,0,6,1262.1,1.2,0,0,18.9,0,0,0,0,0,0,0
129483,22240,Honey Mustard,15 g,37,0.1,0,0,0,0,8.8,0,0,0.2,0,0,0,0,0,0,0
129484,22240,Hot Peppers,14 g,5,0,0,0,0,185,1,0.6,0,0,0,0,0,0,0,0,0
129485,22240,Hummus,28 g,55,3.5,0,0,0,1.3,3.8,1.6,0,2.3,0,0,0,0,0,0,0
129486,22240,Lettuce,27 g,3.2,0.1,0,0,0,2.4,0.6,0.2,0,0.3,0,0,0,0,0,0,0
129487,22240,Light Mayo,15 g,45,4.7,0,0,0,138.8,1,0,0,0,0,0,0,0,0,0,0
129488,22240,Mushrooms,17 g,4.3,0.1,0,0,0,0.7,0.7,0.4,0,0.5,0,0,0,0,0,0,0
129489,22240,Mustard,5 g,0,0,0,0,0,55,0,0.1,0,0,0,0,0,0,0,0,0
129490,22240,Onions,40 g,15.2,0.1,0,0,0,1.2,3.5,0.6,0,0.5,0,0,0,0,0,0,0
129491,22240,Philly Steak,113 g,174.9,8.1,0,0,53.8,470.8,8.1,0,0,16.1,0,0,0,0,0,0,0
129492,22240,Pickles,14 g,2.5,0,0,0,0,145,0.5,0.3,0,0.2,0,0,0,0,0,0,0
129493,22240,Pita Bread,90 g,260,0.4,0,0,0,214,54,2,0,10,0,0,0,0,0,0,0
129494,22240,Ranch Dressing,15 g,69,7.1,0,0,5.2,134,1.2,0,0,0.2,0,0,0,0,0,0,0
129495,22240,RedHot,5 g,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0
129496,22240,Roast Beef,113 g,104,3.1,0,0,108.7,922.1,2.1,0,0,20.3,0,0,0,0,0,0,0
129497,22240,Seafood,113 g,115.4,1.5,0,0,2.3,950.9,11.6,0,0,13.6,0,0,0,0,0,0,0
129498,22240,Secret Sauce,5 g,40.2,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129499,22240,Swiss,29 g,96.9,7.3,0,0,24.7,397.3,0.6,0,0,7.2,0,0,0,0,0,0,0
129500,22240,Tomato,45 g,9.5,0.1,0,0,0,4.1,2.1,0.7,0,0.4,0,0,0,0,0,0,0
129501,22240,Tuna,120 g,116.4,0.7,0,0,21.2,468,0,0,0,27.6,0,0,0,0,0,0,0
129502,22240,Turkey Breast,113 g,105.1,2.6,0,0,26,1076.9,4.5,0,0,16.6,0,0,0,0,0,0,0
129503,22240,Tzatziki,28 g,40,3.5,0,0,0,65,2,0,0,1,0,0,0,0,0,0,0
