food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
129504,22241,Alfalfa Sprouts,,2,0.1,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0
129505,22241,Avocado,,90,9,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0
129506,22241,Babaganoush,,70,3,0,0,0,0.1,4,2,0,2,0,0,0,0,0,0,0
129507,22241,Bacon,,180,14,0,0,30,0.5,0,0,0,18,0,0,0,0,0,0,0
129508,22241,BBQ Sauce,,18,0,0,0,0,0.2,3.5,0,0,0,0,0,0,0,0,0,0
129509,22241,Black Olives,,5,0.5,0,0,0,0,0.3,0.1,0,0,0,0,0,0,0,0,0
129510,22241,BLT,,540,42,0,0,90,1.4,0,0,0,54,0,0,0,0,0,0,0
129511,22241,Caesar,,87,9.3,0,0,5,0.1,0.7,0,0,0.6,0,0,0,0,0,0,0
129512,22241,Cheddar,,153,12.7,0,0,40,0.2,0,0,0,9.3,0,0,0,0,0,0,0
129513,22241,Chicken Breast,,110,4.5,0,0,50,0.5,3,0,0,14,0,0,0,0,0,0,0
129514,22241,Chicken Caeser,,290,18.5,0,0,80,1,3,0,0,32,0,0,0,0,0,0,0
129515,22241,Chicken Souvlaki,,170,9.3,0,0,72,0.1,0,0,0,20.1,0,0,0,0,0,0,0
129516,22241,Club,,197,8.1,0,0,23,2.4,3.1,0,0,27.4,0,0,0,0,0,0,0
129517,22241,Crave,,180,7,0,0,40,1.2,4,0,0,24,0,0,0,0,0,0,0
129518,22241,Cucumbers,,2,0,0,0,0,0,0.4,0,0,0.1,0,0,0,0,0,0,0
129519,22241,Dagwood,,175,5.4,0,0,82,1.7,4.8,0,0,21.5,0,0,0,0,0,0,0
129520,22241,Dijon Mustard,,5,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0
129521,22241,Feta,,80,6.6,0,0,28,0.3,1.1,0,0,4,0,0,0,0,0,0,0
129522,22241,Green Peppers,,10,0.1,0,0,0,0,2.4,0.4,0,0.3,0,0,0,0,0,0,0
129523,22241,Gyros,,290,25,0,0,45,0.8,7,1,0,15,0,0,0,0,0,0,0
129524,22241,Ham,,140,5,0,0,30,1.4,2,0,0,20,0,0,0,0,0,0,0
129525,22241,Honey Mustard,,37,0.1,0,0,0,0,8.8,0,0,0.2,0,0,0,0,0,0,0
129526,22241,Hot Sauce,,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
129527,22241,Hummus,,50,2,0,0,0,0.1,4,1,0,2,0,0,0,0,0,0,0
129528,22241,Jalapenos,,5,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0
129529,22241,Ketchup,,20,0,0,0,0,0.1,5,0,0,0,0,0,0,0,0,0,0
129530,22241,Mayonnaise,,99,11,0,0,10,0.1,0.2,0,0,0.2,0,0,0,0,0,0,0
129531,22241,Mushrooms,,4,0.1,0,0,0,0,0.7,0.4,0,0.5,0,0,0,0,0,0,0
129532,22241,Mustard,,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0
129533,22241,Onions,,15,0.1,0,0,0,0,3.5,0.6,0,0.5,0,0,0,0,0,0,0
129534,22241,Parmesan,,43,2.9,0,0,15,0.2,0.5,0,0,3.9,0,0,0,0,0,0,0
129535,22241,Pepperoncinis,,5,0,0,0,0,0.2,1,0.6,0,0,0,0,0,0,0,0,0
129536,22241,Philly Steak,,102,2.3,0,0,28,0.4,4.5,0,0,15.9,0,0,0,0,0,0,0
129537,22241,Pickles,,3,0,0,0,0,0.1,0.5,0.3,0,0.2,0,0,0,0,0,0,0
129538,22241,Pineapple,,54,0,0,0,0,0,14,1,0,0.5,0,0,0,0,0,0,0
129539,22241,Pita Bread,,260,0.4,0,0,0,0.2,54,2,0,10,0,0,0,0,0,0,0
129540,22241,Ranch Dressing,,69,7.1,0,0,5,0.1,1.2,0,0,0.2,0,0,0,0,0,0,0
129541,22241,Roast Beef,,104,3.1,0,0,109,0.9,2.1,0,0,20.3,0,0,0,0,0,0,0
129542,22241,Romaine,,3,0.1,0,0,0,0,0.6,0.2,0,0.3,0,0,0,0,0,0,0
129543,22241,Salsa,,10,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0
129544,22241,Secret Sauce,,40,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129545,22241,Shredded Lettuce,,3,0.1,0,0,0,0,0.6,0.2,0,0.3,0,0,0,0,0,0,0
129546,22241,Spinach,,7,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
129547,22241,Swiss,,100,8,0,0,25,0.5,1,0,0,6,0,0,0,0,0,0,0
129548,22241,Tomatoes,,10,0.1,0,0,0,0,2.1,0.7,0,0.4,0,0,0,0,0,0,0
129549,22241,Tuna,,116,0.7,0,0,21,0.5,0,0,0,27.6,0,0,0,0,0,0,0
129550,22241,Turkey Breast,,105,2.6,0,0,26,1.1,4.5,0,0,16.6,0,0,0,0,0,0,0
129551,22241,Tzatziki,,40,3.5,0,0,0,0.1,2,0,0,1,0,0,0,0,0,0,0
129552,22241,Falafel,,365,3.4,0,0,0,0.5,74,4,0,17,0,0,0,0,0,0,0
129553,22241,Garden (Vegetable only),,260,0.4,0,0,0,0.2,54,2,0,10,0,0,0,0,0,0,0
129554,22241,American,,267,0.4,0,0,0,0.2,55,3,0,11,0,0,0,0,0,0,0
