food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
129598,22243,"No.2 Ham, Turkey",9.5 oz,328,5,2,0,38,1327,46,3,4,22,0,0,0,0,0,0,0
129599,22243,No.5 Smoked Ham Turkey,9.5 oz,320,5,1,0,34,1343,46,3,6,21,0,0,0,0,0,0,0
129600,22243,No.6 Vegetarian,7 oz,238,2,1,0,0,865,44,4,3,7,0,0,0,0,0,0,0
129601,22243,No.7 Roast Beef,9 oz,315,4,1,0,7,884,43,3,3,23,0,0,0,0,0,0,0
129602,22243,No.8 Turkey,10 oz,315,4,1,0,29,1233,47,3,3,21,0,0,0,0,0,0,0
129603,22243,No. 9 Peppered Pastram,8 oz,293,4,2,0,8,708,44,3,4,16,0,0,0,0,0,0,0
129604,22243,No. 10 Roasted Chicken Breast,9 oz,304,3,1,0,38,1130,44,3,5,24,0,0,0,0,0,0,0
129605,22243,No.14 Smoked Ham,8 oz,301,4,2,0,30,1184,44,3,3,18,0,0,0,0,0,0,0
129606,22243,No.18 Roast Beef Turkey,9 oz,315,4,1,0,18,1059,45,3,4,22,0,0,0,0,0,0,0
129607,22244,"No. 1 Ham, Salami, Capicolla, Pepperoni, Provolone",10 oz,532,26,10,0,69,1676,45,3,3,28,0,0,0,0,0,0,0
129608,22244,"No. 2 Ham, Turkey, Provolone",10 oz,434,15,5,0,48,1467,46,3,4,26,0,0,0,0,0,0,0
129609,22244,"No. 3 Salami, Turkey, Provolone",9 oz,465,20,7,0,42,1371,46,3,3,23,0,0,0,0,0,0,0
129610,22244,"No. 4 Ham, Salami, Provolone",9 oz,469,21,8,0,51,1465,45,3,3,24,0,0,0,0,0,0,0
129611,22244,"No. 5 Smoked Ham, Turkey, Smokey Cheddar",10 oz,431,15,5,0,50,1599,47,3,6,25,0,0,0,0,0,0,0
129612,22244,No. 6 Vegetarian,11 oz,599,33,14,0,50,1555,49,4,5,24,0,0,0,0,0,0,0
129613,22244,No. 7 Roast Beef Provolone,10 oz,421,14,4,0,17,1024,43,3,3,27,0,0,0,0,0,0,0
129614,22244,No. 8 Turkey Provolone,11 oz,421,14,4,0,38,1373,47,3,3,25,0,0,0,0,0,0,0
129615,22244,No. 9 Peppered Pastrami Swiss,9 oz,439,17,7,0,32,766,44,3,4,21,0,0,0,0,0,0,0
129616,22244,No. 10 Roasted Chicken Breast Provolone,10 oz,410,13,4,0,47,1270,45,3,5,28,0,0,0,0,0,0,0
129617,22244,No. 11 Ham American,10 oz,382,20,8,0,80,1814,45,3,5,29,0,0,0,0,0,0,0
129618,22244,No. 12 Salami Provolone,8 oz,479,25,9,0,39,1228,45,3,3,22,0,0,0,0,0,0,0
129619,22244,No. 13 Peppered Pastrami Turkey Swiss,8 oz,511,26,13,0,50,834,44,3,3,23,0,0,0,0,0,0,0
