menu_id,menu_name,restaurant_id
22264,Sandwich Specials,1293
22265,Sandwiches - Baked Ham & Roast Pork,1293
22266,Sandwiches - Chicken,1293
22267,Sandwiches - Lower Fat Specials,1293
22268,Sandwiches - Seafood,1293
22269,Sandwiches - Sliced Steak & Roast Beef,1293
22270,Sandwiches - Turkey & Smoked Turkey,1293
22271,Sandwiches - Veggie & Cheese,1293
22272,Soups - Classic,1293
22273,Soups - Classic Vegetarian,1293
22274,Salad,1293
22275,"Egg Rolys, Kids items, and Sweets",1293
22276,Tortilla,1293
