food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
130541,22292,California BBQ Chicken,,659,27,14,0,85,1503,78,1,0,29,0,0,0,0,0,0,0
130542,22292,4 Cheese Bianco,,904,65,23,0,78,1474,69,1,0,20,0,0,0,0,0,0,0
130543,22292,Margherita,,553,21,10,0,43,1238,71,2,0,24,0,0,0,0,0,0,0
130544,22292,Golden Gate Sausage & Artichoke,,660,30,12,0,61,1622,74,3,0,27,0,0,0,0,0,0,0
130545,22292,Roasted Garlic & Chicken,,597,23,10,0,48,1383,72,2,0,27,0,0,0,0,0,0,0
130546,22292,Vegetable Ranch,,673,36,11,0,29,1316,71,2,0,21,0,0,0,0,0,0,0
130547,22292,Pepperoni,,572,23,10,0,37,1517,72,1,0,23,0,0,0,0,0,0,0
130548,22292,Bay Bridge Broccoli,,839,55,17,0,50,1444,72,2,0,23,0,0,0,0,0,0,0
130549,22292,Classic Cheese,,501,17,7,0,26,1228,72,1,0,20,0,0,0,0,0,0,0
130550,22292,Mushroom,,511,18,8,0,30,1028,71,1,0,21,0,0,0,0,0,0,0
130551,22292,Pizza Rustica,,714,35,14,0,71,1912,73,2,0,31,0,0,0,0,0,0,0
130552,22292,Sausalito Sausage,,657,31,23,0,64,1550,73,2,0,28,0,0,0,0,0,0,0
130553,22292,Sausalito Chicken & Pesto,,549,19,8,0,58,1055,68,1,0,31,0,0,0,0,0,0,0
130554,22292,Angel Island Crab & Pesto,,572,24,10,0,42,1370,67,1,0,24,0,0,0,0,0,0,0
130555,22292,Pepperoni Bread,,599,27,9,0,31,1224,66,0,0,22,0,0,0,0,0,0,0
130556,22292,Bruschetta,,828,47,14,0,44,2866,87,7,0,19,0,0,0,0,0,0,0
130557,22292,Bruschetta,,804,41,11,0,32,2643,85,5,0,19,0,0,0,0,0,0,0
130558,22293,California BBQ Chicken,3-4 servings,3034,93,53,0,359,6883,362,14,0,136,0,0,0,0,0,0,0
130559,22293,4 Cheese Bianco,3-4 servings,3478,179,80,0,334,6120,315,14,0,108,0,0,0,0,0,0,0
130560,22293,Margherita,3-4 servings,2491,63,35,0,167,5388,324,16,0,108,0,0,0,0,0,0,0
130561,22293,Golden Gate Sausage & Artichoke,3-4 servings,2885,94,45,0,238,6762,335,20,0,126,0,0,0,0,0,0,0
130562,22293,Roasted Garlic & Chicken,3-4 servings,2920,81,39,0,286,6330,336,18,0,158,0,0,0,0,0,0,0
130563,22293,Vegetable Ranch,3-4 servings,3282,144,51,0,177,6372,332,21,0,118,0,0,0,0,0,0,0
130564,22293,Pepperoni,3-4 servings,2609,76,37,0,167,6333,323,15,0,109,0,0,0,0,0,0,0
130565,22293,Bay Bridge Broccoli,3-4 servings,3041,130,49,0,186,5703,321,16,0,106,0,0,0,0,0,0,0
130566,22293,Classic Cheese,3-4 servings,2328,51,28,0,123,5176,322,15,0,97,0,0,0,0,0,0,0
130567,22293,Mushroom,3-4 servings,2584,67,34,0,152,5682,339,18,0,111,0,0,0,0,0,0,0
130568,22293,Pizza Rustica,3-4 servings,2895,99,45,0,246,7138,326,16,0,124,0,0,0,0,0,0,0
130569,22293,Sausalito Sausage,3-4 servings,2849,98,44,0,236,6266,324,16,0,118,0,0,0,0,0,0,0
130570,22293,Sausalito Chicken & Pesto,3-4 servings,2881,82,42,0,314,5665,320,16,0,164,0,0,0,0,0,0,0
130571,22293,Angel Island Crab & Pesto,3-4 servings,2756,83,44,0,225,6354,322,18,0,129,0,0,0,0,0,0,0
130572,22294,Avocado Chicken,,756,17,6,0,152,1299,79,6,0,68,0,0,0,0,0,0,0
130573,22294,California Mozzarella Tomato Focaccia,,827,45,18,0,89,521,75,5,0,32,0,0,0,0,0,0,0
130574,22294,Fisherman's Wharf Tuna Salad,,964,35,7,0,140,2505,97,5,0,73,0,0,0,0,0,0,0
130575,22294,Chicken Caesar Wrap,,579,24,5,0,46,1182,67,2,0,25,0,0,0,0,0,0,0
130576,22294,Turkey Focaccia Club,,979,33,16,0,88,2968,81,5,0,39,0,0,0,0,0,0,0
130577,22294,Coastline BBQ Chicken Panini,,673,11,6,0,59,2855,109,3,0,30,0,0,0,0,0,0,0
130578,22294,Layfette French Dip,,950,36,12,0,96,1877,109,6,0,45,0,0,0,0,0,0,0
130579,22294,49er Grinder,,967,63,18,0,96,2553,68,4,0,33,0,0,0,0,0,0,0
130580,22294,Ham & Smoked Gouda Panini,,830,36,15,0,129,3195,80,4,0,42,0,0,0,0,0,0,0
130581,22294,California Chicken Salad Croissant,,807,36,17,0,109,1257,44,3,0,26,0,0,0,0,0,0,0
130582,22294,Napa Chicken Salad,,613,16,3,0,46,1274,88,4,0,27,0,0,0,0,0,0,0
130583,22294,Pesto Turkey Focaccia,,709,28,11,0,80,2874,81,4,0,34,0,0,0,0,0,0,0
130584,22294,Alcatraz Roast Beef,,795,35,14,0,112,1250,82,4,0,35,0,0,0,0,0,0,0
130585,22294,San Francisco Chicken Club,,601,16,5,0,49,1431,82,4,0,29,0,0,0,0,0,0,0
130586,22294,Turkey & Broccoli Wrap Panini,,896,35,18,0,84,2536,61,35,0,42,0,0,0,0,0,0,0
130587,22295,Roasted Red Pepper Spread,1 oz,88,7,1,0,6,204,6,0,0,0,0,0,0,0,0,0,0
130588,22295,Cabernet Mustard,1 oz,46,2,0,0,0,368,3,0,0,0,0,0,0,0,0,0,0
130589,22295,Mayonaise,1 oz,110,9,1,0,7,202,7,0,0,0,0,0,0,0,0,0,0
130590,22295,Garlic Horseradish Spread,1 oz,105,9,1,0,7,203,7,0,0,0,0,0,0,0,0,0,0
130591,22295,Pesto Mayonaise,1 oz,87,7,1,0,5,152,5,0,0,0,0,0,0,0,0,0,0
130592,22295,Mustard Spread,1 oz,52,4,1,0,3,102,3,0,0,0,0,0,0,0,0,0,0
130593,22296,Gold Rush Onion (without garnish),,311,14,8,0,21,1718,36,3,0,11,0,0,0,0,0,0,0
130594,22296,Pier 39 Clam Chowder,,294,13,8,0,63,1078,27,0,0,15,0,0,0,0,0,0,0
130595,22297,Garden House,,390,15,8,0,20,731,50,7,0,17,0,0,0,0,0,0,0
130596,22297,North Beach Caesar,,328,11,6,0,15,647,46,6,0,14,0,0,0,0,0,0,0
130597,22297,Nob Hill Pizza,,434,10,4,0,15,856,74,5,0,17,0,0,0,0,0,0,0
130598,22297,Broccoli and Pine Nut Salad,,225,14,7,0,37,373,14,7,0,16,0,0,0,0,0,0,0
130599,22297,Chopped Chicken and Pecan,,683,39,15,0,183,1021,19,6,0,62,0,0,0,0,0,0,0
130600,22297,Zinfandel Chicken & Feta Salad,,711,19,7,0,158,997,79,7,0,60,0,0,0,0,0,0,0
