food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
130624,22301,The Original™,small,536,24,0,0,0,1973,53,3,0,27,0,0,0,0,0,0,0
130625,22301,The Original™,medium,758,32,0,0,0,2919,77,4,0,39,0,0,0,0,0,0,0
130626,22301,Ham & Cheese - The Original™-Style,small,428,19,0,0,0,2328,54,3,0,31,0,0,0,0,0,0,0
130627,22301,Ham & Cheese - The Original™-Style,medium,731,27,0,0,0,3411,79,4,0,44,0,0,0,0,0,0,0
130628,22301,Turkey - The Original™-Style,small,574,24,0,0,0,2179,54,3,0,36,0,0,0,0,0,0,0
130629,22301,Turkey - The Original™-Style,medium,799,31,0,0,0,3098,79,4,0,51,0,0,0,0,0,0,0
130630,22301,Smoked Turkey Breast,small,336,5,0,0,0,1430,51,2,0,23,0,0,0,0,0,0,0
130631,22301,Smoked Turkey Breast,medium,490,7,0,0,0,2086,75,3,0,34,0,0,0,0,0,0,0
130632,22301,Angus Roast Beef & Cheese,small,528,22,0,0,0,1973,42,2,0,33,0,0,0,0,0,0,0
130633,22301,Angus Roast Beef & Cheese,medium,767,32,0,0,0,2363,72,3,0,46,0,0,0,0,0,0,0
130634,22301,Turkey Bacon Club,small,454,31,0,0,0,1973,54,3,0,41,0,0,0,0,0,0,0
130635,22301,Turkey Bacon Club,medium,964,46,0,0,0,2397,78,5,0,61,0,0,0,0,0,0,0
130636,22301,Grilled Chicken Breast,small,340,4,0,0,0,1190,52,3,0,29,0,0,0,0,0,0,0
130637,22301,Grilled Chicken Breast,medium,500,6,0,0,0,1800,77,4,0,43,0,0,0,0,0,0,0
130638,22301,Chicken Breast,small,330,4,0,0,0,1370,50,2,0,26,0,0,0,0,0,0,0
130639,22301,Chicken Breast,medium,490,5,0,0,0,2070,73,4,0,38,0,0,0,0,0,0,0
130640,22301,Fresh Veggie,small,330,9,0,0,0,839,50,4,0,14,0,0,0,0,0,0,0
130641,22301,Fresh Veggie,medium,460,10,0,0,0,1288,75,5,0,18,0,0,0,0,0,0,0
130642,22301,Chipotle Grilled Chicken,small,374,9,0,0,0,1087,48,2,0,30,0,0,0,0,0,0,0
130643,22301,Chipotle Grilled Chicken,medium,510,12,0,0,0,1481,67,3,0,41,0,0,0,0,0,0,0
130644,22301,Chipotle Chicken,small,367,9,0,0,0,1272,46,2,0,27,0,0,0,0,0,0,0
130645,22301,Chipotle Chicken,medium,420,11,0,0,0,1752,64,3,0,37,0,0,0,0,0,0,0
130646,22301,Homestyle Tuna,small,383,13,0,0,0,1172,42,3,0,20,0,0,0,0,0,0,0
130647,22301,Homestyle Tuna,medium,556,19,0,0,0,1712,73,4,0,30,0,0,0,0,0,0,0
130648,22301,Mediterranean Tuna,small,418,18,0,0,0,1110,42,3,0,20,0,0,0,0,0,0,0
