food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
130852,22318,"6"" Signature Deli ",regular,418,19,8,0,61,1511,42,2,0,18,0,0,0,0,0,0,0
130853,22318,"8"" Signature Deli ",regular,568,26,10,0,85,2124,56,3,0,25,0,0,0,0,0,0,0
130854,22318,"12"" Signature Deli ",super,835,38,15,0,121,3022,83,4,0,36,0,0,0,0,0,0,0
130855,22318,"6"" Tuna Sub ",regular,298,5,1,0,34,849,41,3,0,22,0,0,0,0,0,0,0
130856,22318,"8"" Tuna Sub ",regular,397,6,1,0,46,1132,55,3,0,29,0,0,0,0,0,0,0
130857,22318,"12"" Tuna Sub ",super,596,9,2,0,68,1698,82,5,0,43,0,0,0,0,0,0,0
130858,22318,"6"" Turkey Sub ",regular,274,5,1,0,31,1085,40,2,0,18,0,0,0,0,0,0,0
130859,22318,"8"" Turkey Sub ",regular,374,6,1,0,46,1556,53,3,0,25,0,0,0,0,0,0,0
130860,22318,"12"" Turkey Sub ",super,547,9,2,0,61,2170,79,4,0,35,0,0,0,0,0,0,0
130861,22318,"6"" Ham Sub ",regular,292,7,2,0,31,1279,42,2,0,17,0,0,0,0,0,0,0
130862,22318,"8"" Ham Sub ",regular,401,9,3,0,46,1847,57,3,0,23,0,0,0,0,0,0,0
130863,22318,"12"" Ham Sub ",super,584,13,4,0,61,2558,84,4,0,33,0,0,0,0,0,0,0
130864,22318,"6"" Roast Beef Sub ",regular,353,13,4,0,37,721,40,2,0,20,0,0,0,0,0,0,0
130865,22318,"8"" Roast Beef Sub ",regular,492,18,6,0,55,1009,53,3,0,29,0,0,0,0,0,0,0
130866,22318,"12"" Roast Beef Sub ",super,705,25,8,0,73,1441,79,4,0,40,0,0,0,0,0,0,0
130867,22318,"6"" Club Sub ",regular,323,9,3,0,38,1327,41,2,0,19,0,0,0,0,0,0,0
130868,22318,"8"" Club Sub ",regular,468,15,5,0,61,1992,55,3,0,28,0,0,0,0,0,0,0
130869,22318,"12"" Club Sub ",super,645,18,6,0,76,2654,82,4,0,38,0,0,0,0,0,0,0
130870,22318,"6"" Americian Trio ",regular,317,9,3,0,37,1103,41,2,0,20,0,0,0,0,0,0,0
130871,22318,"8"" Americian Trio ",regular,423,11,3,0,49,1471,54,3,0,26,0,0,0,0,0,0,0
130872,22318,"12"" Americian Trio ",super,634,17,5,0,73,2206,82,4,0,39,0,0,0,0,0,0,0
130873,22318,"6"" Chicken Classic ",regular,303,7,2,0,36,844,39,2,0,22,0,0,0,0,0,0,0
130874,22318,"8"" Chicken Classic ",regular,418,9,3,0,54,1195,52,3,0,31,0,0,0,0,0,0,0
130875,22318,"12"" Chicken Classic ",super,606,13,4,0,72,1688,78,4,0,43,0,0,0,0,0,0,0
130876,22319,"6"" Steak Sub ",regular,348,12,5,0,33,816,42,3,0,19,0,0,0,0,0,0,0
130877,22319,"8"" Steak Sub ",regular,463,15,6,0,43,1088,56,3,0,25,0,0,0,0,0,0,0
130878,22319,"12"" Steak Sub ",super,695,23,7,0,65,1632,84,5,0,37,0,0,0,0,0,0,0
130879,22320,"6"" Cuban ",regular,432,19,11,0,75,1664,41,3,0,26,0,0,0,0,0,0,0
130880,22320,"8"" Cuban ",regular,648,26,15,0,101,2426,67,4,0,37,0,0,0,0,0,0,0
130881,22320,"12"" Cuban ",super,864,37,22,0,150,3329,82,5,0,51,0,0,0,0,0,0,0
130882,22321,"6"" Italian Meatball ",regular,485,24,7,0,76,1092,46,5,0,19,0,0,0,0,0,0,0
130883,22321,"8"" Italian Meatball ",regular,647,32,9,0,100,1460,61,6,0,25,0,0,0,0,0,0,0
130884,22321,"12"" Italian Meatball ",super,969,48,14,0,151,2183,91,9,0,38,0,0,0,0,0,0,0
130885,22321,Tossed Salad,,96,3,1,0,1,393,16,5,0,3,0,0,0,0,0,0,0
130886,22321,Chef Salad,,240,11,5,0,51,1506,19,5,0,19,0,0,0,0,0,0,0
