food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
131070,22337,Ham,224 g,290,5,1.5,0,20,1080,45,4,7,18,35,4,6,25,0,0,0
131071,22337,Oven Roasted Chicken,231 g,300,5,1.5,0.2,40,800,47,4,8,22,30,4,6,25,0,0,0
131072,22337,Roast Beef,224 g,280,5,2,0,20,1040,44,4,7,19,30,4,6,25,0,0,0
131073,22337,Turkey Breast,224 g,280,4.5,1.5,0,10,960,46,4,8,17,30,4,6,25,0,0,0
131074,22337,Turkey Breast & Ham,234 g,290,5,1.5,0,15,1100,46,4,8,19,30,4,6,25,0,0,0
131075,22337,Subway Club™,238 g,290,5,1.5,0,20,1130,46,4,7,20,30,4,6,25,0,0,0
131076,22337,Sweet Onion Chicken Teriyaki,274 g,370,5,1.5,0,45,1200,59,4,18,25,40,6,8,25,0,0,0
131077,22337,Veggie Delite™,167 g,230,3,1,0,0,520,44,4,7,9,30,4,6,25,0,0,0
131078,22338,Chicken & Bacon Ranch,275 g,470,20,7,0.2,70,1250,45,5,7,31,35,6,15,25,0,0,0
131079,22338,Chicken Parmesan,277 g,470,16,6,0.3,35,1300,60,5,8,24,45,8,20,25,0,0,0
131080,22338,Chipotle Southwest Steak & Cheese,299 g,500,22,7,0.5,65,1330,49,5,10,29,50,15,15,40,0,0,0
131081,22338,Tuna,250 g,530,31,7,0.5,45,1020,44,4,7,22,30,6,10,30,0,0,0
131082,22338,Cold Cut Combo,249 g,460,23,9,0,60,1450,48,4,7,20,30,6,15,25,0,0,0
131083,22338,Italian BMT,243 g,450,20,8,0,50,1690,46,4,8,23,30,6,10,25,0,0,0
131084,22338,Meatball Marinara,377 g,560,24,10,1,45,1600,63,7,12,24,50,8,20,40,0,0,0
131085,22338,Spicy Italian,227 g,480,25,9,0,55,1670,45,4,8,21,30,4,6,25,0,0,0
131086,22338,Steak & Cheese,278 g,400,12,5,0.5,55,1120,48,5,9,29,50,10,15,40,0,0,0
131087,22338,Subway Melt™,254 g,380,12,5,0.3,45,1610,48,4,8,25,30,10,15,25,0,0,0
131088,22339,Tuna,161 g,350,18,5,0.4,25,740,35,3,3,14,15,4,10,4,0,0,0
131089,22339,Ham,142 g,210,4,1.5,0,10,670,35,3,3,11,20,4,0,20,0,0,0
131090,22339,Roast Beef,152 g,220,4.5,1.5,0,15,740,34,3,3,13,15,4,6,20,0,0,0
131091,22339,Turkey Breast,152 g,210,4,1.5,0,10,690,36,3,4,12,15,4,2,25,0,0,0
131092,22340,Chicken & Bacon Ranch,249 g,430,26,9,0.5,85,1610,18,9,2,39,15,10,30,15,0,0,0
131093,22340,Tuna,209 g,450,33,7,0.5,50,1190,16,9,1,28,10,4,20,15,0,0,0
131094,22340,Turkey Breast & Bacon Melt,228 g,380,23,6,0.2,40,1700,20,9,3,29,10,8,20,15,0,0,0
131095,22340,Turkey Breast,184 g,180,6,1,0,10,1240,18,9,2,22,10,4,10,15,0,0,0
131096,22341,Grilled Chicken,378 g,130,2.5,0.5,0,45,370,11,4,5,18,50,60,6,10,0,0,0
131097,22341,Tuna Salad,396 g,360,30,6,0.5,45,600,12,4,5,16,45,60,10,15,0,0,0
