menu_id,menu_name,restaurant_id
22337,6-inch Sandwiches with 6 grams of Fat or Less,1301
22338,6-inch Sandwiches,1301
22339,Deli Style Sandwiches,1301
22340,Wraps,1301
22341,Salads,1301
22342,Salad Dressing,1301
22343,6-inch Limited Time Offer/Regional Subs,1301
22344,Breakfast Sandwiches on Deli Round,1301
22345,Breakfast Sandwiches on 6-inch Bread,1301
22346,Breakfast Sandwiches on Wrap,1301
22347,Cookies & Desserts,1301
22348,Fruizle Express,1301
22349,Soup,1301
22350,Breads,1301
22351,Sandwich Condiments (amount on 6-inch sub),1301
22352,Vegetables,1301
22353,"Cheese (amount on 6-inch sub, wrap or salad)",1301
22354,Individual Meats (amount on 6-inch sub or salad),1301
