food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
131199,22355,Ham,204 g,279,4.8,1.5,0,0,1170,40.7,0,4.5,16.4,0,0,0,0,0,0,0
131200,22355,Roast Beef,219 g,283,4.4,1.3,0,0,1280,41.1,0,4.3,18.4,0,0,0,0,0,0,0
131201,22355,Roasted Chicken,223 g,305,5.1,1.5,0,0,775,40.2,0,4.4,23.1,0,0,0,0,0,0,0
131202,22355,Turkey,204 g,283,5.7,1.7,0,0,865,40.4,0,3.2,16.1,0,0,0,0,0,0,0
131203,22355,Turkey & Ham,219 g,298,5.8,1.8,0,0,1110,41.1,0,4.1,18.7,0,0,0,0,0,0,0
131204,22355,Subway Club™,224 g,300,5.6,1.7,0,0,1180,41.3,0,4,19.4,0,0,0,0,0,0,0
131205,22355,Sweet Onion Chicken Teriyaki,266 g,363,5.8,2,0,0,1500,54.4,0,15.9,22.3,0,0,0,0,0,0,0
131206,22355,Veggie Delite™,159 g,229,3.7,1.1,0,0,545,38.7,0,3.2,8.8,0,0,0,0,0,0,0
131207,22356,Cheese Steak,235 g,324,8.5,4.2,0,0,1170,41.4,0,3.9,18.9,0,0,0,0,0,0,0
131208,22356,Chicken Fillet,231 g,394,15.5,5.4,0,0,1270,39.2,0,3.2,19.9,0,0,0,0,0,0,0
131209,22356,Chicken & Bacon Ranch,265 g,515,26,7.2,0,0,1520,41,0,3.8,28.1,0,0,0,0,0,0,0
131210,22356,Chicken Parmigiana,296 g,466,18,6.6,0,0,1460,45.2,0,8.2,24.8,0,0,0,0,0,0,0
131211,22356,Chipotle Southwest Cheese Steak,256 g,414,17.6,5.5,0,0,1320,43.3,0,5.5,18.9,0,0,0,0,0,0,0
131212,22356,Italian BMT™,237 g,395,14.3,7.6,0,0,1620,40.8,0,4.1,24.1,0,0,0,0,0,0,0
131213,22356,Meatball Marinara,331 g,517,20.5,9.9,0,0,1730,60,0,16.2,21.8,0,0,0,0,0,0,0
131214,22356,Spicy Italian,231 g,508,27,11,0,0,1640,41,0,4,25,0,0,0,0,0,0,0
131215,22356,Tuna,242 g,400,17.4,5.2,0,0,1060,39.4,0,3.9,20.2,0,0,0,0,0,0,0
131216,22356,Subway Melt™,240 g,382,12.5,5.3,0,0,1470,41.6,0,4.4,24.4,0,0,0,0,0,0,0
