food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
131304,22373,Thai Cone,1/2 wrap - 177 g,300,9,2.5,0,40,550,35,1,2,20,2,8,6,10,0,0,0
131305,22373,Malibu Melt,1/2 wrap - 173 g,360,17,7,0,70,570,25,1,9,27,15,20,35,10,0,0,0
131306,22373,Campfire,1/2 wrap - 213 g,340,12,2,0,50,810,41,2,13,19,25,15,8,15,0,0,0
131307,22373,Kickin' Fried Chicken,1/2 wrap - 151 g,280,11,2.5,0,55,450,22,1,5,22,15,15,6,10,0,0,0
131308,22373,Pilgrim,1/2 wrap - 158 g,260,14,2.5,0,25,970,21,1,3,12,15,20,6,15,0,0,0
131309,22373,Kingston,1/2 wrap,320,10,1.5,0,80,810,41,1,2,16,10,20,10,25,0,0,0
131310,22373,Mambo,1/2 wrap - 146 g,220,7,2,0,35,510,26,1,3,16,10,2,6,20,0,0,0
131311,22373,Baja,1/2 wrap - 215 g,370,11,4,0,15,1240,54,8,2,14,15,10,20,30,0,0,0
131312,22373,Baja Wrap with Chicken,1/2 wrap - 238 g,420,13,4.5,0,55,1090,47,5,2,27,15,10,20,25,0,0,0
131313,22373,Spa,1/2 wrap - 136 g,200,9,2.5,0,5,350,26,2,3,5,70,80,10,15,0,0,0
131314,22373,Spa,1 torttilla - 90 g,180,6,1,0,0,290,33,13,0,9,0,0,0,0,0,0,0
131315,22374,Angus Khan Burger,411 g,1150,69,22,2.5,255,1120,56,2,4,74,6,20,10,50,0,0,0
131316,22374,Chick-a-Boom,1 sandwich - 256 g,570,38,10,0,110,790,25,2,3,32,20,20,25,10,0,0,0
131317,22374,Great Gobbler,1 sandwich - 237 g,470,24,8,0,60,1670,40,2,16,25,15,15,30,15,0,0,0
131318,22374,Veggie Caprese,1/2 sandwich - 115 g,310,18,5,0,25,430,29,1,2,9,4,8,20,10,0,0,0
131319,22374,United Steak of America,1 sandwich - 196 g,560,40,14,0,95,710,23,2,2,27,30,10,25,20,0,0,0
131320,22375,BBQ Chicken,1/2 quesadilla - 136 g,300,13,7,0,50,720,28,2,6,18,10,10,25,10,0,0,0
131321,22375,4 Cheese,1/2 quesadilla - 85 g,210,11,6,0,30,390,18,1,2,10,10,8,25,6,0,0,0
131322,22375,Apollonia,1/2 quesadilla - 225 g,640,39,15,0,55,1850,39,1,4,32,6,15,70,70,0,0,0
131323,22376,Napa Valley Chicken,355 g,320,15,4,0,100,750,10,3,4,36,150,100,15,15,0,0,0
131324,22376,Tradewind Shrimp,457 g,250,12,5,0,190,620,14,5,7,26,160,130,15,30,0,0,0
131325,22376,Empire Steak,468 g,380,21,7,0,80,500,14,5,7,34,160,130,15,30,0,0,0
131326,22376,Rotisserie Chicken,595 g,830,37,10,0,235,600,37,2,4,81,10,30,8,25,0,0,0
131327,22377,T.J. Cobb,1/2 salad - 272 g,430,30,14,0,200,1000,6,3,3,36,40,60,40,15,0,0,0
131328,22377,Fiesta,1/2 salad - 310 g,340,19,8,0,70,580,18,5,4,27,80,80,30,15,0,0,0
131329,22377,Caesar,307 g,500,46,8,0,45,380,18,5,3,9,90,100,20,15,0,0,0
131330,22378,Tacone Sides - Seasoned French Fries,7.5 oz - 108 g,200,9,1.5,0,0,360,29,3,1,3,4,2,0,0,0,0,0
131331,22378,Tacone Sides - Seasoned Potato Chips,86 g,160,8,2,0,0,290,21,2,0,2,15,2,0,4,0,0,0
131332,22378,Tacone Sides - Thai Cucumber Salad,4 oz - 122 g,20,0,0,0,0,85,5,1,3,1,10,35,2,2,0,0,0
131333,22378,Tacone Sides - Tacone Rice,4 oz - 170 g,240,1,0,0,0,420,51,1,1,5,2,0,4,15,0,0,0
131334,22378,Tacone Sides - Down-Home Coleslaw,4 oz - 113 g,35,0.5,0,0,0,30,7,3,3,2,60,45,4,4,0,0,0
131335,22378,Tacone Sides - Black Beans and Jack Cheese,4 oz - 128 g,210,4.5,2.5,0,15,1470,27,14,0,14,0,4,15,30,0,0,0
131336,22378,Tacone Sides - Homemade Tortilla Chips and Salsa,142 g,300,12,2,0,0,360,42,3,2,5,20,15,10,6,0,0,0
131337,22378,Tacone Side Salad,1/2 salad - 100 g,140,11,1.5,0,10,105,9,2,1,3,25,70,6,4,0,0,0
131338,22378,Flavor Sides - Sweet Potato Fries,7.5 oz - 109 g,190,9,0,0,0,320,23,3,11,2,0,0,0,0,0,0,0
131339,22378,Flavor Sides - Grilled Veggies and Feta,4 oz - 113 g,170,14,6,0,35,490,6,1,4,6,80,30,20,4,0,0,0
131340,22378,Flavor Sides - Spa Salad,225 g,190,9,3,0,15,420,22,3,4,7,110,120,15,15,0,0,0
131341,22379,Orangabang,1 smoothie - 539 g,360,1,0,0,0,135,84,4,70,8,130,4,20,10,0,0,0
131342,22379,Bikini Blast,1 smoothie - 617 g,410,1.5,0,0,0,125,94,5,79,9,220,6,20,15,0,0,0
131343,22379,Blue Voodoo,1 smoothie - 583 g,400,0.5,0,0,0,140,93,6,78,7,80,2,20,15,0,0,0
131344,22379,Palm Peach,1 smoothie - 834 g,500,1.5,0,0,0,150,116,7,99,12,230,8,20,15,0,0,0
131345,22379,Pink Flamingo,1 smoothie - 658 g,520,1,0,0,0,135,125,7,108,9,190,120,20,15,0,0,0
131346,22379,Fresh Fruit Salad,8 oz - 227 g,80,0,0,0,0,35,21,2,19,2,100,70,2,2,0,0,0
131347,22380,Quesadilla Jr.,1 seving - 122 g,420,22,12,0,50,770,35,0,2,19,0,8,40,2,0,0,0
131348,22380,Grilled Cheese,1 seving - 68 g,220,11,6,0,30,410,20,1,1,11,0,6,25,8,0,0,0
131349,22380,Kickin' Fried Chicken Jr.,1 seving - 142 g,250,24,3,0,0,310,7,1,0,1,4,2,0,2,0,0,0
131350,22381,Venice Beach Wrap,1/2 wrap - 354 g,630,31,13,0,105,950,46,4,6,40,6,10,35,90,0,0,0
131351,22381,El Grande Wrap,1/2 wrap - 149 g,280,16,6,0,130,500,20,1,3,15,15,8,15,40,0,0,0
