food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
131418,22385,Deli Subs - Famous,small,464,28,7,0,0,0,39,3,0,19,0,0,0,0,0,0,0
131419,22385,Deli Subs - Ham & Cheese,small,401,22,4,0,0,0,38,3,0,19,0,0,0,0,0,0,0
131420,22385,Deli Subs - Turkey Club,small,476,27,6,0,0,0,36,3,0,23,0,0,0,0,0,0,0
131421,22385,Deli Subs - Turkey & Cheese,small,423,23,5,0,0,0,36,3,0,20,0,0,0,0,0,0,0
131422,22385,Deli Subs - Club Sub,small,481,29,6,0,0,0,36,3,0,22,0,0,0,0,0,0,0
131423,22385,Deli Subs - Famous,regular,664,39,10,0,0,0,55,4,0,26,0,0,0,0,0,0,0
131424,22385,Deli Subs - Ham & Cheese,regular,568,30,6,0,0,0,54,4,0,27,0,0,0,0,0,0,0
131425,22385,Deli Subs - Turkey Club,regular,678,38,9,0,0,0,52,4,0,34,0,0,0,0,0,0,0
131426,22385,Deli Subs - Turkey & Cheese,regular,598,32,7,0,0,0,51,4,0,29,0,0,0,0,0,0,0
131427,22385,Deli Subs - Club Sub,regular,701,41,9,0,0,0,53,4,0,36,0,0,0,0,0,0,0
131428,22385,Deli Subs - Famous,large,1007,64,14,0,0,0,78,6,0,28,0,0,0,0,0,0,0
131429,22385,Deli Subs - Ham & Cheese,large,882,52,10,0,0,0,76,6,0,27,0,0,0,0,0,0,0
131430,22385,Deli Subs - Turkey Club,large,1053,66,14,0,0,0,72,6,0,36,0,0,0,0,0,0,0
131431,22385,Deli Subs - Turkey & Cheese,large,947,59,11,0,0,0,71,6,0,30,0,0,0,0,0,0,0
131432,22385,Deli Subs - Club Sub,large,1094,70,14,0,0,0,73,6,0,41,0,0,0,0,0,0,0
131433,22385,Steak Subs - Mushroom Steak,small,578,39,13,0,0,0,37,3,0,26,0,0,0,0,0,0,0
131434,22385,Steak Subs - Pepper Steak,small,577,39,13,0,0,0,37,3,0,25,0,0,0,0,0,0,0
131435,22385,Steak Subs - Pizza Steak,small,585,39,13,0,0,0,38,4,0,25,0,0,0,0,0,0,0
131436,22385,Steak Subs - Steak & Cheese,small,571,39,18,0,0,0,36,3,0,25,0,0,0,0,0,0,0
131437,22385,Steak Subs - Portabella Mushroom,small,503,28,12,0,0,0,39,4,0,27,0,0,0,0,0,0,0
131438,22385,Steak Subs - Philly Cheesesteak,small,476,27,13,0,0,0,35,3,0,26,0,0,0,0,0,0,0
131439,22385,Steak Subs - Steak Special,small,605,39,13,0,0,0,42,5,0,27,0,0,0,0,0,0,0
131440,22385,Steak Subs - Steak & Cheddar,small,576,39,14,0,0,0,36,3,0,25,0,0,0,0,0,0,0
131441,22385,Steak Subs - Mushroom Steak,regular,833,26,6,0,0,0,52,4,0,13,0,0,0,0,0,0,0
131442,22385,Steak Subs - Pepper Steak,regular,709,46,15,0,0,0,52,4,0,29,0,0,0,0,0,0,0
