menu_id,menu_name,restaurant_id
22387,Frozen Dough Blocks,1307
22388,Frozen Dough Curved All Butter Croissants,1307
22389,Frozen Dough Whole Wheat All Butter Croissant,1307
22390,Frozen Dough Honey Wheat All Butter Croissant,1307
22391,Frozen Dough Curved Margarine Croissant,1307
22392,Pre-Proofed Butter Croissants,1307
22393,Frozen Croissant Sheet Dough,1307
22394,Frozen Puff Pastry Dough,1307
22395,Frozen Dough Filled All Butter Croissants,1307
22396,Frozen Dough Swirl All Butter Croissants,1307
22397,Frozen Dough Sweet Rolls,1307
22398,Frozen Dough Entrée All Butter Croissants,1307
22399,Frozen Dough All Butter Omelette Croissants,1307
22400,Frozen Danish Dough,1307
22401,Frozen Dough Brioche,1307
22402,Frozen Dough Pre-portioned Gourmet Cookies,1307
22403,Frozen Dough Palmier,1307
22404,Frozen Muffin Batter - Portion & Bake,1307
22405,Pre-Proofed Danish,1307
22406,Pre-Proofed Sweet Filled Croissants,1307
22407,Pre-Proofed Cinnamon Rolls,1307
22408,Frzn Dough Pre-Portioned Unique Indulgence Cookie,1307
22409,Frozen Partially Baked Bistro Rolls,1307
22410,Frozen Partially Baked Petit Pain Rolls,1307
22411,Frozen Partially Baked Breadsticks,1307
22412,Frozen Partially Baked Sandwich Rounds,1307
22413,Frozen Partially Baked Small Hearth Loaves,1307
22414,Frozen Partially Baked Boules,1307
22415,Frozen Partially Baked Hearth Loaves,1307
22416,Frozen Partially Baked Flat Bread,1307
22417,Frozen Partially Baked Pane d' Italia,1307
22418,Frozen Partially Baked Sub Rolls,1307
22419,Thaw-and-Serve All Butter Croissants,1307
22420,Thaw-and-Serve Sliced All Butter Croissants,1307
22421,Thaw-and-Serve Honey Wheat All Butter Croissants,1307
22422,Thaw-and-Serve Filled All Butter Croissants,1307
22423,Thaw-and-Serve Bistro Rolls,1307
22424,Thaw-and-Serve Country Rolls,1307
22425,Thaw-and-Serve Hearth Loaves,1307
22426,Thaw-and-Serve Sliced Loaves,1307
22427,Thaw-and-Serve Sliced Sandwich Rounds,1307
22428,Thaw-and-Serve Artisan Breads,1307
22429,Thaw-and-Serve Artisan Focaccia Bread Sheets,1307
22430,Thaw-and-Serve International Breads,1307
22431,Thaw-and-Serve Country Classic Breads,1307
22432,European Classics Cakes (Whole),1307
22433,European Classics Cakes (Precut),1307
22434,American Classics - (Precut),1307
22435,True Temptations (Whole),1307
22436,True Temptations (Precut),1307
22437,Extreme Desserts (Precut),1307
22438,Cheesecakes (Whole),1307
22439,Cheesecakes (Precut),1307
22440,Sweet Fantasy Truffle Cakes (whole),1307
22441,Pies and Tartes (Whole),1307
22442,Retail Cake,1307
22443,Retail Tartes,1307
22444,Seasonal Products,1307
22445,''Soda Shoppe Desserts'' (Precut),1307
22446,Rustic Tartes (Whole),1307
