food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
131916,22447,Tofu and Mushroom Teriyaki,small,387.2,6.5,0.7,0,0,0,57.7,5.1,0,11.1,0,0,0,0,0,0,0
131917,22447,Portabello and Goat Cheese,small,390.5,13.1,3.1,0,0,0,54.7,5.1,0,13.2,0,0,0,0,0,0,0
131918,22447,Bean and Cheese,small,451.6,13.4,3.2,0,0,0,66.8,11,0,15.8,0,0,0,0,0,0,0
131919,22447,Bombay Curry Veggie,small,495,13.8,2.2,0,0,0,80.9,22.9,0,11.6,0,0,0,0,0,0,0
131920,22447,Baja Veggie,small,541.2,13.4,3.7,0,0,0,89.5,11.2,0,17.9,0,0,0,0,0,0,0
131921,22447,Tofu and Mushroom Teriyaki,regular,704,11.8,1.2,0,0,0,104.9,9.2,0,20.2,0,0,0,0,0,0,0
131922,22447,Portabello and Goat Cheese,regular,710,23.8,5.7,0,0,0,99.5,9.2,0,24.1,0,0,0,0,0,0,0
131923,22447,Classic Burrito,regular,821,24.4,5.8,0,0,0,121.5,19.9,0,28.7,0,0,0,0,0,0,0
131924,22447,Bombay Curry Veggie,regular,900,25,4,0,0,0,147,41.6,0,21,0,0,0,0,0,0,0
131925,22447,Burrito Wrapp with Veggies,regular,984,24.4,6.7,0,0,0,162.7,20.4,0,32.5,0,0,0,0,0,0,0
131926,22448,Tequila Lime Shrimp,small,421.9,10.2,2.7,0,0,0,64.5,7.3,0,18.4,0,0,0,0,0,0,0
131927,22448,Spicy Southwest Shrimp,small,459.8,8.1,3.2,0,0,0,74.7,7.8,0,22,0,0,0,0,0,0,0
131928,22448,Barcelona,small,459.8,11.4,2.3,0,0,0,65.4,3.7,0,23.9,0,0,0,0,0,0,0
131929,22448,NW Lemon Dill Salmon,small,477.4,20.2,4.3,0,0,0,52.4,5.4,0,21.1,0,0,0,0,0,0,0
131930,22448,Teriyaki Chicken,small,481.8,9.8,2.7,0,0,0,73.1,7.8,0,25.3,0,0,0,0,0,0,0
131931,22448,Tequila Lime Shrimp,regular,767,18.5,4.9,0,0,0,117.3,13.2,0,33.5,0,0,0,0,0,0,0
131932,22448,Bean and Cheese,regular,821,24.4,5.8,0,0,0,121.5,19.9,0,28.7,0,0,0,0,0,0,0
131933,22448,Spicy Southwest Shrimp,regular,836,14.8,5.9,0,0,0,135.8,14.2,0,39.9,0,0,0,0,0,0,0
131934,22448,Barcelona,regular,836,20.8,4.2,0,0,0,119,6.7,0,43.5,0,0,0,0,0,0,0
131935,22448,NW Lemon Dill Salmon,regular,868,36.8,7.9,0,0,0,95.3,9.9,0,38.4,0,0,0,0,0,0,0
131936,22448,Teriyaki Chicken,regular,876,17.8,4.9,0,0,0,132.9,14.1,0,46.1,0,0,0,0,0,0,0
131937,22449,Burrito Wrapp with Shrimp,small,421.9,10.2,2.7,0,0,0,64.5,7.3,0,18.4,0,0,0,0,0,0,0
131938,22449,Teriyaki Steak,small,497.2,10.3,4.2,0,0,0,68.7,8.5,0,30,0,0,0,0,0,0,0
131939,22449,Burrito Wrapp with Shrimp,regular,767,18.5,4.9,0,0,0,117.3,13.2,0,33.5,0,0,0,0,0,0,0
131940,22449,Teriyaki Steak,regular,904,18.8,7.6,0,0,0,124.9,15.4,0,54.6,0,0,0,0,0,0,0
131941,22450,Chicken Parmesan,small,495,15.8,5.4,0,0,0,53.4,2.4,0,31.6,0,0,0,0,0,0,0
131942,22450,Thai Chicken,small,507.7,17.2,4.1,0,0,0,58.5,4.4,0,30.1,0,0,0,0,0,0,0
131943,22450,Texas Roadhouse BBQ Chicken,small,512.1,16.9,5.1,0,0,0,63.7,3.8,0,26.5,0,0,0,0,0,0,0
131944,22450,Caribbean Sole,small,522.5,13.7,3,0,0,0,80,3.5,0,22.6,0,0,0,0,0,0,0
131945,22450,Baja Veggie,small,541.2,13.4,3.7,0,0,0,162.7,20.4,0,32.5,0,0,0,0,0,0,0
131946,22450,Samurai Salmon,small,543.4,21.7,1.2,0,0,0,64.5,2.4,0,22.2,0,0,0,0,0,0,0
131947,22450,Chicken Caesar,small,546.7,30.2,5.6,0,0,0,43.7,4.9,0,25.3,0,0,0,0,0,0,0
131948,22450,Texas Roadhouse BBQ Steak,small,568.7,22.9,7.9,0,0,0,64.2,3.9,0,28,0,0,0,0,0,0,0
131949,22450,Burrito Wrapp with Steak,small,573.1,20.3,7.2,0,0,0,65.7,6.9,0,34.1,0,0,0,0,0,0,0
131950,22450,Burrito Wrapp with Chicken,small,575.9,21,0.8,0,0,0,66.2,9.7,0,25.7,0,0,0,0,0,0,0
131951,22450,Bombay Curry Chicken,small,577,14.4,2.7,0,0,0,84.4,3.5,0,27.7,0,0,0,0,0,0,0
131952,22450,Chicken Parmesan,regular,900,31.5,9.7,0,0,0,97.1,4.4,0,57.5,0,0,0,0,0,0,0
131953,22450,Thai Chicken,regular,923,31.2,7.4,0,0,0,106.3,8,0,54.8,0,0,0,0,0,0,0
131954,22450,Texas Roadhouse BBQ Chicken,regular,931,30.7,9.3,0,0,0,115.8,7,0,48.2,0,0,0,0,0,0,0
131955,22450,Caribbean Sole,regular,950,24.9,5.4,0,0,0,145.5,6.3,0,41,0,0,0,0,0,0,0
131956,22450,Baja Veggie,regular,984,24.4,6.7,0,0,0,162.7,20.4,0,32.5,0,0,0,0,0,0,0
131957,22450,Samurai Salmon,regular,988,39.5,2.1,0,0,0,117.3,4.3,0,40.4,0,0,0,0,0,0,0
131958,22450,Chicken Caesar,regular,994,54.9,10.1,0,0,0,79.4,8.9,0,46,0,0,0,0,0,0,0
131959,22450,Texas Roadhouse BBQ Steak,regular,1034,41.6,14.3,0,0,0,116.7,7.1,0,50.9,0,0,0,0,0,0,0
131960,22450,Mexican Grilled Steak,regular,1042,37,13.2,0,0,0,119.5,12.5,0,61.9,0,0,0,0,0,0,0
131961,22450,Mexican Grilled Chicken,regular,1047,38.2,1.5,0,0,0,120.4,17.6,0,46.8,0,0,0,0,0,0,0
131962,22450,Bombay Curry Chicken,regular,1049,26.1,4.9,0,0,0,153.4,6.3,0,50.4,0,0,0,0,0,0,0
131963,22451,Strawberry Orange Banana,16 oz,268,1.1,0.6,0,0,0,61.5,4.9,0,3.1,0,0,0,0,0,0,0
131964,22451,"Caribbean ""C""",16 oz,276,1,0.7,0,0,0,63.6,3.1,0,3.2,0,0,0,0,0,0,0
131965,22451,Blue Mango Boost,16 oz,295,1.2,0.1,0,0,0,70.3,4.7,0,4.5,0,0,0,0,0,0,0
131966,22451,Tropical Storm,16 oz,309,3.2,2.4,0,0,0,71.8,3.4,0,5.5,0,0,0,0,0,0,0
131967,22451,Black and Blue,16 oz,319,0.3,0.1,0,0,0,77.3,2.9,0,1.7,0,0,0,0,0,0,0
131968,22451,Triathlete,16 oz,341,1.4,0.6,0,0,0,79.8,3,0,5.1,0,0,0,0,0,0,0
131969,22451,Georgia Peach,16 oz,343,0.3,0.1,0,0,0,85.6,1.4,0,0.6,0,0,0,0,0,0,0
131970,22451,"Caribbean ""C""",24 oz,407,2.5,0.9,0,0,0,98.1,5.3,0,3.6,0,0,0,0,0,0,0
131971,22451,Tropical Storm,24 oz,466,5.5,4.2,0,0,0,105.5,5.9,0,7.4,0,0,0,0,0,0,0
131972,22451,Blue Mango Boost,24 oz,488,2.3,0.3,0,0,0,120.8,8.1,0,7.6,0,0,0,0,0,0,0
131973,22451,Black and Blue,24 oz,492,1.4,0.2,0,0,0,126.8,6.5,0,2.3,0,0,0,0,0,0,0
131974,22451,Peanut Butter Banana,16 oz,502,17.4,4.8,0,0,0,68.5,4.1,0,17.8,0,0,0,0,0,0,0
131975,22451,Georgia Peach,24 oz,548,0.6,0.2,0,0,0,136.3,2.8,0,1.2,0,0,0,0,0,0,0
131976,22451,Strawberry Orange Banana,24 oz,554,2.5,0.8,0,0,0,139.2,8.5,0,3.7,0,0,0,0,0,0,0
131977,22451,Triathlete,24 oz,561,2.2,1,0,0,0,131.2,6,0,9.8,0,0,0,0,0,0,0
131978,22451,Peanut Butter Banana,24 oz,792,35.6,8,0,0,0,94.2,7.2,0,33.3,0,0,0,0,0,0,0
131979,22452,Classic Caesar Salad,,417,41,8,0,0,0,7,4,0,9,0,0,0,0,0,0,0
131980,22452,C.C.S.,,527,42,8,0,0,0,7,4,0,31,0,0,0,0,0,0,0
131981,22452,Blackened Salmon Caesar,,612,54,10,0,0,0,9,5,0,27,0,0,0,0,0,0,0
131982,22452,Thai Asian Chicken Salad,,613,36,3,0,0,0,41,15,0,36,0,0,0,0,0,0,0
131983,22452,California Cobb Salad,,636,62,14,0,0,0,16,6,0,29,0,0,0,0,0,0,0
131984,22452,BBQ Ranch Chicken Salad,,633,48,6,0,0,0,43,15,0,29,0,0,0,0,0,0,0
131985,22452,Garden Veggie Salad,,492,51,7,0,0,0,12,15,0,4,0,0,0,0,0,0,0
131986,22452,Side,3 postickers,170,4,1,0,0,0,24,1,0,8,0,0,0,0,0,0,0
131987,22452,Side,6 postickers,340,8,2,0,0,0,48,2,0,16,0,0,0,0,0,0,0
131988,22452,Chips and Tomato Corn Salsa,,184,8,1,0,0,0,82.2,4,0,2,0,0,0,0,0,0,0
131989,22452,Chips and Mango Salsa,,224,8.4,1,0,0,0,33.8,4,0,2.6,0,0,0,0,0,0,0
131990,22452,Thai Lemongrass Soup,1 cup,256,8.2,0,0,0,0,13.8,0,0,31.8,0,0,0,0,0,0,0
131991,22452,Tortilla Soup,1 cup,191,7.4,2.3,0,0,0,26,6.3,0,8.3,0,0,0,0,0,0,0
131992,22452,Thai Lemongrass Soup,1 bowl,340,11,0,0,0,0,18.3,0,0,42.3,0,0,0,0,0,0,0
131993,22452,Tortilla Soup,1 bowl,323,13.4,4.7,0,0,0,41.2,10,0,14.6,0,0,0,0,0,0,0
131994,22452,Yogurt Parfait,,281,5,1,0,0,0,41,4,0,19,0,0,0,0,0,0,0
131995,22452,Bento Box - Your Small Wrapp Plus,,360,12,1.5,0,0,0,47,8,0,15,0,0,0,0,0,0,0
131996,22453,Kid's Chicken and Cheese,,229,4.1,0.7,0,0,0,25.1,3.3,0,15.4,0,0,0,0,0,0,0
131997,22453,Kid's Bean and Cheese,,332,10.8,5.5,0,0,0,36.1,8.9,0,17.5,0,0,0,0,0,0,0
131998,22453,Kid's Teriyaki Chicken,,407,6.2,1.1,0,0,0,51.9,4.3,0,24.8,0,0,0,0,0,0,0
131999,22453,Kid's Quesadilla,,410,20,10.5,0,0,0,39,4,0,19,0,0,0,0,0,0,0
