food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
132000,22454,"6"" B.L.T.",,411,19,1,0,35,928,48,3,0,12,0,0,0,0,0,0,0
132001,22454,"12"" B.L.T.",,822,39,2,0,71,1858,96,6,0,24,0,0,0,0,0,0,0
132002,22454,"6"" B.L.T.",,330,12,0,0,30,780,43,3,0,12,0,0,0,0,0,0,0
132003,22454,"12"" B.L.T.",,658,25,0,0,60,1559,86,6,0,24,0,0,0,0,0,0,0
132004,22454,"6"" Cosmo Vegetarian Deluxe",,488,25,11,0,39,1067,48,4,0,21,0,0,0,0,0,0,0
132005,22454,"12"" Cosmo Vegetarian Deluxe",,923,45,20,0,68,2008,95,9,0,39,0,0,0,0,0,0,0
132006,22454,"6"" Cosmo Vegetarian Deluxe",,235,3,0,0,0,530,47,4,0,7,0,0,0,0,0,0,0
132007,22454,"12"" Cosmo Vegetarian Deluxe",,468,7,0,0,0,1060,93,9,0,13,0,0,0,0,0,0,0
132008,22454,"6"" Cosmo Vegetarian",,469,23,11,0,39,937,46,4,0,20,0,0,0,0,0,0,0
132009,22454,"12"" Cosmo Vegetarian",,885,43,20,0,68,1748,91,7,0,37,0,0,0,0,0,0,0
132010,22454,"6"" Cosmo Vegetarian",,216,2,0,0,0,401,45,4,0,6,0,0,0,0,0,0,0
132011,22454,"12"" Cosmo Vegetarian",,430,5,0,0,0,800,88,7,0,12,0,0,0,0,0,0,0
132012,22454,"6"" Grilled Veggie Sub",,394,14,7,0,29,1702,52,6,0,19,0,0,0,0,0,0,0
132013,22454,"12"" Grilled Veggie Sub",,733,24,12,0,49,3207,102,11,0,34,0,0,0,0,0,0,0
132014,22454,"6"" Grilled Veggie Sub",,244,3,0,0,0,1329,51,6,0,8,0,0,0,0,0,0,0
132015,22454,"12"" Grilled Veggie Sub",,484,5,0,0,0,2586,100,11,0,16,0,0,0,0,0,0,0
132016,22454,"6"" Grinder",,557,31,12,0,68,1530,48,3,0,23,0,0,0,0,0,0,0
132017,22454,"12"" Grinder",,1062,59,22,0,126,2935,94,6,0,42,0,0,0,0,0,0,0
132018,22454,"6"" Grinder, Multigrain",,559,32,12,0,68,1455,50,4,0,20,0,0,0,0,0,0,0
132019,22454,"12"" Grinder, Multigrain",,1065,60,22,0,126,2784,99,8,0,36,0,0,0,0,0,0,0
132020,22454,"6"" Grinder, Multigrain",,401,18,5,0,47,1145,49,4,0,12,0,0,0,0,0,0,0
132021,22454,"12"" Grinder, Multigrain",,799,36,11,0,94,2288,98,8,0,24,0,0,0,0,0,0,0
132022,22454,"6"" Grinder",,399,17,5,0,47,1220,47,3,0,15,0,0,0,0,0,0,0
132023,22454,"12"" Grinder",,796,35,11,0,94,2439,93,6,0,30,0,0,0,0,0,0,0
132024,22454,"6"" Ham & Cheese",,439,19,8,0,51,1299,44,3,0,24,0,0,0,0,0,0,0
132025,22454,"12"" Ham & Cheese",,810,33,13,0,86,2350,87,6,0,43,0,0,0,0,0,0,0
132026,22454,"6"" Ham & Cheese",,286,5,1,0,31,1011,43,3,0,17,0,0,0,0,0,0,0
132027,22454,"12"" Ham & Cheese",,554,10,2,0,56,1898,86,6,0,32,0,0,0,0,0,0,0
132028,22454,"6"" Hot Italian Sausage",,663,37,14,0,120,1643,45,3,0,35,0,0,0,0,0,0,0
132029,22454,"12"" Hot Italian Sausage",,1326,74,27,0,239,3286,90,6,0,71,0,0,0,0,0,0,0
132030,22454,"6"" Meatball & Cheese",,565,30,14,0,87,1189,50,4,0,22,0,0,0,0,0,0,0
132031,22454,"12"" Meatball & Cheese",,1080,56,25,0,164,2255,100,7,0,40,0,0,0,0,0,0,0
132032,22454,"6"" Meatball & Cheese",,465,22,9,0,68,941,50,4,0,15,0,0,0,0,0,0,0
132033,22454,"12"" Meatball & Cheese",,930,45,18,0,135,1882,100,7,0,30,0,0,0,0,0,0,0
132034,22454,"6"" Pepperoni & Cheese",,545,31,15,0,63,1510,42,2,0,26,0,0,0,0,0,0,0
132035,22454,"12"" Pepperoni & Cheese",,991,54,24,0,107,2771,84,4,0,44,0,0,0,0,0,0,0
132036,22454,"6"" Pepperoni & Cheese",,346,15,5,0,24,1013,41,2,0,11,0,0,0,0,0,0,0
132037,22454,"12"" Pepperoni & Cheese",,692,31,10,0,48,2027,82,4,0,23,0,0,0,0,0,0,0
132038,22454,"6"" Philly Chicken & Cheese",,402,10,4,0,67,1732,48,3,0,32,0,0,0,0,0,0,0
