food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
132601,22530,Battered Fish,1 piece - 92 g,260,16,4,4.5,35,790,17,1,0,12,8,2,2,4,0,0,0
132602,22530,Baked Cod,1 piece - 101 g,120,4.5,1,0,90,240,1,0,0,22,0,4,2,4,0,0,0
132603,22530,Battered Shrimp,1 piece - 14 g,45,3,1,1,15,160,3,0,0,2,2,0,0,0,0,0,0
132604,22530,Popcorn Shrimp (Snack Box),4 oz - 83 g,270,16,4,4.5,75,570,23,1,1,9,0,0,35,8,0,0,0
132605,22530,Buttered Lobster Bites (Snack Box),4 oz - 99 g,250,9,3,3.5,65,560,27,2,0,14,0,4,4,4,0,0,0
132606,22530,Breaded Clams,3 oz - 85 g,240,13,2,2.5,10,1110,22,1,5,8,0,0,2,6,0,0,0
132607,22531,Chicken Plank,1 piece - 52 g,140,8,2,2.5,20,480,9,1,0,8,4,0,0,4,0,0,0
132608,22532,Fish Sandwich,1 sandwich - 177 g,470,23,5,4.5,45,1210,48,3,4,18,4,8,6,15,0,0,0
132609,22532,Ultimate Fish Sandwich,1 sandwich - 199 g,530,28,8,5,60,1400,49,3,4,21,8,10,15,15,0,0,0
132610,22532,Chicken Sandwich,1 sandwich - 137 g,360,15,3.5,2.5,25,900,40,3,4,14,4,6,6,15,0,0,0
132611,22533,Shrimp & Seafood Salad,1 salad - 356 g,260,12,4.5,2,85,820,22,4,6,18,40,120,35,15,0,0,0
132612,22533,Crispy Chicken Club Salad,1 salad - 390 g,510,30,9,6.5,65,1550,35,5,4,28,50,120,15,15,0,0,0
132613,22533,Lite Italian Dressing,1 pouch - 43 g,20,1,0,0,0,780,3,0,2,0,0,0,0,0,0,0,0
132614,22533,Garden Ranch Dressing,1 pouch - 43 g,230,24,4,0,10,400,2,0,2,1,0,2,2,2,0,0,0
132615,22533,Thousand Island Dressing,1 pouch - 43 g,220,21,3.5,0,25,350,7,0,6,0,0,2,0,2,0,0,0
132616,22534,Cocktail Sauce,1 oz - 28 g,25,0,0,0,0,250,6,0,5,0,0,6,0,0,0,0,0
132617,22534,Tartar Sauce,1 oz - 28 g,100,9,1.5,0,15,250,4,0,3,0,0,0,0,0,0,0,0
132618,22535,Regular Fries,3 oz - 85 g,230,10,2.5,3,0,350,34,3,0,3,25,0,0,0,0,0,0
132619,22535,Large Fries,5 oz - 142 g,390,17,4,5,0,580,56,5,1,4,40,0,0,0,0,0,0
132620,22535,Hushpuppies,1 pup - 23 g,60,2.5,0.5,1,0,200,9,1,1,1,0,0,2,2,0,0,0
132621,22535,Lobster Stuffed Crab Cake,1 cake - 62 g,170,9,2,0,30,390,16,1,0,6,0,0,6,4,0,0,0
132622,22535,Cole Slaw,4 oz - 113 g,200,15,2.5,0,20,340,15,3,10,1,30,8,4,2,0,0,0
132623,22535,Corn Cobbette,1 cobbette - 95 g,90,3,0.5,0,0,0,14,3,6,3,2,8,0,2,0,0,0
132624,22535,Cheesesticks,3 sticks - 45 g,140,8,2,1.5,10,320,12,1,0,4,0,4,10,4,0,0,0
132625,22535,Rice,4 oz - 113 g,180,3.5,1,0,0,540,34,3,1,3,2,25,6,6,0,0,0
132626,22535,Crumblies,1 oz - 28 g,170,12,2.5,4,0,420,14,1,0,1,0,0,0,2,0,0,0
132627,22535,Clam Chowder,1 bowl - 227 g,220,10,4,1,25,810,23,0,8,9,0,6,15,4,0,0,0
132628,22536,Chocolate Cream Pie,1 pie - 74 g,310,22,14,1.5,15,170,24,1,18,5,2,4,4,8,0,0,0
132629,22536,Pineapple Cream Pie,1 pie - 89 g,290,13,7,1.5,15,210,39,1,26,4,10,4,8,4,0,0,0
132630,22536,Pecan Pie,1 pie - 95 g,370,15,2.5,2,40,190,55,2,20,4,2,4,2,6,0,0,0
132631,22537,Cola,small - 11 fl oz - 325 g,145,0,0,0,0,23,37,0,37,0,0,0,0,0,0,0,0
132632,22537,Cola,medium - 14 fl oz - 414 g,195,0,0,0,0,28,51,0,51,0,0,0,0,0,0,0,0
132633,22537,Cola,large - 22 fl oz - 651 g,290,0,0,0,0,43,74,0,74,0,0,0,0,0,0,0,0
132634,22537,Diet Cola,small - 11 fl oz - 325 g,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
132635,22537,Diet Cola,medium - 14 fl oz - 414 g,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
132636,22537,Diet Cola,large - 22 fl oz - 651 g,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
