food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
133192,22592,Brazilian Thunder,24 oz,433.4,6.2,0,0,0,0,101.9,12,0,6.1,0,0,0,0,0,0,0
133193,22592,High Impact,24 oz,540.6,12.9,0,0,0,0,74.8,11.2,0,29.7,0,0,0,0,0,0,0
133194,22593,Terminator,24 oz,355,1,0,0,0,0,82.1,3,0,4.5,0,0,0,0,0,0,0
133195,22593,Blaster,24 oz,392,0.7,0,0,0,0,91.9,3.6,0,4.5,0,0,0,0,0,0,0
133196,22593,Marathon,24 oz,345,0.9,0,0,0,0,79.9,2.8,0,4.2,0,0,0,0,0,0,0
133197,22593,Sonic Soy,24 oz,337,1.2,0,0,0,0,68.9,3.7,0,12.6,0,0,0,0,0,0,0
133198,22594,Berry Twister,24 oz,388,1.1,0,0,0,0,90.2,4.5,0,4.7,0,0,0,0,0,0,0
133199,22594,Blue Banana,24 oz,374,1,0,0,0,0,86.6,3.3,0,4.6,0,0,0,0,0,0,0
133200,22594,Original,24 oz,363,1,0,0,0,0,84.4,3.1,0,4.6,0,0,0,0,0,0,0
133201,22594,Strawberry Sunshine,24 oz,363,1,0,0,0,0,84,3.1,0,4.6,0,0,0,0,0,0,0
133202,22594,Very Berry,24 oz,372,1,0,0,0,0,86.3,5.7,0,4.5,0,0,0,0,0,0,0
133203,22595,Cranberry Crave,24 oz,321,1,0,0,0,0,72.9,4.4,0,5.2,0,0,0,0,0,0,0
133204,22595,Kickstart,24 oz,322,1.1,0,0,0,0,72.6,5.8,0,5.4,0,0,0,0,0,0,0
133205,22595,Banana Beach,24 oz,338,1,0,0,0,0,77,4,0,5.2,0,0,0,0,0,0,0
133206,22595,Soymilk Slam,24 oz,392,1.4,0,0,0,0,81.2,4.9,0,13.7,0,0,0,0,0,0,0
133207,22596,Breezy Banana,24 oz,387,0.9,0,0,0,0,90.3,2.8,0,4.5,0,0,0,0,0,0,0
133208,22596,Citrus Swirl,24 oz,337,0.9,0,0,0,0,79.8,3,0,2.4,0,0,0,0,0,0,0
133209,22596,Go Mango,24 oz,344,0.6,0,0,0,0,80.5,2.8,0,4.2,0,0,0,0,0,0,0
133210,22596,Mango Hurricane,24 oz,336,0.8,0,0,0,0,78,3.1,0,4.1,0,0,0,0,0,0,0
133211,22596,Tropical Tornado,24 oz,403,0.9,0,0,0,0,94.2,2.8,0,4.5,0,0,0,0,0,0,0
133212,22597,Canadian Colada,24 oz,532,9.1,0,0,0,0,104.4,3.5,0,8.1,0,0,0,0,0,0,0
133213,22597,Raspberry Rapture,24 oz,473,6.3,0,0,0,0,96.3,6.9,0,7.8,0,0,0,0,0,0,0
133214,22597,Mean Mocha,24 oz,724,12.6,0,0,0,0,131.1,0.7,0,21.6,0,0,0,0,0,0,0
133215,22597,Berry Cream Sensation,24 oz,385,3.7,0,0,0,0,82.1,4.1,0,5.7,0,0,0,0,0,0,0
133216,22598,Banango Burst,24 oz,416,2.7,0,0,0,0,73.3,3.7,0,24.7,0,0,0,0,0,0,0
133217,22598,Bananas-A-Whey,24 oz,473,6,0,0,0,0,75.2,1.8,0,29.5,0,0,0,0,0,0,0
133218,22598,Ripped Berry,24 oz,526,6.4,0,0,0,0,86.3,5.6,0,30.9,0,0,0,0,0,0,0
133219,22598,Strawberry Storm,24 oz,355,2.6,0,0,0,0,58.9,4.3,0,23.9,0,0,0,0,0,0,0
133220,22599,Firefly,16 oz,243,0.9,0,0,0,0,57.4,2.4,0,1.4,0,0,0,0,0,0,0
133221,22599,Ginger Hammer,16 oz,167,0.5,0,0,0,0,38.2,2.2,0,2.5,0,0,0,0,0,0,0
133222,22599,Green Hornet,16 oz,164,0.9,0,0,0,0,33.9,4.3,0,5,0,0,0,0,0,0,0
133223,22599,Lemon Charger,16 oz,156,0.6,0,0,0,0,34,4,0,3.7,0,0,0,0,0,0,0
133224,22599,Maui Juice,16 oz,231,0.6,0,0,0,0,55.9,1.9,0,1.7,0,0,0,0,0,0,0
133225,22599,Orange Breeze,16 oz,165,0.3,0,0,0,0,39.1,0.9,0,1.5,0,0,0,0,0,0,0
133226,22599,Red Sunrise,16 oz,169,0.5,0,0,0,0,38.4,2.6,0,2.8,0,0,0,0,0,0,0
133227,22599,Tahiti Squeeze,16 oz,156,0.3,0,0,0,0,37.9,1.9,0,0.5,0,0,0,0,0,0,0
