food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
133228,22600,American Cheese Singles,1 slice,70,5,3.5,0,10,260,2,0,0,4,0,0,0,0,0,0,0
133229,22600,Cheddar Cheese - Shredded,1/4 cup,110,9,5,0,30,180,1,0,0,7,0,0,0,0,0,0,0
133230,22600,Jalapeno Pepper Jack Cheese,1 oz,110,9,6,0,25,170,0,0,0,6,0,0,0,0,0,0,0
133231,22600,Longhorn Style Cheddar Cheese,1 oz,110,9,5,0,30,180,1,0,0,7,0,0,0,0,0,0,0
133232,22600,Longhorn Style Colby Cheese,1 oz,110,9,5,0,30,170,1,0,0,7,0,0,0,0,0,0,0
133233,22600,Longhorn Style Colby-Jack Cheese,1 oz,110,9,6,0,25,170,1,0,0,6,0,0,0,0,0,0,0
133234,22600,Mozzarella Cheese - Shredded,1/4 cup,80,6,3,0,15,170,1,0,0,8,0,0,0,0,0,0,0
133235,22600,Cottage Cheese,1/2 cup,130,6,4,0,25,440,5,0,0,14,0,0,0,0,0,0,0
133236,22600,Cottage Cheese - Low Fat,1/2 cup,110,2.5,1.5,0,10,420,6,0,0,15,0,0,0,0,0,0,0
133237,22600,Cream Cheese,2 tbsp,100,10,6,0,30,105,1,0,0,2,0,0,0,0,0,0,0
133238,22600,French Onion Dip,2 tbsp,70,6,3.5,0,20,200,3,0,0,1,0,0,0,0,0,0,0
133239,22600,Jalapeno Dip,2 tbsp,60,6,3.5,0,20,150,2,0,0,1,0,0,0,0,0,0,0
133240,22600,Ranch Dip,2 tbsp,70,6,3.5,0,20,180,3,0,0,1,0,0,0,0,0,0,0
133241,22600,Sour Cream,2 tbsp,60,6,3.5,0,20,20,2,0,0,1,0,0,0,0,0,0,0
133242,22600,Buttermilk,1 cup,110,2.5,1.5,0,10,260,13,0,0,9,0,0,0,0,0,0,0
133243,22600,Chocolate Milk - Half Gallon,1 cup,220,8,5,0,30,200,27,0,0,9,0,0,0,0,0,0,0
133244,22600,Milk Fat Free,1 cup,130,0,0,0,5,190,18,0,0,13,0,0,0,0,0,0,0
133245,22600,Milk Low Fat,1 cup,120,2.5,1.5,0,15,160,15,0,0,10,0,0,0,0,0,0,0
133246,22600,Milk Reduced Fat,1 cup,130,5,3,0,20,135,13,0,0,9,0,0,0,0,0,0,0
133247,22600,Milk Whole,1 cup,150,8,5,0,30,120,11,0,0,8,0,0,0,0,0,0,0
133248,22600,Butter,1 tbsp,100,11,7,0,30,90,0,0,0,0,0,0,0,0,0,0,0
133249,22600,Butter-unsalted,1 tbsp,100,11,7,0,30,0,0,0,0,0,0,0,0,0,0,0,0
133250,22600,Buttery Taste,1 tbsp,80,9,2,0,0,105,0,0,0,0,0,0,0,0,0,0,0
133251,22600,Egg Nog - Seasonal,1/2 cup,210,11,6,0,70,75,24,0,0,4,0,0,0,0,0,0,0
133252,22600,Half and Half,2 tbsp,40,3,2,0,15,15,1,0,0,1,0,0,0,0,0,0,0
133253,22600,Margarine (Soft) Tub,1 tbsp,100,11,2.5,0,0,105,0,0,0,0,0,0,0,0,0,0,0
133254,22600,Whipping Cream,1 tbsp,45,4.5,3,0,20,5,1,0,0,1,0,0,0,0,0,0,0
133255,22600,Whipped Light Cream (Can),2 tbls,15,1.5,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0
133256,22601,Bagel for Breakfast,1 bagel,300,1,0,0,0.5,590,62,0,0,11,0,0,0,0,0,0,0
133257,22602,Buttermilk Biscuit Canned,1 biscuit,180,9,2.5,0,0,360,23,0,0,4,0,0,0,0,0,0,0
