food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
135582,22742,Baileys Irish Cream,1/2 cup - 102 g,270,17,10,0.5,115,70,23,0,22,5,0,10,15,0,0,0,0
135583,22742,Almond Hazelnut Swirl,1/2 cup - 110 g,320,22,10,0,100,100,26,1,22,5,0,8,8,2,0,0,0
135584,22742,Banana Split,1/2 cup - 112 g,280,16,9,0,90,70,31,0,27,4,2,8,10,2,0,0,0
135585,22742,Black Raspberry Chip,1/2 cup - 108 g,280,18,11,0.5,100,55,24,0,24,5,0,10,10,4,0,0,0
135586,22742,Black Walnut,1/2 cup - 106 g,300,22,11,0.5,105,85,21,0,19,5,0,8,10,2,0,0,0
135587,22742,Butter Pecan,1/2 cup - 106 g,310,23,11,0.5,110,110,21,1,18,5,0,10,15,2,0,0,0
135588,22742,Caramel Cone,1/2 cup - 111 g,320,19,10,0.5,100,190,32,0,27,4,0,10,10,2,0,0,0
135589,22742,Cherry Vanilla,1/2 cup - 101 g,240,15,9,0.5,100,60,23,0,22,4,2,10,10,0,0,0,0
135590,22742,Chocolate,1/2 cup - 106 g,270,18,11,0.5,115,60,22,1,21,5,0,10,15,6,0,0,0
135591,22742,Chocolate Chip Cookie Dough,1/2 cup - 103 g,310,20,12,0,95,125,29,0,24,4,0,10,10,2,0,0,0
135592,22742,Chocolate Chocolate Chip,1/2 cup - 106 g,300,20,12,0.5,105,55,26,2,24,5,0,10,10,8,0,0,0
135593,22742,Chocolate Peanut Butter,1/2 cup - 109 g,360,24,11,0,100,100,27,2,24,8,0,10,10,10,0,0,0
135594,22742,Coffee,1/2 cup - 106 g,270,18,11,0.5,120,70,21,0,21,5,0,15,15,0,0,0,0
135595,22742,Cookies & Cream,1/2 cup - 102 g,270,17,10,0.5,105,95,23,0,21,5,0,10,15,2,0,0,0
135596,22742,Crème Brulée,1/2 cup - 107 g,280,19,12,0.5,120,75,23,0,22,4,0,6,15,2,0,0,0
135597,22742,Dulce De Leche,1/2 cup - 106 g,290,17,10,0.5,100,95,28,0,28,0,0,10,15,0,0,0,0
135598,22742,Eggnog,1/2 cup - 110 g,300,18,11,0.5,145,100,30,0,24,4,0,10,10,2,0,0,0
135599,22742,English Toffee,1/2 cup - 110 g,350,22,13,0.5,110,150,33,0,31,4,0,10,10,0,0,0,0
135600,22742,German Chocolate Cake (January to October),1/2 cup - 106 g,300,18,11,0,90,110,29,1,24,5,0,10,10,6,0,0,0
135601,22742,Macadamia Brittle,1/2 cup - 106 g,300,20,12,0.5,110,110,25,0,24,4,0,10,15,0,0,0,0
135602,22742,Mango,1/2 cup - 106 g,250,14,8,0,85,50,28,1,27,4,8,20,10,0,0,0,0
135603,22742,Mayan Chocolate,1/2 cup - 110 g,310,19,11,0.5,90,55,29,1,26,5,0,10,10,15,0,0,0
135604,22742,Mint Chip,1/2 cup - 106 g,300,19,12,0.5,105,85,26,1,23,5,0,10,10,4,0,0,0
135605,22742,Mocha Almond Fudge,1/2 cup - 106 g,340,23,12,0.5,100,85,28,1,26,5,0,6,10,4,0,0,0
135606,22742,Peaches & Cream,1/2 cup - 106 g,240,12,7,0,75,55,29,0,27,3,2,8,6,2,0,0,0
135607,22742,Pineapple Coconut,1/2 cup - 95 g,230,13,8,0.5,90,55,25,0,24,4,0,10,10,0,0,0,0
135608,22742,Pistachio,1/2 cup - 106 g,290,20,11,0.5,110,80,22,1,19,5,0,15,10,2,0,0,0
135609,22742,Rocky Road,1/2 cup - 104 g,300,18,9,0,90,75,29,1,24,5,0,10,10,8,0,0,0
135610,22742,Rum Raisin,1/2 cup - 106 g,150,17,10,0.5,110,60,22,0,21,4,0,10,10,0,0,0,0
135611,22742,Strawberry,1/2 cup - 106 g,250,16,10,0.5,95,65,23,1,22,4,10,10,15,0,0,0,0
135612,22742,Strawberry Cheesecake,1/2 cup - 104 g,260,15,8,0.5,95,80,27,0,25,4,0,10,8,0,0,0,0
135613,22742,Strawberry Shortcake (February to July),1/2 cup - 107 g,260,14,9,0,95,80,29,0,18,4,4,8,10,2,0,0,0
135614,22742,Triple Chocolate,1/2 cup - 112 g,330,21,14,0,95,105,31,1,29,5,0,8,8,6,0,0,0
135615,22742,Vanilla,1/2 cup - 106 g,270,18,11,0.5,120,70,21,0,21,5,0,15,15,0,0,0,0
135616,22742,Vanilla Bean,1/2 cup - 106 g,290,18,11,0.5,105,75,26,0,26,5,0,10,10,2,0,0,0
135617,22742,Vanilla Chocolate Chip,1/2 cup - 106 g,310,20,12,0.5,105,75,26,1,22,5,0,10,10,4,0,0,0
135618,22742,Vanilla Fudge,1/2 cup - 106 g,290,18,12,0.5,100,95,26,0,24,5,0,10,15,2,0,0,0
135619,22742,Vanilla Fudge Brownie,1/2 cup - 106 g,300,19,11,0,105,100,28,0,24,5,0,8,8,4,0,0,0
135620,22742,Vanilla Swiss Almond,1/2 cup - 106 g,300,20,11,0.5,105,75,24,1,21,5,0,10,10,2,0,0,0
135621,22742,White Chocolate Raspberry Truffle,1/2 cup - 108 g,310,18,10,0,105,65,32,1,28,5,0,6,8,2,0,0,0
135622,22743,Blueberry Cheesecake,1/2 cup - 107 g,230,7,4.5,0,60,115,36,0,28,5,0,6,10,2,0,0,0
135623,22743,Caramel Cone,1/2 cup - 110 g,250,8,5,0,50,130,39,0,30,6,0,6,15,0,0,0,0
135624,22743,Cherry Fudge Truffle,1/2 cup - 111 g,230,7,4,0,50,40,37,0,33,5,0,4,10,2,0,0,0
135625,22743,Chocolate Fudge Brownie,1/2 cup - 108 g,210,5,3,0,50,95,37,1,17,5,0,6,8,6,0,0,0
135626,22743,Coffee,1/2 cup - 106 g,210,7,4,0,65,85,32,0,20,5,0,6,10,2,0,0,0
135627,22743,Cookie Dough,1/2 cup - 112 g,260,8,5,0,50,105,41,0,30,6,0,6,15,4,0,0,0
135628,22743,Cookies & Cream,1/2 cup - 102 g,210,6,3.5,0,45,80,33,0,18,6,0,4,10,2,0,0,0
135629,22743,Dulce De Leche,1/2 cup - 106 g,220,7,4.5,0,60,110,33,0,25,5,0,6,15,0,0,0,0
135630,22743,Dutch Chocolate,1/2 cup - 106 g,190,5,3,0,55,95,33,1,15,4,0,4,10,4,0,0,0
135631,22743,Dutch Chocolate Chip,1/2 cup - 106 g,240,8,5,0,45,80,37,2,18,5,0,4,8,10,0,0,0
135632,22743,Mint Chip,1/2 cup - 109 g,230,8,5,0,55,65,34,0,30,6,0,4,15,2,0,0,0
135633,22743,S'mores,1/2 cup - 106 g,240,6,3.5,0,45,105,42,1,23,4,0,2,10,4,0,0,0
135634,22743,Vanilla Bean,1/2 cup - 106 g,200,7,4,0,65,55,29,0,26,5,0,4,10,0,0,0,0
135635,22743,Vanilla Caramel Brownie,1/2 cup - 112 g,240,7,4,0,50,75,37,0,31,6,0,6,15,0,0,0,0
135636,22744,Chocolate,1/2 cup - 105 g,130,0.5,0,0,0,70,28,2,20,2,0,0,0,6,0,0,0
135637,22744,Mango,1/2 cup - 114 g,120,0,0,0,0,10,37,0,36,0,10,20,0,0,0,0,0
135638,22744,Orchard Peach,1/2 cup - 113 g,130,0,0,0,0,0,33,1,29,0,6,4,0,0,0,0,0
135639,22744,Raspberry,1/2 cup - 105 g,120,0,0,0,0,0,30,2,26,0,4,0,0,0,0,0,0
135640,22744,Strawberry,1/2 cup - 116 g,120,0,0,0,0,10,30,1,30,0,15,0,0,0,0,0,0
135641,22744,Tropical,1/2 cup - 112 g,150,0,0,0,0,25,38,0,38,0,4,0,0,0,0,0,0
135642,22744,Zesty Lemon,1/2 cup - 113 g,110,0,0,0,0,25,28,1,29,0,4,0,2,0,0,0,0
135643,22745,Chocolate Fudge Brownie,1/2 cup - 106 g,200,2.5,1.5,0,35,140,35,2,30,9,0,0,20,6,0,0,0
135644,22745,Coffee,1/2 cup - 106 g,200,4.5,2.5,0,65,50,31,0,20,8,0,4,20,0,0,0,0
135645,22745,Dulce De Leche,1/2 cup - 96 g,190,2.5,2,0,5,75,35,0,25,6,0,0,20,0,0,0,0
135646,22745,Strawberry,1/2 cup - 95 g,140,0,0,0,5,40,31,0,20,5,10,0,15,0,0,0,0
135647,22745,Vanilla,1/2 cup - 106 g,200,4.5,2.5,0,65,55,31,0,21,9,0,4,25,0,0,0,0
135648,22745,Vanilla Raspberry Swirl,1/2 cup - 108 g,170,2.5,1.5,0,25,35,32,0,24,4,2,0,10,0,0,0,0
135649,22746,Brownie Bar,1 bar - 92 g,360,24,13,0,80,95,30,1,25,5,0,6,10,6,0,0,0
135650,22746,Chocolate & Dark Chocolate,1 bar - 85 g,300,21,13,0,70,40,24,1,21,4,0,8,8,6,0,0,0
135651,22746,Coffee & Almond Crunch,1 bar - 87 g,310,22,12,0,75,65,23,1,21,4,0,8,10,4,0,0,0
135652,22746,Dulce De Leche,1 bar - 86 g,300,19,12,0,60,70,28,0,27,4,0,8,10,0,0,0,0
135653,22746,Mint & Dark Chocolate,1 bar - 85 g,290,20,12,0,65,30,23,1,20,4,0,8,8,6,0,0,0
135654,22746,Raspberry Sorbet & Vanilla Yogurt,1 bar - 71 g,90,0,0,0,0,12,21,1,15,2,2,0,6,0,0,0,0
135655,22746,Vanilla & Almonds,1 bar - 87 g,320,12,12,0,75,55,22,1,20,5,0,8,10,0,0,0,0
135656,22746,Vanilla & Dark Chocolate,1 bar - 85 g,300,21,13,0,70,45,23,1,21,4,0,8,10,6,0,0,0
135657,22746,Vanilla & Milk Chocolate,1 bar - 83 g,290,21,14,0,75,55,22,0,21,4,0,8,10,4,0,0,0
