food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
135658,22747,Apple Filled,1 serving,324,13,3,0,1,446,55,1,19,7,0,0,0,0,0,0,0
135659,22747,Bavarian Crème,1 serving,334,13,3,0,1,461,56,1,20,7,0,0,0,0,0,0,0
135660,22747,Blueberry Nugget,1 serving,409,11,2,0,18,715,69,2,6,6,0,0,0,0,0,0,0
135661,22747,Boston Crème,1 serving,424,17.5,4,0,1,501,63,2,24,8,0,0,0,0,0,0,0
135662,22747,Butternut,1 serving,403,19,4,0,40,526,58,1,27,6,0,0,0,0,0,0,0
135663,22747,Chocolate Frosted,1 serving,378,17,4,0,1,431,53,2,18,8,0,0,0,0,0,0,0
135664,22747,Chocolate Honey Dip,1 serving,401,19,4,0,11,521,56,1,28,4,0,0,0,0,0,0,0
135665,22747,Chocolate Iced,1 serving,443,20,4,0,40,526,61,1,33,7,0,0,0,0,0,0,0
135666,22747,Cinnamon,1 serving,352,16,3,0,40,527,61,1,33,6,0,0,0,0,0,0,0
135667,22747,Coconut,1 serving,423,20,7,0,40,526,52,2,26,6,0,0,0,0,0,0,0
135668,22747,Coconut Jelly Stick,1 serving,480,20,7,0,37,500,72,2,27,7,0,0,0,0,0,0,0
135669,22747,French Cruller,1 serving,240,15,4,0,120,349,21,1,1,5,0,0,0,0,0,0,0
135670,22747,Home Cut,1 serving,343,16,3,0,40,526,44,1,18,6,0,0,0,0,0,0,0
135671,22747,Honey Dew,1 serving,403,16,3,0,40,526,58,1,32,6,0,0,0,0,0,0,0
135672,22747,Honey Dip,1 serving,338,13,3,0,4,411,50,1,18,7,0,0,0,0,0,0,0
135673,22747,Honey Dip Stick,1 serving,390,15,3,0,37,490,55,1,30,6,0,0,0,0,0,0,0
135674,22747,Jelly,1 serving,368,13,3,0,1,447,67,1,29,7,0,0,0,0,0,0,0
135675,22747,Jelly Stick,1 serving,420,16,3,0,47,490,63,1,27,6,0,0,0,0,0,0,0
135676,22747,Jimmies,1 serving,380,4,17,0,1,441,55,2,20,8,0,0,0,0,0,0,0
135677,22747,Lemon,1 serving,324,13,3,0,1,474,55,1,18,7,0,0,0,0,0,0,0
135678,22747,Maple Frosted,1 serving,347,14,3,0,1,423,50,1,18,7,0,0,0,0,0,0,0
135679,22747,Marble Stick,1 serving,390,15,3.5,0,24,505,55,1,30,5,0,0,0,0,0,0,0
135680,22747,Plain Stick,1 serving,320,15,3,0,37,490,41,1,16,6,0,0,0,0,0,0,0
135681,22747,Powdered,1 serving,360,16,3,0,40,527,61,1,33,6,0,0,0,0,0,0,0
135682,22747,Strawberry Frosted,1 serving,368,16,4.5,0,1,461,54,1,19,7,0,0,0,0,0,0,0
135683,22747,Sugar Raised,1 serving,288,13,3,0,1,411,46,1,14,7,0,0,0,0,0,0,0
135684,22747,Sugar Stick,1 serving,340,15,3,0,37,490,16,1,21,6,0,0,0,0,0,0,0
135685,22747,Vanilla Frosted,1 serving,350,14,3,0,1,423,52,1,20,7,0,0,0,0,0,0,0
135686,22748,Blueberry Nugget,1 serving,91,5,2.5,0,2,92,9,1,5,1,0,0,0,0,0,0,0
135687,22748,Chocolate,1 serving,76,5,2.5,0,2,86,9,1,4,1,0,0,0,0,0,0,0
135688,22748,Cinnamon,1 serving,67,3,1,0,0,77,8,0,4,1,0,0,0,0,0,0,0
135689,22748,Coconut,1 serving,97,5,2.5,0,0,77,10,0,6,1,0,0,0,0,0,0,0
135690,22748,Honey Dip,1 serving,68,3,1.5,0,0,69,8,1,3,1,0,0,0,0,0,0,0
135691,22748,Honey Dew,1 serving,77,3,1,0,0,77,9,0,6,1,0,0,0,0,0,0,0
135692,22748,Jelly,1 serving,90,5,1,0,0,60,10,0,2,1,0,0,0,0,0,0,0
135693,22748,Plain,1 serving,57,3,1,0,0,77,6,0,2,1,0,0,0,0,0,0,0
135694,22748,Powdered,1 serving,67,3,1,0,0,77,8,0,4,1,0,0,0,0,0,0,0
