food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
135740,22757,Melon-ade Wave™ (Sixteen),16 fl oz,200,0.5,0,0,0,65,50,1,44,2,46,70,4,4,0,0,0
135741,22757,Melon-ade Wave™ (Original),24 fl oz,320,1,0,0,0,105,78,2,70,3,70,110,6,6,0,0,0
135742,22757,Melon-ade Wave™ (Power),30 fl oz,410,1,0,0,0,140,99,3,88,5,100,150,8,8,0,0,0
135743,22757,Citrus Bliss™ (Sixteen),16 fl oz,230,0.5,0,0,0,5,58,4,50,2,190,6,4,8,0,0,0
135744,22757,Citrus Bliss™ (Original),24 fl oz,360,1,0,0,0,10,89,6,76,3,290,10,6,10,0,0,0
135745,22757,Citrus Bliss™ (Power),30 fl oz,470,1.5,0,0,0,15,117,9,100,4,340,10,8,15,0,0,0
135746,22757,Strawberry Whirl™ (Sixteen),16 fl oz,200,0,0,0,0,15,50,4,42,1,90,2,4,8,0,0,0
135747,22757,Strawberry Whirl™ (Original),24 fl oz,310,0.5,0,0,0,25,76,6,64,2,130,4,8,15,0,0,0
135748,22757,Strawberry Whirl™ (Power),30 fl oz,370,1,0,0,0,30,92,8,77,2,200,4,10,20,0,0,0
135749,22757,Mega Mango™ (Sixteen),16 fl oz,220,0.5,0,0,0,20,54,4,46,2,120,90,4,6,0,0,0
135750,22757,Mega Mango™ (Original),24 fl oz,330,1,0,0,0,30,80,5,69,2,180,140,8,10,0,0,0
135751,22757,Mega Mango™ (Power),30 fl oz,430,1,0,0,0,40,106,8,91,3,260,190,10,15,0,0,0
135752,22757,Raspberry Rainbow™ (Sixteen),16 fl oz,190,0.5,0,0,0,20,47,4,37,2,150,4,6,8,0,0,0
135753,22757,Raspberry Rainbow™ (Original),24 fl oz,300,1,0,0,0,30,73,6,56,2,200,6,8,15,0,0,0
135754,22757,Raspberry Rainbow™ (Power),30 fl oz,400,1,0,0,0,35,98,8,76,4,300,10,10,15,0,0,0
135755,22757,Grape Escape™ (Sixteen),16 fl oz,190,0,0,0,0,15,47,4,43,2,80,8,4,8,0,0,0
135756,22757,Grape Escape™ (Original),24 fl oz,300,0,0,0,0,20,74,5,68,3,120,15,6,10,0,0,0
135757,22757,Grape Escape™ (Power),30 fl oz,390,0.5,0,0,0,25,95,8,87,4,170,20,8,15,0,0,0
135758,22757,Passion Berry Breeze™ (Sixteen),16 fl oz,150,0,0,0,5,210,32,2,28,6,50,35,20,2,0,0,0
135759,22757,Passion Berry Breeze™ (Original),24 fl oz,270,1,0,0,5,270,60,5,51,8,130,90,30,6,0,0,0
135760,22757,Passion Berry Breeze™ (Power),30 fl oz,350,1,0,0,5,310,78,7,67,10,190,100,35,10,0,0,0
135761,22757,Strawberry Nirvana™ (Sixteen),406 g,160,0,0,0,5,230,34,3,29,6,60,2,25,4,0,0,0
135762,22757,Strawberry Nirvana™ (Original),702 g,280,1,0,0,5,320,64,7,53,9,170,2,35,10,0,0,0
135763,22757,Strawberry Nirvana™ (Power),822 g,300,1,0,0,5,320,76,8,64,10,210,4,35,15,0,0,0
135764,22757,Mango Mantra™ (Sixteen),408 g,170,0.5,0,0,5,230,36,2,32,7,90,70,25,2,0,0,0
135765,22757,Mango Mantra™ (Original),702 g,310,1,0,0,5,310,71,6,63,10,200,160,30,4,0,0,0
135766,22757,Mango Mantra™ (Power),824 g,380,1.5,0,0,5,310,88,7,78,11,280,210,35,4,0,0,0
135767,22757,Berry Fulfilling™ (Sixteen),403 g,160,0.5,0,0,5,230,33,4,25,7,30,2,30,4,0,0,0
135768,22757,Berry Fulfilling™ (Original),677 g,290,1,0,0,5,320,62,8,45,9,90,4,50,10,0,0,0
135769,22757,Berry Fulfilling™ (Power),798 g,350,1,0,0,5,320,76,9,55,10,130,6,50,15,0,0,0
135770,22757,Matcha Green Tea Mist™ (Sixteen),16 fl oz,190,0,0,0,0,180,40,1,36,6,10,0,30,4,0,0,0
135771,22757,Matcha Green Tea Mist™ (Original),24 fl oz,280,0,0,0,5,270,60,1,54,9,10,0,50,6,0,0,0
135772,22757,Matcha Green Tea Mist™ (Power),30 fl oz,390,0.5,0,0,5,360,84,2,76,11,10,0,60,6,0,0,0
135773,22757,Matcha Green Tea Blast™ (Sixteen),16 fl oz,340,0,0,0,0,180,74,1,67,8,10,0,60,8,0,0,0
135774,22757,Matcha Green Tea Blast™ (Original),24 fl oz,440,0.5,0,0,0,230,97,1,87,10,10,0,70,8,0,0,0
135775,22757,Matcha Green Tea Blast™ (Power),30 fl oz,640,1,0,0,5,330,142,2,128,14,15,0,100,10,0,0,0
135776,22757,Protein Berry Pizzazz™ (Sixteen),452 g,280,1,0,0,0,170,56,4,48,15,60,2,60,10,0,0,0
135777,22757,Protein Berry Pizzazz™ (Original),710 g,440,1.5,0,0,0,240,92,5,79,20,100,2,110,15,0,0,0
135778,22757,Protein Berry Pizzazz™ (Power),884 g,550,2,0,0,0,260,118,8,100,22,150,4,130,20,0,0,0
135779,22757,Orange Dream Machine™ (Sixteen),472 g,390,1.5,0.5,0,5,240,77,1,73,15,110,6,50,4,0,0,0
135780,22757,Orange Dream Machine™ (Original),681 g,540,2.5,1,0,10,310,111,1,105,18,160,8,60,6,0,0,0
135781,22757,Orange Dream Machine™ (Power),937 g,750,3.5,1.5,0,10,430,164,1,155,23,220,10,80,8,0,0,0
135782,22757,Coldbuster! (Sixteen),497 g,290,1.5,0.5,0,5,25,66,3,61,4,1890,60,10,4,0,0,0
135783,22757,Coldbuster! (Original),725 g,430,2.5,1,0,5,35,100,5,94,5,2000,70,10,6,0,0,0
135784,22757,Coldbuster! (Power),909 g,600,3.5,1.5,0,10,55,138,6,128,7,2060,70,15,8,0,0,0
135785,22757,Might Cheery Charger™ (Sixteen),16 fl oz,320,0.5,0,0,0,210,67,2,54,12,30,2,40,10,0,0,0
135786,22757,Might Cheery Charger™ (Original),24 fl oz,490,1,0,0,0,310,103,3,85,18,45,4,80,15,0,0,0
135787,22757,Might Cheery Charger™ (Power),30 fl oz,660,1,0,0,5,390,141,4,116,21,50,4,90,20,0,0,0
135788,22757,Acai Supercharger™ (Sixteen),16 fl oz,270,3.5,1,0,0,50,55,4,47,4,450,8,20,10,0,0,0
135789,22757,Acai Supercharger™ (Original),24 fl oz,420,5,1,0,0,85,86,5,74,7,640,15,40,15,0,0,0
135790,22757,Acai Supercharger™ (Power),30 fl oz,560,5,1,0,0,120,118,7,102,10,650,15,60,15,0,0,0
135791,22757,Banana Berry™ (Sixteen),492 g,310,0.5,0,0,0,75,74,3,65,3,15,2,10,6,0,0,0
135792,22757,Banana Berry™ (Original),719 g,480,1,0,0,0,115,112,4,99,5,25,4,20,8,0,0,0
135793,22757,Banana Berry™ (Power),902 g,650,1.5,0,0,5,200,152,6,134,8,35,4,25,10,0,0,0
135794,22757,Strawberries Wild (Sixteen),496 g,290,0,0,0,0,115,69,3,61,4,60,2,15,8,0,0,0
135795,22757,Strawberries Wild (Original),725 g,450,0.5,0,0,5,180,105,4,92,6,100,2,25,10,0,0,0
135796,22757,Strawberries Wild (Power),911 g,590,0.5,0,0,5,260,137,5,121,9,140,2,35,15,0,0,0
135797,22757,Razzmatazz (Sixteen),499 g,310,1.5,0.5,0,5,45,73,3,60,2,70,2,8,6,0,0,0
135798,22757,Razzmatazz (Original),730 g,480,2,1,0,5,70,112,4,92,3,100,4,15,10,0,0,0
135799,22757,Razzmatazz (Power),918 g,620,3,1.5,0,10,90,144,5,120,5,150,6,15,15,0,0,0
135800,22757,Berry Lime Sublime™ (Sixteen),498 g,300,1,0.5,0,5,25,70,3,55,2,60,4,15,8,0,0,0
135801,22757,Berry Lime Sublime™ (Original),728 g,460,2,1,0,5,35,106,5,84,3,90,6,20,10,0,0,0
135802,22757,Berry Lime Sublime™ (Power),911 g,610,2.5,1.5,0,10,40,140,7,111,4,100,8,35,15,0,0,0
135803,22757,Strawberry Surf Rider™ (Sixteen),475 g,320,1,0.5,0,5,5,77,3,69,2,90,6,6,4,0,0,0
135804,22757,Strawberry Surf Rider™ (Original),710 g,490,1.5,1,0,5,10,119,4,107,3,140,10,10,6,0,0,0
135805,22757,Strawberry Surf Rider™ (Power),890 g,630,2.5,1,0,5,15,153,5,138,4,190,10,15,8,0,0,0
135806,22757,Orange Berry Blitz™ (Sixteen),498 g,270,1.5,0.5,0,5,25,61,3,58,3,260,10,8,6,0,0,0
135807,22757,Orange Berry Blitz™ (Original),728 g,410,2.5,1,0,5,35,94,5,88,5,390,20,10,10,0,0,0
135808,22757,Orange Berry Blitz™ (Power),916 g,540,3.5,1.5,0,10,50,124,7,117,6,490,20,15,15,0,0,0
135809,22757,Citrus Squeeze (Sixteen),498 g,310,1.5,0.5,0,5,25,72,3,68,3,200,8,6,8,0,0,0
135810,22757,Citrus Squeeze (Original),727 g,470,2,1,0,5,35,110,4,103,5,300,10,10,10,0,0,0
135811,22757,Citrus Squeeze (Power),915 g,610,3,1.5,0,10,55,143,6,135,6,350,15,15,15,0,0,0
135812,22757,Orange-A-Peel™ (Sixteen),496 g,290,1,0,0,0,105,67,3,60,6,270,10,15,8,0,0,0
135813,22757,Orange-A-Peel™ (Original),726 g,440,1.5,0,0,5,160,102,5,92,8,400,15,25,10,0,0,0
135814,22757,Orange-A-Peel™ (Power),912 g,580,1.5,0,0,5,240,134,6,121,12,490,20,35,15,0,0,0
135815,22757,Caribbean Passion (Sixteen),499 g,290,1.5,0.5,0,5,40,67,3,60,2,90,15,8,6,0,0,0
135816,22757,Caribbean Passion (Original),730 g,440,2,1,0,5,60,102,4,92,4,130,20,10,10,0,0,0
135817,22757,Caribbean Passion (Power),918 g,580,3,1.5,0,10,80,134,5,121,5,180,25,15,15,0,0,0
135818,22757,Aloha Pineapple™ (Sixteen),500 g,330,1,0.5,0,5,20,75,3,70,6,110,4,15,8,0,0,0
135819,22757,Aloha Pineapple™ (Original),730 g,500,1.5,1,0,5,30,117,4,110,8,170,4,20,10,0,0,0
135820,22757,Aloha Pineapple™ (Power),917 g,650,2.5,1.5,0,10,45,151,5,142,9,220,6,25,15,0,0,0
135821,22757,Mango-A-Go-Go™ (Sixteen),505 g,330,1.5,0.5,0,5,40,77,2,70,2,80,100,8,4,0,0,0
135822,22757,Mango-A-Go-Go™ (Original),690 g,440,1.5,0.5,0,5,50,104,4,93,3,120,150,10,6,0,0,0
135823,22757,Mango-A-Go-Go™ (Power),928 g,660,3,1.5,0,10,80,154,5,141,5,160,200,15,6,0,0,0
135824,22757,Peenya Kowlada (Sixteen),508 g,460,4.5,3.5,0,5,120,100,2,93,6,70,2,15,6,0,0,0
135825,22757,Peenya Kowlada (Original),747 g,690,5,4,0,10,180,152,3,143,9,110,4,25,8,0,0,0
135826,22757,Peenya Kowlada (Power),996 g,960,6,4.5,0,10,280,214,4,199,14,130,6,35,10,0,0,0
135827,22757,Peach Pleasure (Sixteen),496 g,310,1.5,0.5,0,5,40,72,3,60,2,20,10,6,2,0,0,0
135828,22757,Peach Pleasure (Original),720 g,460,2,1,0,5,60,108,4,90,4,30,15,10,4,0,0,0
135829,22757,Peach Pleasure (Power),903 g,600,3,1.5,0,10,80,140,6,119,5,40,20,15,6,0,0,0
135830,22757,Chocolate Moo'd,16 fl oz,480,6,3.5,0,20,290,96,2,88,12,6,4,40,4,0,0,0
135831,22757,Chocolate Moo'd,24 fl oz,680,8,5,0,30,420,138,2,126,18,10,4,60,6,0,0,0
135832,22757,Chocolate Moo'd,30 fl oz,900,10,6,0,35,570,183,3,166,23,10,6,80,8,0,0,0
135833,22757,Peanut Butter Moo'd™ (Sixteen),16 fl oz,530,11,2.5,0,10,320,94,4,83,16,15,2,60,6,0,0,0
135834,22757,Peanut Butter Moo'd™ (Original),24 fl oz,840,21,4.5,0,15,480,139,7,122,25,35,4,80,8,0,0,0
135835,22757,Peanut Butter Moo'd™ (Power),30 fl oz,1170,30,7,0,25,680,192,9,169,35,35,6,110,15,0,0,0
135836,22758,Bright Eyed & Blueberry™,498 g,280,1,0,0,5,90,55,3,48,14,60,2,90,10,0,0,0
135837,22758,Bright Eyed & Blueberry™,673 g,380,1,0,0,5,135,76,5,67,17,80,2,120,15,0,0,0
135838,22758,Bright Eyed & Blueberry™,919 g,510,1.5,0,0,10,180,103,6,90,24,120,2,160,20,0,0,0
135839,22758,Sunrise Strawberry™ (Sixteen),498 g,300,0.5,0,0,5,90,60,3,52,14,60,2,90,10,0,0,0
135840,22758,Sunrise Strawberry™ (Original),670 g,400,1,0,0,5,135,83,4,72,17,90,2,120,15,0,0,0
135841,22758,Sunrise Strawberry™ (Power),916 g,540,1.5,0,0,10,180,109,6,95,24,130,2,160,20,0,0,0
135842,22759,Carrot (Sixteen),472 g,100,0.5,0,0,0,250,23,0,0,3,30,210,15,15,0,0,0
135843,22759,Carrot (Original),708 g,150,1,0,0,0,370,34,0,0,4,45,310,20,20,0,0,0
135844,22759,Carrot (Power),944 g,200,1.5,0,0,0,490,46,0,0,6,60,410,25,30,0,0,0
135845,22759,Lemonade (Sixteen),483 g,300,0,0,0,0,10,75,0,66,1,60,2,2,0,0,0,0
135846,22759,Lemonade (Original),724 g,450,0,0,0,0,15,112,0,99,2,90,2,4,2,0,0,0
