food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
135876,22762,Banana Rama,1 serving - 16 oz,250,0.5,0,0,0,0,51,2,0,10,0,0,0,0,0,0,0
135877,22762,Berry Raspberry,1 serving - 16 oz,250,0.5,0,0,0,0,55,2,0,4,0,0,0,0,0,0,0
135878,22762,Big Berry Combo,1 serving - 16 oz,290,1,0,0,0,0,65,4,0,4,0,0,0,0,0,0,0
135879,22762,Boysenberry Blast,1 serving - 16 oz,230,0.5,0,0,0,0,52,3,0,6,0,0,0,0,0,0,0
135880,22762,Carrot Patch,1 serving - 16 oz,220,1,0,0,0,0,45,3,0,8,0,0,0,0,0,0,0
135881,22762,Chai Tea,1 serving - 16 oz,310,4,0,0,0,0,61,2,0,9,0,0,0,0,0,0,0
135882,22762,Congo Lime,1 serving - 16 oz,250,0.5,0,0,0,0,57,1,0,1,0,0,0,0,0,0,0
135883,22762,Cupuacu,1 serving - 16 oz,250,2.5,0,0,0,0,52,2,0,6,0,0,0,0,0,0,0
135884,22762,Jumpin' Java,1 serving - 16 oz,380,5,0,0,0,0,67,1,0,16,0,0,0,0,0,0,0
135885,22762,Just Peachy,1 serving - 16 oz,230,0.5,0,0,0,0,51,2,0,6,0,0,0,0,0,0,0
135886,22762,Lava Flow,1 serving - 16 oz,230,2,0,0,0,0,48,2,0,6,0,0,0,0,0,0,0
135887,22762,Mango Mania,1 serving - 16 oz,210,0.5,0,0,0,0,46,2,0,6,0,0,0,0,0,0,0
135888,22762,Melon Madness,1 serving - 16 oz,210,0.5,0,0,0,0,46,2,0,6,0,0,0,0,0,0,0
135889,22762,Orange Berry Tickler,1 serving - 16 oz,220,1,0,0,0,0,47,2,0,7,0,0,0,0,0,0,0
135890,22762,Orange Blitz,1 serving - 16 oz,280,1.5,0,0,0,0,61,4,0,5,0,0,0,0,0,0,0
135891,22762,Papaya Passion,1 serving - 16 oz,240,0.5,0,0,0,0,54,2,0,6,0,0,0,0,0,0,0
135892,22762,Passion Punch,1 serving - 16 oz,290,1,0,0,0,0,66,2,0,4,0,0,0,0,0,0,0
135893,22762,Piña Cool-ada,1 serving - 16 oz,290,3,0,0,0,0,62,2,0,6,0,0,0,0,0,0,0
135894,22762,Raspberry Craze,1 serving - 16 oz,270,1,0,0,0,0,63,2,0,1,0,0,0,0,0,0,0
135895,22762,Razzle Dazzle,1 serving - 16 oz,220,0.5,0,0,0,0,50,2,0,6,0,0,0,0,0,0,0
135896,22762,Seabreeze Squeeze,1 serving - 16 oz,260,1,0,0,0,0,58,2,0,4,0,0,0,0,0,0,0
135897,22762,Soy Sensation,1 serving - 16 oz,280,4,0,0,0,0,60,4,0,7,0,0,0,0,0,0,0
135898,22762,Strawberry Wave,1 serving - 16 oz,220,1,0,0,0,0,48,2,0,6,0,0,0,0,0,0,0
135899,22762,Sunrise Splash,1 serving - 16 oz,240,0.5,0,0,0,0,53,2,0,5,0,0,0,0,0,0,0
135900,22762,Super C Cherry,1 serving - 16 oz,250,0.5,0,0,0,0,51,2,0,5,0,0,0,0,0,0,0
135901,22762,Tropical Tango,1 serving - 16 oz,250,1,0,0,0,0,56,2,0,4,0,0,0,0,0,0,0
135902,22762,The Ultimate Acai Bowl,1 serving - 16 oz,685,18,0,0,0,0,119,15,0,12,0,0,0,0,0,0,0
135903,22762,The Ultimate Acai,1 serving - 16 oz,310,6,0,0,0,0,59,5,0,3,0,0,0,0,0,0,0
135904,22762,Pro Flex,1 serving - 16 oz,470,2,0,0,0,0,64,2,0,49,0,0,0,0,0,0,0
135905,22762,Protein Blast,1 serving - 16 oz,360,2,0,0,0,0,61,2,0,21,0,0,0,0,0,0,0
135906,22762,The Zone,1 serving - 16 oz,380,11,0,0,0,0,43,3,0,28,0,0,0,0,0,0,0
135907,22763,Pro Flex,1 serving - 16 oz,470,2,0,0,0,0,64,2,0,49,0,0,0,0,0,0,0
135908,22763,Protein Blast,1 serving - 16 oz,360,2,0,0,0,0,61,2,0,21,0,0,0,0,0,0,0
135909,22763,The Zone,1 serving - 16 oz,380,11,0,0,0,0,43,3,0,28,0,0,0,0,0,0,0
135910,22764,Ginger Mango Tango,1 serving - 20 oz,270,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
135911,22764,Lemon Ginseng,1 serving - 20 oz,270,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
135912,22764,Peach Cool Down,1 serving - 20 oz,270,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0
135913,22764,Very Berry Thrive,1 serving - 20 oz,270,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0
135914,22765,Ginger Mango Tango,1 serving - 20 oz,360,1,0,0,0,0,88,3,0,2,0,0,0,0,0,0,0
135915,22765,Lemon Ginseng,1 serving - 20 oz,360,1,0,0,0,0,88,3,0,2,0,0,0,0,0,0,0
135916,22765,Peach Cool Down,1 serving - 20 oz,360,0,0,0,0,0,88,3,0,1,0,0,0,0,0,0,0
135917,22765,Very Berry Thrive,1 serving - 20 oz,360,0,0,0,0,0,88,2,0,1,0,0,0,0,0,0,0
135918,22766,Herbal Cocoa,1 serving - 20 oz,350,2.5,0,0,0,0,64,1,0,16,0,0,0,0,0,0,0
135919,22766,Raspberry Cocoa,1 serving - 20 oz,350,2.5,0,0,0,0,64,2,0,16,0,0,0,0,0,0,0
