food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
135938,22769,All That Razz,,341,1.9,0,0,0,0,69,2.9,0,0,0,0,0,0,0,0,0
135939,22769,Bananarama,,393,1.2,0,0,0,0,94,7,0,0,0,0,0,0,0,0,0
135940,22769,Berry Berry Good,,280,0.9,0,0,0,0,52,6.2,0,0,0,0,0,0,0,0,0
135941,22769,Berry Buzz,,378,1.7,0,0,0,0,79,2.6,0,0,0,0,0,0,0,0,0
135942,22769,Blues Brothers,,384,1.2,0,0,0,0,87,2,0,0,0,0,0,0,0,0,0
135943,22769,Bulls Eye,,175,9,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0
135944,22769,Chocolate Malt,,426,2.1,0,0,0,0,88,1.2,0,0,0,0,0,0,0,0,0
135945,22769,Citrus Sunrise,,281,1.4,0,0,0,0,64,2.3,0,0,0,0,0,0,0,0,0
135946,22769,Cranberry Kicker,,399,1.8,0,0,0,0,96,7.6,0,0,0,0,0,0,0,0,0
135947,22769,Gimme Guava,,310,0.9,0,0,0,0,76,3.2,0,0,0,0,0,0,0,0,0
135948,22769,Hawaiian Holiday,,313,1.7,0,0,0,0,74,3.2,0,0,0,0,0,0,0,0,0
135949,22769,Keva Kolada,,332,1,0,0,0,0,77,1.3,0,0,0,0,0,0,0,0,0
135950,22769,Kevaccino,,315,2.9,0,0,0,0,61,1,0,0,0,0,0,0,0,0,0
135951,22769,Kevasicle,,449,1.8,0,0,0,0,101,1,0,0,0,0,0,0,0,0,0
135952,22769,Killer Chai Chiller,,349,2.2,0,0,0,0,73,1,0,0,0,0,0,0,0,0,0
135953,22769,Lemonberry Zinger,,356,1.8,0,0,0,0,81,2,0,0,0,0,0,0,0,0,0
135954,22769,Lime Me,,319,1.9,0,0,0,0,66,5.7,0,0,0,0,0,0,0,0,0
135955,22769,Liquid Olympian,,542,3.5,0,0,0,0,128,6.1,0,0,0,0,0,0,0,0,0
135956,22769,Malibu Slim,,369,1.7,0,0,0,0,90,7.2,0,0,0,0,0,0,0,0,0
135957,22769,Mello Mango,,305,0.9,0,0,0,0,69,3.2,0,0,0,0,0,0,0,0,0
135958,22769,Orange Obsession,,437,2.1,0,0,0,0,104,3.2,0,0,0,0,0,0,0,0,0
135959,22769,Orchard Berry,,337,1.7,0,0,0,0,82,7.4,0,0,0,0,0,0,0,0,0
135960,22769,Oreo Speedwagon,,437,7.8,0,0,0,0,74,2,0,0,0,0,0,0,0,0,0
135961,22769,Passion Paradise,,302,0.9,0,0,0,0,71,3.2,0,0,0,0,0,0,0,0,0
135962,22769,Peach Carrot Twist,,446,1.7,0,0,0,0,110,6,0,0,0,0,0,0,0,0,0
135963,22769,Peach Treaty,,339,1.8,0,0,0,0,80,3.1,0,0,0,0,0,0,0,0,0
135964,22769,Peanut Butter Chocolate,,526,9.5,0,0,0,0,92,4.3,0,0,0,0,0,0,0,0,0
135965,22769,Pineapple Splash,,332,1.3,0,0,0,0,81,2.9,0,0,0,0,0,0,0,0,0
135966,22769,Ragin' Bull,,348,1.5,0,0,0,0,81,2.3,0,0,0,0,0,0,0,0,0
135967,22769,Ragin' Raspberry,,346,1.6,0,0,0,0,77,5.5,0,0,0,0,0,0,0,0,0
135968,22769,Raspberry Pucker,,354,1.5,0,0,0,0,81.5,4,0,0,0,0,0,0,0,0,0
135969,22769,Razmanian Devil,,332,2.3,0,0,0,0,65,6.2,0,0,0,0,0,0,0,0,0
135970,22769,Strawberry Squeezer,,321,0.8,0,0,0,0,75,2.9,0,0,0,0,0,0,0,0,0
135971,22769,Tropical Trio,,319,1.3,0,0,0,0,78,2.9,0,0,0,0,0,0,0,0,0
