food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
135975,22771,Original Glazed,52 g,200,12,3,4,5,95,22,1,10,2,2,0,6,4,0,0,0
135976,22771,Chocolate Iced Glazed,66 g,250,12,3,4,5,100,33,1,21,3,2,0,6,4,0,0,0
135977,22771,Chocolate Iced,71 g,260,12,3,4,5,100,38,1,24,3,2,0,6,4,0,0,0
135978,22771,Chocolate Iced Kreme Filled,86 g,350,20,5,6,5,140,38,1,23,3,2,0,8,6,0,0,0
135979,22771,Chocolate Iced Custard Filled,86 g,300,17,4,5,5,140,35,1,19,3,2,0,8,6,0,0,0
135980,22771,Glazed Lemon Filled,85 g,290,16,4,5,5,135,35,1,18,3,2,0,8,6,0,0,0
135981,22771,Glazed Raspberry Filled,85 g,300,16,4,5,5,125,39,1,21,3,2,0,10,8,0,0,0
135982,22771,Glazed Cruller,54 g,240,14,3.5,4.5,15,240,26,1,14,2,0,0,2,6,0,0,0
135983,22771,Cinnamon Apple Filled,81 g,290,16,4,5,5,150,32,1,14,3,2,0,10,6,0,0,0
135984,22771,New York Cheesecake,90 g,320,19,5,6,10,190,35,1,17,4,2,2,8,6,0,0,0
135985,22771,Caramel Kreme Crunch,92 g,350,19,5,5,5,170,43,1,25,4,2,0,10,8,0,0,0
135986,22771,Key Lime Pie,92 g,320,17,4.5,5,5,150,40,1,24,3,2,0,8,6,0,0,0
135987,22771,Glazed Chocolate Cake,81 g,300,15,3.5,5,5,310,41,2,26,3,0,0,0,10,0,0,0
135988,22771,Traditional Cake,57 g,230,13,3,4,20,320,25,1,9,3,0,0,2,8,0,0,0
135989,22771,Glazed Kreme Filled,86 g,340,20,5,6,5,140,38,1,23,3,2,0,8,6,0,0,0
135990,22771,Glazed Blueberry,80 g,330,17,4,5,20,290,43,1,28,3,0,0,2,8,0,0,0
135991,22771,Glazed Cinnamon,54 g,210,12,3,4,5,100,24,1,12,2,2,0,6,4,0,0,0
135992,22771,Cinnamon Bun,67 g,260,16,4,5,5,125,28,1,13,3,2,0,8,6,0,0,0
135993,22771,Cinnamon Twist,59 g,230,9,2.5,0,5,85,33,1,19,3,2,0,8,6,0,0,0
135994,22771,Maple Iced Glazed,66 g,240,12,3,4,5,100,32,1,20,2,2,0,6,4,0,0,0
135995,22771,Glazed Sour Cream,80 g,340,18,4.5,6,20,310,42,1,27,3,0,0,2,8,0,0,0
135996,22771,Sugar,49 g,200,12,3,4,5,95,21,0,10,2,2,0,6,4,0,0,0
135997,22771,Powdered Blueberry Filled,81 g,290,16,4,5,5,140,33,1,14,3,2,0,8,6,0,0,0
135998,22771,Powdered Strawberry Filled,81 g,290,16,4,5,5,135,33,1,13,3,2,0,8,6,0,0,0
135999,22771,Powdered Cake,71 g,280,14,3,4,20,320,37,1,19,3,0,0,4,8,0,0,0
136000,22771,Chocolate Iced Cake,71 g,270,14,3,4,20,320,36,1,20,3,0,0,2,8,0,0,0
136001,22771,Chocolate Glazed Cruller,69 g,290,15,3.5,4.5,15,240,37,1,25,2,0,0,2,6,0,0,0
136002,22771,Dulce De Leche,75 g,290,18,4.5,5,5,160,30,1,12,3,2,0,10,8,0,0,0
