food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
136098,22780,Super Base,50 g,110,0,0,0,0,0,30,0,29,0,0,0,0,0,0,0,0
136099,22780,Yogurt,1/2 cup,110,0,0,0,5,100,23,0,20,4,0,0,0,0,0,0,0
136100,22780,Strawberries,1/2 cup,25,0,0,0,0,0,13,2,9,0,0,0,0,0,0,0,0
136101,22780,Blueberries,1/2 cup,35,0,0,0,0,0,8,2,15,0,0,0,0,0,0,0,0
136102,22780,Raspberries,1/2 cup,25,0,0,0,0,0,7,1,3,1,0,0,0,0,0,0,0
136103,22780,Pinnapple,1/2 cup,46,0,0,0,0,6,11,1,9,0,0,0,0,0,0,0,0
136104,22780,Peach,1/2 cup,12,0,0,0,0,1,4,1,2.5,0,0,0,0,0,0,0,0
136105,22780,Banana,1/2 med,55,0,0,0,0,0.5,14,2,0,1,0,0,0,0,0,0,0
136106,22780,Orange,1 med,70,0,0,0,0,0,17,4,0,1,0,0,0,0,0,0,0
136107,22780,Lemon,1 med,15,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0
136108,22780,Grapefruit,1/2 med,60,0,0,0,0,0,16,6,0,1,0,0,0,0,0,0,0
136109,22780,Lime,1 med,20,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0
136110,22780,Carrot,3 med,105,0,0,0,0,120,24,6,0,3,0,0,0,0,0,0,0
136111,22780,Coconut,1 oz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136112,22780,Mango,1/2 cup,60,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0
136113,22780,Peanutbutter,3 oz,630,57,0,0,0,450,21,0,12,12,0,0,0,0,0,0,0
136114,22780,Chocolate Yogurt,1/2 cup,110,0,0,0,5,100,23,0,20,4,0,0,0,0,0,0,0
136115,22780,Cappuccino,1 oz,110,3,0,0,0,4.5,21,0,21,0,0,0,0,0,0,0,0
136116,22781,Strawberry,,270,0,0,0,5,100,79,4,67,4,0,0,0,0,0,0,0
136117,22781,Strawberry / Banana,,300,0,0,0,5,101,80,4,58,5,0,0,0,0,0,0,0
136118,22781,Strawberry / Pinnapple,,291,0,0,0,5,106,77,3,67,4,0,0,0,0,0,0,0
136119,22781,Strawberry / Peach,,257,0,0,0,5,101,70,3,61,4,0,0,0,0,0,0,0
136120,22781,Strawberry / Blueberry,,280,0,0,0,5,100,74,4,73,4,0,0,0,0,0,0,0
136121,22781,Strawberry / Orange,,205,0,0,0,5,100,53,6,29,5,0,0,0,0,0,0,0
136122,22781,Strawberry / Raspberry,,270,0,0,0,5,100,73,3,61,5,0,0,0,0,0,0,0
136123,22781,Strawberry / Mango,,305,0,0,0,5,100,66,3,73,4,0,0,0,0,0,0,0
136124,22781,Banana,,330,0,0,0,5,101,81,4,49,6,0,0,0,0,0,0,0
136125,22781,Pinnapple / Banana,,321,0,0,0,5,107,78,3,58,5,0,0,0,0,0,0,0
136126,22781,Peach / Banana,,287,0,0,0,5,102,71,3,52,5,0,0,0,0,0,0,0
136127,22781,Blueberry / Banana,,310,0,0,0,5,101,75,4,64,5,0,0,0,0,0,0,0
136128,22781,Orange / Banana,,235,0,0,0,5,101,54,6,20,6,0,0,0,0,0,0,0
