food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
136465,22813,Chocolate Shake,,1200,72,42,2.5,240,355,125,2,98,14,6,50,45,8,0,0,0
136466,22813,Chocolate Shake,,800,22,14,0.5,70,385,135,2,106,17,8,15,55,8,0,0,0
136467,22813,Chocolate Shake,,850,39,24,1,120,350,115,2,88,15,6,25,50,8,0,0,0
136468,22813,Chocolate Shake,,730,21,13,0,50,475,128,2,97,12,4,10,40,8,0,0,0
136469,22813,Caramel Shake,,1240,74,44,3,250,410,129,0,101,14,6,50,50,2,0,0,0
136470,22813,Strawberry Shake,,1090,70,40,2.5,240,250,106,1,94,13,45,50,45,2,0,0,0
136471,22813,Vanilla Shake,,1080,72,42,2.5,240,265,97,0,82,13,6,50,40,2,0,0,0
136472,22813,Root Beer Shake,,1080,72,42,2.5,240,260,97,0,82,13,6,50,40,2,0,0,0
136473,22813,Pineapple Shake,,1210,72,42,2.5,240,290,128,0,113,13,10,50,40,6,0,0,0
136474,22813,Butterscotch Shake,,1330,72,42,2.5,240,460,156,0,131,13,6,50,40,2,0,0,0
136475,22813,Cherry Shake,,1080,72,42,2.5,240,260,97,0,82,13,6,50,40,2,0,0,0
136476,22813,Raspberry Shake,,1140,72,42,2.5,240,260,112,0,97,13,20,50,45,2,0,0,0
136477,22813,Banana Shake,,1180,72,42,2.5,240,260,121,3,103,14,25,50,45,2,0,0,0
136478,22813,Banana Bread Shake,,1360,75,43,3,250,265,156,4,119,17,25,50,45,10,0,0,0
136479,22813,Berry Berry Shake,,1150,72,42,2.5,240,260,113,1,98,13,35,50,45,2,0,0,0
136480,22813,Black Forest Shake,,1190,73,43,2.5,230,230,117,2,103,15,5,50,45,15,0,0,0
136481,22813,Candy Bar Shake,,1550,96,44,2.5,215,735,157,6,118,24,6,45,50,20,0,0,0
136482,22813,Caramel Banana Shake,,1340,75,44,3,250,410,156,3,124,16,25,50,50,4,0,0,0
136483,22813,Dreamsicle Shake,,1100,75,44,2.5,240,255,101,0,86,13,40,50,40,2,0,0,0
136484,22813,Fluffy Cookie Shake,,1390,72,41,3,230,415,171,1,131,13,6,50,45,10,0,0,0
136485,22813,Raspberry Vanilla Shake,,1120,72,42,2.5,240,265,107,0,98,13,15,50,45,2,0,0,0
136486,22813,Taffy Apple Shake,,1510,98,44,2.5,230,705,142,4,109,23,6,50,50,15,0,0,0
136487,22813,Triple Chocolate Shake,,1300,76,45,2.5,235,340,141,4,119,18,6,50,50,20,0,0,0
136488,22813,Chocolate Malt,,1290,74,43,2.5,245,440,140,2,108,17,6,50,49,8,0,0,0
136489,22813,Chocolate Malt,,890,24,15,0.5,75,470,150,2,116,20,8,15,59,8,0,0,0
136490,22813,Chocolate Malt,,940,41,25,1,125,435,130,2,98,18,6,25,54,8,0,0,0
136491,22813,Chocolate Malt,,820,23,14,0,55,560,143,2,107,15,4,10,44,8,0,0,0
136492,22813,Caramel Malt,,1330,76,45,3,255,495,144,0,111,17,6,50,54,2,0,0,0
136493,22813,Strawberry Malt,,1180,72,41,2.5,245,335,121,1,104,16,45,50,49,2,0,0,0
136494,22813,Vanilla Malt,,1170,74,43,2.5,245,350,112,0,92,16,6,50,44,2,0,0,0
136495,22813,Root Beer Malt,,1170,74,43,2.5,245,345,112,0,92,16,6,50,44,2,0,0,0
136496,22813,Pineapple Malt,,1300,74,43,2.5,245,375,143,0,123,16,10,50,44,6,0,0,0
136497,22813,Butterscotch Malt,,1420,74,43,2.5,245,545,171,0,141,16,6,50,44,2,0,0,0
136498,22813,Cherry Malt,,1170,74,43,2.5,245,345,112,0,92,16,6,50,44,2,0,0,0
136499,22813,Raspberry Malt,,1230,74,43,2.5,245,345,127,0,107,16,20,50,49,2,0,0,0
136500,22813,Banana Malt,,1270,74,43,2.5,245,345,136,3,113,17,25,50,49,2,0,0,0
136501,22813,Banana Bread Malt,,1450,77,44,3,255,350,171,4,129,20,25,50,49,10,0,0,0
136502,22813,Berry Berry Malt,,1240,74,43,2.5,245,345,128,1,108,16,35,50,49,2,0,0,0
136503,22813,Black Forest Malt,,1280,75,44,2.5,235,315,132,2,113,18,5,50,49,15,0,0,0
136504,22813,Candy Bar Malt,,1640,98,45,2.5,220,820,172,6,128,27,6,45,54,20,0,0,0
136505,22813,Caramel Banana Malt,,1430,77,45,3,255,495,171,3,134,19,25,50,54,4,0,0,0
136506,22813,Dreamsicle Malt,,1190,77,45,2.5,245,340,116,0,96,16,40,50,44,2,0,0,0
136507,22813,Fluffy Cookie Malt,,1480,74,42,3,235,500,186,1,141,16,6,50,49,10,0,0,0
136508,22813,Raspberry Vanilla Malt,,1210,74,43,2.5,245,350,122,0,108,16,15,50,49,2,0,0,0
136509,22813,Taffy Apple Malt,,1600,100,45,2.5,235,790,157,4,119,26,6,50,54,15,0,0,0
136510,22813,Triple Chocolate Malt,,1390,78,46,2.5,240,425,156,4,129,21,6,50,54,20,0,0,0
136511,22814,Strawberry Sundae,single scoop,630,39,23,1.5,135,130,66,1,58,7,40,25,25,2,0,0,0
136512,22814,Chocolate Sundae,single scoop,690,39,23,1.5,135,230,79,2,60,7,2,25,25,8,0,0,0
136513,22814,Pineapple Sundae,single scoop,700,39,23,1.5,135,160,81,0,75,7,10,25,20,4,0,0,0
136514,22814,Butterscotch Sundae,single scoop,820,39,23,1.5,200,330,109,0,93,7,2,25,20,0,0,0,0
136515,22814,Marshmallow Sundae,single scoop,740,39,23,1.5,135,195,92,0,73,7,2,25,25,0,0,0,0
136516,22814,Caramel Sundae,single scoop,730,41,24,1.5,145,285,82,0,63,8,4,30,25,0,0,0,0
136517,22814,Raspberry Sundae,single scoop,630,39,22,1.5,135,130,65,0,59,0,15,25,25,0,0,0,0
136518,22815,Banana Royal,,1300,79,34,2,180,360,143,7,116,14,50,40,35,10,0,0,0
136519,22815,Banana Royal,,1020,44,14,0.5,65,395,146,7,118,17,45,15,50,8,0,0,0
136520,22815,Banana Royal,,1060,57,22,0,105,365,130,7,104,15,45,25,45,8,0,0,0
136521,22815,Banana Royal,,970,44,14,0,55,460,140,7,111,13,45,15,35,8,0,0,0
136522,22815,Hot Fudge Brownie Sundae,,1230,77,31,3,185,495,130,6,105,17,6,30,40,20,0,0,0
136523,22815,Hot Fudge Brownie Sundae,,1040,52,17,2,95,510,135,6,109,19,6,15,45,20,0,0,0
136524,22815,Hot Fudge Brownie Sundae,,1060,60,23,2,120,490,125,6,100,18,6,20,45,20,0,0,0
136525,22815,Hot Fudge Brownie Sundae,,1000,51,17,1.5,90,555,131,6,104,16,4,10,35,20,0,0,0
136526,22815,Hot Fudge Sundae,,830,46,27,1.5,150,260,99,1,88,12,6,30,35,6,0,0,0
136527,22815,Hot Fudge Sundae,,630,20,13,0.5,65,275,104,2,92,13,6,10,45,6,0,0,0
136528,22815,Hot Fudge Sundae,,660,29,18,1,90,255,93,2,83,12,6,15,40,4,0,0,0
136529,22815,Hot Fudge Sundae,,600,20,13,0,55,320,100,2,87,11,4,10,35,4,0,0,0
136530,22815,Turtle Candy Sundae,,1020,69,28,1.5,145,345,95,4,76,13,4,30,35,8,0,0,0
136531,22815,Turtle Candy Sundae,,820,44,14,0.5,60,360,100,4,80,14,6,15,40,8,0,0,0
136532,22815,Turtle Candy Sundae,,850,52,20,1,85,340,90,4,71,13,6,30,35,8,0,0,0
136533,22815,Turtle Candy Sundae,,790,43,14,0.5,50,400,96,4,76,12,4,10,30,8,0,0,0
136534,22815,Rocky Road Sundae,,960,57,26,1.5,130,325,100,4,77,17,4,25,20,10,0,0,0
136535,22815,Apple-Cin Sundae,,840,40,23,1.5,135,320,112,0,78,9,4,30,25,2,0,0,0
136536,22815,Tin Roof Sundae,,940,56,25,1.5,135,340,98,3,74,17,2,25,25,4,0,0,0
136537,22815,Oreo Sundae,,830,41,23,2,130,330,111,2,81,8,4,25,25,15,0,0,0
136538,22815,Choc PB Sundae,,770,47,23,1,117,350,81,4,60,13,2,25,20,20,0,0,0
136539,22815,Strawberry Shortcake Sundae,,730,37,20,1,160,300,93,2,76,8,55,25,25,8,0,0,0
136540,22815,Caramel Cream Sundae,,860,41,23,1.5,175,490,112,1,82,11,4,30,30,6,0,0,0
136541,22816,Ice Cream,12 oz,580,27,18,1,90,225,70,1,60,13,6,15,45,0,0,0,0
136542,22816,French Vanilla Yogurt,12 oz,460,10,6,0,25,350,83,1,69,10,4,6,35,0,0,0,0
136543,22816,Oreo Cookie Pieces w/ Ice Cream,14 oz,850,40,20,3,90,520,110,3,83,15,6,15,45,15,0,0,0
136544,22816,Reese's Cups - Chopped w/ Ice Cream,14 oz,890,44,24,1,95,390,102,1,87,19,6,15,49,4,0,0,0
136545,22816,Snickers - Chopped w/ Ice Cream,14 oz,850,40,23,1,100,365,99,2,89,17,6,17,49,2,0,0,0
136546,22816,M & M's w/ Ice Cream,14 oz,860,40,25,1,110,260,110,2,96,15,6,19,51,4,0,0,0
