menu_id,menu_name,restaurant_id
22813,Shakes & Malts,1365
22814,Old Fashioned Sundaes,1365
22815,Signature Sundaes,1365
22816,Frostbites,1365
22817,Oberweis Smoothies,1365
22818,Oberweis Moo-Coolers,1365
22819,Kid'S Shakes,1365
22820,Kid'S Signature Sundaes,1365
22821,Kid'S Frostbites,1365
22822,Kid'S U-Pik-Em Sundaes,1365
22823,Gourmet Desserts,1365
22824,Oberweis Cakes And Pies,1365
22825,Oberweis Premium Ice Cream (in cup),1365
22826,Oberweis Lowfat Ice Cream (in cup),1365
22827,Oberweis Soft Serve Ice Cream (in cup),1365
22828,Oberweis Lowfat Yogurt (in cup),1365
22829,Miscellaneous (in cup),1365
22830,Oberweis Premium Ice Cream (in Cake Cone),1365
22831,Oberweis Lowfat Ice Cream (in Cake Cone),1365
22832,Oberweis Soft Serve Ice Cream (in Cake Cone),1365
22833,Oberweis Lowfat Yogurt (in Cake Cone),1365
22834,Miscellaneous (in Cake Cone),1365
22835,Oberweis Premium Ice Cream (in Sugar Cone),1365
22836,Oberweis Lowfat Ice Cream (in Sugar Cone),1365
22837,Oberweis Soft Serve Ice Cream (in Sugar Cone),1365
22838,Oberweis Lowfat Yogurt (in Sugar Cone),1365
22839,Miscellaneous (in Sugar Cone),1365
22840,Oberweis Premium Ice Cream (in Waffle Cone),1365
22841,Oberweis Lowfat Ice Cream (in Waffle Cone),1365
22842,Oberweis Soft Serve Ice Cream (in Waffle Cone),1365
22843,Oberweis Lowfat Yogurt (in Waffle Cone),1365
22844,Miscellaneous (in Waffle Cone),1365
22845,Oberweis Premium Ice Cream (in Chocolate Dipped Waffle Cone),1365
22846,Oberweis Lowfat Ice Cream (in Chocolate Dipped Waffle Cone),1365
22847,Oberweis Soft Serve Ice Cream (in Chocolate Dipped Waffle Cone),1365
22848,Oberweis Lowfat Yogurt (in Chocolate Dipped Waffle Cone),1365
22849,Miscellaneous (in Chocolate Dipped Waffle Cone),1365
22850,Ice Cream Cones,1365
22851,Oberweis Bakery,1365
