food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
137371,22856,Homogenized Milk,small - 12 oz,169,9,6,0,39,141,12,0,12,9,2,7,34,0,0,0,0
137372,22856,Reduced Fat,small - 12 oz,146,6,3,0,23,158,15,0,15,11,2,11,39,0,0,0,0
137373,22856,Fat Free,small - 12 oz,101,0,0,0,5,158,15,0,15,11,2,11,39,0,0,0,0
137374,22856,Pacific Soy,small - 12 oz,90,3,0,0,0,259,10,0,7,6,0,0,2,5,0,0,0
137375,22856,Homogenized Milk,medium - 16 oz,244,13,8,0,57,203,18,0,18,13,3,10,49,0,0,0,0
137376,22856,Reduced Fat,medium - 16 oz,211,8,5,0,33,228,21,0,21,16,3,16,57,0,0,0,0
137377,22856,Fat Free,medium - 16 oz,146,0,0,0,7,228,21,0,21,16,3,16,57,0,0,0,0
137378,22856,Pacific Soy,medium - 16 oz,130,5,0,0,0,374,15,0,10,8,0,0,3,7,0,0,0
137379,22856,Homogenized Milk,large - 20 oz,263,14,9,0,61,219,19,0,19,14,4,11,53,0,0,0,0
137380,22856,Reduced Fat,large - 20 oz,228,9,5,0,35,245,23,0,23,18,4,18,61,0,0,0,0
137381,22856,Fat Free,large - 20 oz,158,0,0,0,7,245,23,0,23,18,4,18,61,0,0,0,0
137382,22856,Pacific Soy,large - 20 oz,140,5,0,0,0,403,16,0,11,9,0,0,4,7,0,0,0
137383,22857,Homogenized Milk,small - 12 oz,192,8,5,0,36,129,21,0,21,8,2,6,31,0,0,0,0
137384,22857,Reduced Fat,small - 12 oz,172,5,3,0,21,144,23,0,23,10,2,10,36,0,0,0,0
137385,22857,Fat Free,small - 12 oz,130,0,0,0,4,144,23,0,23,10,2,10,36,0,0,0,0
137386,22857,Pacific Soy,small - 12 oz,120,3,0,0,0,237,19,0,16,5,0,0,2,4,0,0,0
137387,22857,Homogenized Milk,medium - 16 oz,275,12,8,0,53,188,29,0,29,12,3,9,45,0,0,0,0
137388,22857,Reduced Fat,medium - 16 oz,245,8,5,0,30,210,32,0,32,15,3,15,53,0,0,0,0
137389,22857,Fat Free,medium - 16 oz,185,0,0,0,6,210,32,0,32,15,3,15,53,0,0,0,0
137390,22857,Pacific Soy,medium - 16 oz,170,5,0,0,0,345,26,0,22,8,0,0,3,6,0,0,0
137391,22857,Homogenized Milk,large - 20 oz,306,13,8,0,57,203,34,0,34,13,3,10,49,0,0,0,0
137392,22857,Reduced Fat,large - 20 oz,274,8,5,0,33,228,37,0,37,16,3,16,57,0,0,0,0
137393,22857,Fat Free (Sugar Free),large - 20 oz,209,0,0,0,7,228,37,0,37,16,3,16,57,0,0,0,0
137394,22857,Pacific Soy (Sugar Free),large - 20 oz,193,5,0,0,0,374,30,0,25,8,0,0,3,7,0,0,0
137395,22857,Homogenized Milk (Sugar Free),small - 12 oz,155,8,5,0,36,129,11,0,11,8,2,6,31,0,0,0,0
137396,22857,Reduced Fat (Sugar Free),small - 12 oz,134,5,3,0,21,144,13,0,13,10,2,10,36,0,0,0,0
137397,22857,Fat Free (Sugar Free),small - 12 oz,93,0,0,0,4,144,13,0,13,10,2,10,36,0,0,0,0
137398,22857,Pacific Soy (Sugar Free),small - 12 oz,83,3,0,0,0,237,9,0,6,5,0,0,2,4,0,0,0
137399,22857,Homogenized Milk (Sugar Free),medium - 16 oz,225,12,8,0,53,188,17,0,17,12,3,9,45,0,0,0,0
137400,22857,Reduced Fat (Sugar Free),medium - 16 oz,195,8,5,0,30,210,20,0,20,15,3,15,53,0,0,0,0
137401,22857,Fat Free (Sugar Free),medium - 16 oz,135,0,0,0,6,210,20,0,20,15,3,15,53,0,0,0,0
137402,22857,Pacific Soy (Sugar Free),medium - 16 oz,120,5,0,0,0,345,12,0,9,8,0,0,3,6,0,0,0
137403,22857,Homogenized Milk (Sugar Free),large - 20 oz,244,13,8,0,57,203,18,0,18,13,3,10,49,0,0,0,0
137404,22857,Reduced Fat (Sugar Free),large - 20 oz,211,8,5,0,33,228,21,0,21,16,3,16,57,0,0,0,0
137405,22857,Fat Free (Sugar Free),large - 20 oz,146,0,0,0,7,228,21,0,21,16,3,16,57,0,0,0,0
137406,22857,Pacific Soy (Sugar Free),large - 20 oz,130,7,0,0,0,374,15,0,10,8,0,0,3,7,0,0,0
137407,22858,Traditional Cappuccino - Homogenized Milk,8 oz,56,3,2,0,13,47,4,0,4,3,1,2,11,0,0,0,0
137408,22858,Traditional Cappuccino - Reduced Fat,8 oz,49,2,1,0,8,53,5,0,5,4,1,4,13,0,0,0,0
137409,22858,Traditional Cappuccino - Fat Free,8 oz,34,0,0,0,2,53,5,0,5,4,1,4,13,0,0,0,0
137410,22858,Traditional Cappuccino - Pacific Soy,8 oz,30,1,0,0,0,86,3,0,2,3,0,0,1,2,0,0,0
137411,22858,Homogenized Milk,small - 12 oz,113,6,4,0,26,94,8,0,8,6,2,5,23,0,0,0,0
137412,22858,Reduced Fat,small - 12 oz,98,4,2,0,15,105,10,0,10,8,2,8,26,0,0,0,0
137413,22858,Fat Free,small - 12 oz,68,0,0,0,3,105,10,0,10,8,2,8,26,0,0,0,0
137414,22858,Pacific Soy,small - 12 oz,60,2,0,0,0,173,7,0,5,4,0,0,2,3,0,0,0
137415,22858,Homogenized Milk,medium - 16 oz,150,8,5,0,35,125,11,0,11,8,2,6,30,0,0,0,0
137416,22858,Reduced Fat,medium - 16 oz,130,5,3,0,20,140,13,0,13,10,2,10,35,0,0,0,0
137417,22858,Fat Free,medium - 16 oz,90,0,0,0,4,140,13,0,13,10,2,10,35,0,0,0,0
137418,22858,Pacific Soy,medium - 16 oz,80,3,1,0,0,230,9,0,6,5,0,0,2,4,0,0,0
