food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
137483,22862,Pee Wee Petro - Original,,284,16,6,0,29,712,22,1,0,12,0,0,0,0,0,0,0
137484,22862,Pee Wee Petro - Veggie,,289,16,6,0,21,636,27,1,0,10,0,0,0,0,0,0,0
137485,22862,Pee Wee Petro - Chicken,,259,14,6,0,29,693,23,1,0,11,0,0,0,0,0,0,0
137486,22862,Petro - Original,small,516,30,12,0,50,1307,43,2,0,21,0,0,0,0,0,0,0
137487,22862,Petro - Veggie,small,524,28,10,0,35,1156,52,2,0,17,0,0,0,0,0,0,0
137488,22862,Petro - Chicken,small,464,24,9.8,0,50,1270,43,2,0,19,0,0,0,0,0,0,0
137489,22862,Petro - Original,medium,734,43,18,0,76,1777,58,3,0,29,0,0,0,0,0,0,0
137490,22862,Petro - Veggie,medium,745,41,16,0,56,1576,70,3,0,24,0,0,0,0,0,0,0
137491,22862,Petro - Chicken,medium,665,36,15,0,76,1728,59,3,0,27,0,0,0,0,0,0,0
137492,22862,Petro - Original,large,1073,63,26,0,107,2625,87,4.5,0,42,0,0,0,0,0,0,0
137493,22862,Petro - Veggie,large,1089,60,23,0,77,2324,105,4.5,0,35,0,0,0,0,0,0,0
137494,22862,Petro - Chicken,large,969,52,22,0,107,2552,88,4.5,0,39,0,0,0,0,0,0,0
137495,22862,Pasta Petro,small,406,16.6,6.7,0,39,842,45.5,6.2,0,19.7,0,0,0,0,0,0,0
137496,22862,Pasta Petro,medium,627,26.6,11,0,61.2,1260,67.6,9.5,0,29.7,0,0,0,0,0,0,0
137497,22862,Pasta Petro,large,848,36.6,15.4,0,84,1677,91,9.4,0,39.8,0,0,0,0,0,0,0
137498,22862,Lite Petro,small,382,12,2,0,23,1388,48,2,0,21,0,0,0,0,0,0,0
137499,22862,Lite Petro,medium,532,16,3,0,33,1906,66,3,0,30,0,0,0,0,0,0,0
137500,22862,Lite Petro,large,787,24,4,0,48,2791,99,4,0,42,0,0,0,0,0,0,0
137501,22862,Lite Pasta Petro,small,333,2.3,0.2,0,10,885,52.5,4.5,0,25.4,0,0,0,0,0,0,0
137502,22862,Lite Pasta Petro,medium,494,3.5,0.2,0,15,1277,79.7,6.9,0,33.1,0,0,0,0,0,0,0
137503,22862,Lite Pasta Petro,large,678,4.7,0.3,0,20,1769,107.7,9.3,0,51.5,0,0,0,0,0,0,0
137504,22863,Original,small,235,9,3,0,17,1121,26,0,0,13,0,0,0,0,0,0,0
137505,22863,Veggie,small,245,7,1,0,0,945,37,0,0,9,0,0,0,0,0,0,0
137506,22863,Chicken,small,175,3,0.5,0,18,1078,27,0,0,11,0,0,0,0,0,0,0
137507,22863,Original,medium,370,14,4,0,27,1762,42,0,0,21,0,0,0,0,0,0,0
137508,22863,Veggie,medium,385,11,1.4,0,0,1485,58,0,0,14,0,0,0,0,0,0,0
137509,22863,Chicken,medium,275,4,0.6,0,27,1694,43,0,0,18,0,0,0,0,0,0,0
137510,22863,Original,large,504,19,6,0,37,2402,57,0,0,28,0,0,0,0,0,0,0
137511,22863,Veggie,large,525,15,2,0,0,2025,79,0,0,19,0,0,0,0,0,0,0
137512,22863,Chicken,large,375,6,0.9,0,38,2310,58,0,0,24,0,0,0,0,0,0,0
137513,22864,Petro Salads - Original,,570,36,16,0,66,959,42,1.8,0,25,0,0,0,0,0,0,0
137514,22864,Petro Salads - Grilled Chicken,,742,41,17,0,159,1019,42,7.8,0,54,0,0,0,0,0,0,0
137515,22864,Garden Salads,small,43,0.5,0,0,0,32,8,4,0,3,0,0,0,0,0,0,0
137516,22864,Garden Salads,large,86,1,0.2,0,0,64,16,7,0,7,0,0,0,0,0,0,0
137517,22865,Baked Potatoes - #1 Lite,,363,0.3,0.1,0,0,255,74,6.9,0,18,0,0,0,0,0,0,0
137518,22865,Baked Potatoes - #2 Butter Sour Cream,,482,18,6,0,15,165,74,8,0,8,0,0,0,0,0,0,0
137519,22865,Baked Potatoes - #3 Loaded,,679,33,15,0,56,573,78,9,0,21,0,0,0,0,0,0,0
137520,22865,Baked Potatoes - #4 Loaded w/chili,,780,37,16,0,63,1054,90,9,0,26,0,0,0,0,0,0,0
137521,22865,Baked Potatoes - #5 Broccoli 3 Cheese,,657,30,14,0,56,835,77,9,0,21,0,0,0,0,0,0,0
137522,22865,Hot Dogs - Plain,,266,14,6.2,0,25,690,22.4,0,0,8.9,0,0,0,0,0,0,0
137523,22865,Hot Dogs - Chili,,315,17.4,6.8,0,28,923,27.8,1.5,0,11.3,0,0,0,0,0,0,0
137524,22865,Hot Dogs - Chili/Cheese,,347,19.2,6.8,0,33.5,987,29,1.5,0,13.8,0,0,0,0,0,0,0
137525,22865,Hot Dogs - Loaded,,352,19.4,6.8,0,34.5,989,30,1.7,0,14,0,0,0,0,0,0,0
137526,22865,Hot Dogs - Slaw,,352,15.8,6.3,0,26,692,23.4,0.3,0,8.7,0,0,0,0,0,0,0
137527,22865,Tostitos™ Chips - Salsa,,413,18,3,0,0,896,62,0,0,6,0,0,0,0,0,0,0
137528,22865,Tostitos™ Chips - Ransalsa,,560,35,3,0,0,857,61,0,0,7,0,0,0,0,0,0,0
137529,22865,Tostitos™ Chips - Queso,,500,27,8,0,22,896,60,0,0,11,0,0,0,0,0,0,0
137530,22865,Loaded Tostitos™ / Ultimate Nachos,,880,51,21,0,89,1805,79,0.7,0,34,0,0,0,0,0,0,0
