food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
137566,22867,Redeye,tall - 12 oz,8,0.1,0,0,0,7,1.6,0,0,0.3,0,0,0,0,0,0,0
137567,22867,Redeye,grande - 16 oz,13,0.1,0.1,0,0,12,2.5,0,0,0.4,0,0,0,0,0,0,0
137568,22867,Redeye,primo - 20 oz,16,0.2,0.1,0,0,17,3.2,0,0,0.5,0,0,0,0,0,0,0
137569,22867,Cafe Au Lait,tall - 12 oz,82,4,2.5,0,18,64,7.4,0,0,4.2,0,0,0,0,0,0,0
137570,22867,Cafe Au Lait,grande - 16 oz,123,6,3.8,0,26,97,10.9,0,0,6.3,0,0,0,0,0,0,0
137571,22867,Cafe Au Lait,primo - 20 oz,144,7,4.4,0,31,113,12.9,0,0,7.4,0,0,0,0,0,0,0
137572,22867,Flavored Coffee,tall - 12 oz,106,0,0,0,0,3,26.2,0,0,0.3,0,0,0,0,0,0,0
137573,22867,Flavored Coffee,grande - 16 oz,133,0,0,0,0,4,32.9,0,0,0.4,0,0,0,0,0,0,0
137574,22867,Flavored Coffee,primo - 20 oz,185,0,0,0,0,5,45.8,0,0,0.5,0,0,0,0,0,0,0
137575,22868,Espresso Machiatto,1 serving,10,0.6,0.3,0,12,11,1.1,0,0,0.5,0,0,0,0,0,0,0
137576,22868,Espresso Con Panna,1 serving,76,6.4,3.9,0,22,41,3.9,0,0,0.9,0,0,0,0,0,0,0
137577,22868,Americano,tall - 12 oz,5,0.1,0.1,0,0,16,0.9,0,0,0,0,0,0,0,0,0,0
137578,22868,Americano,grande - 16 oz,6,0.2,0.1,0,0,23,1.3,0,0,0,0,0,0,0,0,0,0
137579,22868,Americano,primo - 20 oz,9,0.2,0.1,0,0,29,1.7,0,0,0,0,0,0,0,0,0,0
137580,22868,Cappuccino,tall - 12 oz,121,6.1,3.9,0,26,102,10.6,0,0,6,0,0,0,0,0,0,0
137581,22868,Cappuccino,grande - 16 oz,162,8.2,5.1,0,35,137,14.3,0,0,8,0,0,0,0,0,0,0
137582,22868,Cappuccino,primo - 20 oz,204,10.2,6.4,0,44,172,18,0,0,10,0,0,0,0,0,0,0
137583,22868,Espresso,1 serving,2,0.1,0,0,0,4,0.4,0,0,0,0,0,0,0,0,0,0
137584,22868,Mochaccino,tall - 12 oz,400,19,12.1,0,75,143,46.3,1.7,0,10.9,0,0,0,0,0,0,0
137585,22868,Mochaccino,grande - 16 oz,486,22.3,14,0,88,194,57.4,2.2,0,14.1,0,0,0,0,0,0,0
137586,22868,Mochaccino,primo - 20 oz,446,24.3,15.9,0,101,245,40.7,0.3,0,16.1,0,0,0,0,0,0,0
137587,22868,Flavored Cappuccino,tall - 12 oz,202,5.1,3.2,0,22,86,34,0,0,5,0,0,0,0,0,0,0
137588,22868,Flavored Cappuccino,grande - 16 oz,268,7.2,4.5,0,31,121,43.9,0,0,7,0,0,0,0,0,0,0
137589,22868,Flavored Cappuccino,primo - 20 oz,359,9.2,5.7,0,39,157,60,0,0,9,0,0,0,0,0,0,0
137590,22868,Flavored Cafe Latte,tall - 12 oz,280,9.1,5.7,0,39,149,40.5,0,0,9,0,0,0,0,0,0,0
137591,22868,Flavored Cafe Latte,grande - 16 oz,365,12.2,7.6,0,52,200,52,0,0,12,0,0,0,0,0,0,0
137592,22868,Flavored Cafe Latte,primo - 20 oz,461,14.5,9,0,62,239,68.6,0,0,14.2,0,0,0,0,0,0,0
137593,22868,Cafe Latte,tall - 12 oz,199,10.1,6.4,0,44,164,17.1,0,0,10,0,0,0,0,0,0,0
137594,22869,Iced Almond Joy,grade - 16 oz,431,16.7,10.9,0,66,112,61.6,1.2,0,8.6,0,0,0,0,0,0,0
137595,22869,Iced Almond Joy,primo - 24 oz,547,19,12.1,0,75,147,83.2,1.7,0,10.9,0,0,0,0,0,0,0
137596,22869,Iced-like-the-milky-way,grande - 16 oz,444,16.8,10.9,0,67,119,64.7,1.2,0,8.6,0,0,0,0,0,0,0
137597,22869,Iced-like-the-milky-way,primo - 24 oz,561,19.1,12.1,0,76,154,86.4,1.7,0,10.9,0,0,0,0,0,0,0
