food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
137757,22884,Original Pretzel,126 g,340,2,0,0,0,15,70,2,16,10,4,0,2,20,0,0,0
137758,22884,Parmesan Pretzel,134 g,390,6,1.5,0,0,500,72,2,16,10,4,0,4,20,0,0,0
137759,22884,Garlic Pretzel,134 g,380,6,1.5,0,0,700,72,2,16,10,4,0,2,20,0,0,0
137760,22884,Cinnamon Pretzel,131 g,380,5,1,0,0,40,74,2,19,10,4,2,2,20,0,0,0
137761,22884,Sesame Pretzel,130 g,380,6,1,0,0,40,71,2,16,10,4,2,2,20,0,0,0
137762,22884,Poppy Seed Pretzel,130 g,380,6,1,0,0,40,71,2,16,10,4,2,4,20,0,0,0
137763,22884,Iced Cinnamon Swirl Pretzel,150 g,470,9,2.5,0,5,50,87,2,29,10,4,0,2,20,0,0,0
137764,22884,Caramel Nut Pretzel,133 g,390,6,1,0,0,40,74,2,19,10,4,2,2,20,0,0,0
137765,22884,Pretzel Dog,159 g,490,30,12,0,0,1220,38,1,9,16,35,4,0,15,0,0,0
137766,22885,Nacho Cheese,1.5 oz - 43 g,105,0,3.5,0,15,525,4,0,4,4,7,25,0,0,0,0,0
137767,22885,Chili Spice,1.5 oz - 43 g,360,5,1,0,0,900,72,2,16,10,2,4,6,20,0,0,0
137768,22885,Cheddar Cheese,1.5 oz - 43 g,130,10,3.5,0,10,560,6,0,3,3,10,35,0,0,0,0,0
137769,22885,Pizza Sauce,1.5 oz - 43 g,20,0.5,0,0,0,250,6,2,3,1,2,6,8,0,0,0,0
137770,22885,Honey Mustard,1.5 oz - 43 g,80,0,0,0,0,240,20,0,16,0,0,0,0,0,0,0,0
137771,22885,Cream Cheese,57 g,200,20,12,0,60,180,2,0,2,4,0,10,0,0,0,0,0
137772,22885,Caramel,57 g,140,0,0,0,0,160,35,0,27,1,0,0,0,0,0,0,0
137773,22885,Mustard,10 g,10,0,0,0,0,125,1,0,0,0,0,0,0,2,0,0,0
137774,22885,Ketchup,18 g,20,0,0,0,0,200,4,0,4,0,0,0,0,0,0,0,0
