food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
138003,22912,Energizer,21.6 oz,340,5,0,0,0,85,75,3,58,3,100,60,10,6,0,0,0
138004,22912,Immune Booster,21.6 oz,350,5,0,0,20,50,84,4,72,6,930,200,20,6,0,0,0
138005,22912,Bulk Upper,21.6 oz,1320,51,31,0,205,510,184,6,150,33,25,50,80,15,0,0,0
138006,22912,Light Delight,21.6 oz,360,2,0,0,0,180,82,5,67,8,90,20,25,20,0,0,0
138007,22912,One's A Meal,21.6 oz,510,6,0,0,15,340,77,10,54,28,90,20,15,15,0,0,0
138008,22913,Strawberry Patch,21.6 oz,420,1,0,0,0,25,104,5,94,3,210,20,8,8,0,0,0
138009,22913,Cranberry Crush,21.6 oz,420,3.5,0,0,15,110,106,4,77,2,620,150,15,2,0,0,0
138010,22913,Raspberry Dream,21.6 oz,520,2,0,0,5,125,123,9,103,8,190,45,35,10,0,0,0
138011,22913,Blueberry Blast,21.6 oz,410,3,0,0,0,120,98,11,76,9,150,25,35,10,0,0,0
138012,22913,Verry Berry,21.6 oz,420,1.5,0,0,0,135,96,5,83,11,120,25,30,6,0,0,0
138013,22914,Island Delight,21.6 oz,410,1,0,0,0,110,103,4,80,4,210,110,8,6,0,0,0
138014,22914,Pina Colada,21.6 oz,560,10,8,0,0,100,117,5,105,7,50,0,6,6,0,0,0
138015,22914,Tropical Squeeze,21.6 oz,360,0.5,0,0,0,25,92,5,81,2,170,25,8,8,0,0,0
138016,22914,Key Lime Splash,21.6 oz,390,0.5,0,0,0,90,98,2,88,3,170,80,8,4,0,0,0
138017,22914,Pineapple Passion,21.6 oz,270,0,0,0,0,40,71,3,65,1,60,8,4,6,0,0,0
138018,22915,Factory Original,21.6 oz,300,0,0,0,0,45,73,4,63,5,60,6,6,6,0,0,0
138019,22915,Original Factory Original,21.6 oz,330,0.5,0,0,0,45,81,4,70,5,100,4,8,6,0,0,0
138020,22915,Yogurt Yahoo,21.6 oz,390,7,0,0,5,150,67,6,51,14,30,8,25,8,0,0,0
138021,22915,The Mango Smoothie,21.6 oz,450,5,4,0,0,120,92,3,76,13,30,20,8,6,0,0,0
138022,22916,Hercules,21.6 oz,490,7,0,0,5,50,105,5,81,8,90,10,15,15,0,0,0
138023,22916,Peanut Butter Powerhouse,21.6 oz,590,9,0,0,0,880,95,2,55,27,40,2,25,10,0,0,0
138024,22916,Factory Latte,21.6 oz,520,4,1,0,5,180,93,3,43,29,0,20,15,15,0,0,0
138025,22916,After-Workout Formula,21.6 oz,420,1,0.5,0,20,45,92,4,70,14,80,8,10,6,0,0,0
138026,22916,Engineered Foods,21.6 oz,282,2,1.5,0,45,195,24,1.5,3,42,50,50,65,50,0,0,0
138027,22916,Just Peachy,21.6 oz,280,0.5,0,0,10,30,62,2,52,7,15,8,6,2,0,0,0
138028,22917,Strawberry Jr.,21.6 oz,140,0,0,0,0,0,38,2,34,0,35,0,2,2,0,0,0
138029,22917,Kid's Original,21.6 oz,170,0,0,0,0,0,43,3,35,1,80,2,2,4,0,0,0
