food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
138030,22918,Cinnamon Oatmeal Raisin,,420,3,1,0,0,0,86,9,0,19,0,0,0,0,0,0,0
138031,22918,Banana Nut,,400,12,1.5,0,5,0,67,9,0,14,0,0,0,0,0,0,0
138032,22918,Coconut,,440,13,10,0,5,0,70,8,0,17,0,0,0,0,0,0,0
138033,22918,Blueberry Muffin,,370,4,1.5,0,5,0,76,9,0,15,0,0,0,0,0,0,0
138034,22918,Chocolate Peanut Butter Cup,,380,13,3,0,5,0,48,6,0,23,0,0,0,0,0,0,0
138035,22919,Mocha,12 oz,209,0.7,0.1,0,1.1,169.4,44.4,0.8,0,6.8,0,0,0,0,0,0,0
138036,22919,Hazelnut,12 oz,168,0.3,0.1,0,1.1,124.6,34.7,0.4,0,6,0,0,0,0,0,0,0
138037,22919,Amaretto,12 oz,168,0.3,0.1,0,1.1,124.6,34.7,0.4,0,6,0,0,0,0,0,0,0
138038,22919,Irish Creme,12 oz,168,0.3,0.1,0,1.1,124.6,34.7,0.4,0,6,0,0,0,0,0,0,0
138039,22919,French Roast,12 oz,164,0.3,0.1,0,1.1,124.1,34.5,0.4,0,6,0,0,0,0,0,0,0
138040,22919,French Vanilla,12 oz,168,0.3,0.1,0,1.1,124.6,34.7,0.4,0,6,0,0,0,0,0,0,0
138041,22920,Mocha,12 oz,266,2.2,0.6,0,1.1,170.9,55.3,4.6,0,9.7,0,0,0,0,0,0,0
138042,22920,Hazelnut,12 oz,177,1.8,0.6,0,1.1,125.5,33.6,4.2,0,8.8,0,0,0,0,0,0,0
138043,22920,Amaretto,12 oz,177,1.8,0.6,0,1.1,125.5,33.6,4.2,0,8.8,0,0,0,0,0,0,0
138044,22920,Irish Creme,12 oz,177,1.8,0.6,0,1.1,125.5,33.6,4.2,0,8.8,0,0,0,0,0,0,0
138045,22920,French Roast,12 oz,177,1.8,0.6,0,1.1,124.9,33.6,4.2,0,8.8,0,0,0,0,0,0,0
138046,22920,French Vanilla,12 oz,177,1.8,0.6,0,1.1,125.5,33.6,4.2,0,8.8,0,0,0,0,0,0,0
138047,22921,Mocha,20 oz,206,0.1,0.1,0,1.1,214.5,42.3,1.3,0,7.6,0,0,0,0,0,0,0
