food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
139979,22949,Brewed Coffee - Tall,,7,0,0,0,0,0,1,0,0,0.3,0,0,0,0,0,0,0
139980,22949,Brewed Coffee - Grande,,9,0,0,0,0,0,2,0,0,0.5,0,0,0,0,0,0,0
139981,22949,Brewed Coffee - Venti,,14,0,0,0,0,0,3,0,0,0.7,0,0,0,0,0,0,0
139982,22949,Espresso - Solo,,6,0,0,0,0,0,1,0,0,0.4,0,0,0,0,0,0,0
139983,22949,Espresso - Doppio,,11,0,0,0,0,0,2,0,0,0.7,0,0,0,0,0,0,0
139984,22949,Espresso Con Panna - Solo,,105,9.3,6.2,0,39,8,3,0,2,0.4,0,0,0,0,0,0,0
139985,22949,Espresso Con Panna - Doppio,,111,9.3,6.2,0,39,8,4,0,2,0.7,0,0,0,0,0,0,0
139986,22949,Espresso Macchiato - Solo - Skimmed Milk,,9,0,0,0,0,3,1,0,0,0.5,0,0,0,0,0,0,0
139987,22949,Espresso Macchiato - Solo - Whole Milk,,9,0.2,0.1,0,1,3,1,0,0,0.5,0,0,0,0,0,0,0
139988,22949,Espresso Macchiato - Doppio - Skimmed Milk,,14,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0
139989,22949,Espresso Macchiato - Doppio - Whole Milk,,15,0.2,0.1,0,1,4,2,0,0,0.9,0,0,0,0,0,0,0
139990,22949,Caffè Americano - Tall,,11,0,0,0,0,0,2,0,0,0.7,0,0,0,0,0,0,0
139991,22949,Caffè Americano - Grande,,17,0,0,0,0,0,3,0,0,1.1,0,0,0,0,0,0,0
139992,22949,Caffè Americano - Venti,,23,0,0,0,0,0,3,0,0,1.5,0,0,0,0,0,0,0
139993,22949,Cappuccino - Tall - Skimmed Milk,,76,0,0,0,4,101,11,0,9,7.4,0,0,0,0,0,0,0
139994,22949,Cappuccino - Tall - Whole Milk,,122,6.4,4,0,26,93,10,0,9,6.6,0,0,0,0,0,0,0
139995,22949,Cappuccino - Grande - Skimmed Milk,,96,0,0,0,5,123,14,0,11,9.2,0,0,0,0,0,0,0
139996,22949,Cappuccino - Grande - Whole Milk,,153,7.7,4.8,0,31,114,13,0,11,8.3,0,0,0,0,0,0,0
139997,22949,Cappuccino - Venti - Skimmed Milk,,129,0,0,0,7,170,19,0,16,12.5,0,0,0,0,0,0,0
139998,22949,Cappuccino - Venti - Whole Milk,,207,10.7,6.7,0,43,157,17,0,15,11.2,0,0,0,0,0,0,0
139999,22949,Caffè Misto - Tall - Skimmed Milk,,64,0,0,0,3,91,9,0,8,6.3,0,0,0,0,0,0,0
140000,22949,Caffè Misto - Tall - Whole Milk,,106,5.7,3.5,0,23,84,8,0,8,5.7,0,0,0,0,0,0,0
140001,22949,Caffè Misto - Grande - Skimmed Milk,,88,0,0,0,5,122,13,0,11,8.5,0,0,0,0,0,0,0
140002,22949,Caffè Misto - Grande - Whole Milk,,143,7.5,4.7,0,31,113,11,0,11,7.7,0,0,0,0,0,0,0
140003,22949,Caffè Misto - Venti - Skimmed Milk,,109,0,0,0,6,152,16,0,14,10.7,0,0,0,0,0,0,0
140004,22949,Caffè Misto - Venti - Whole Milk,,179,9.4,5.9,0,38,141,14,0,13,9.6,0,0,0,0,0,0,0
140005,22949,Caffè Misto - Tall - Skimmed Milk,,122,0,0,0,6,169,18,0,16,12,0,0,0,0,0,0,0
140006,22949,Caffè Misto - Tall - Whole Milk,,200,10.6,6.6,0,43,156,16,0,15,10.8,0,0,0,0,0,0,0
140007,22949,Caffè Latte - Grande - Skimmed Milk,,163,0,0,0,8,219,24,0,20,15.9,0,0,0,0,0,0,0
140008,22949,Caffè Latte - Grande - Whole Milk,,265,13.8,8.6,0,56,203,21,0,19,14.3,0,0,0,0,0,0,0
140009,22949,Caffè Latte - Venti - Skimmed Milk,,208,0,0,0,11,285,30,0,26,20.4,0,0,0,0,0,0,0
140010,22949,Caffè Latte - Venti - Whole Milk,,341,17.9,11.2,0,73,263,27,0,24,18.4,0,0,0,0,0,0,0
