food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
140243,22965,96% Fat-Free Frozen Yogurt (All Flavors),kids - 2.8 oz - 78 g,110,2,2,0,10,50,18,0,16,3,0,0,0,0,0,0,0
140244,22965,96% Fat-Free Frozen Yogurt (All Flavors),junior - 5 oz - 141 g,200,4,3,0,20,90,33,0,29,6,0,0,0,0,0,0,0
140245,22965,96% Fat-Free Frozen Yogurt (All Flavors),small - 7 oz - 198 g,290,6,4,0,30,120,47,0,41,8,0,0,0,0,0,0,0
140246,22965,96% Fat-Free Frozen Yogurt (All Flavors),regular - 9 oz - 255 g,370,8,5,0,40,160,60,0,53,11,0,0,0,0,0,0,0
140247,22965,96% Fat-Free Frozen Yogurt (All Flavors),large - 11 oz - 312 g,450,10,6,0,50,190,74,0,64,13,0,0,0,0,0,0,0
140248,22965,96% Fat-Free Frozen Yogurt (All Flavors),pint - 388 g,560,12,8,0,60,240,92,0,80,16,0,0,0,0,0,0,0
140249,22965,96% Fat-Free Frozen Yogurt (All Flavors),quart - 776 g,1120,24,16,0,120,480,184,0,160,32,0,0,0,0,0,0,0
140250,22965,Nonfat Frozen Yogurt (All Flavors),kids - 2.8 oz - 78 g,90,0,0,0,5,50,18,0,16,3,0,0,0,0,0,0,0
140251,22965,Nonfat Frozen Yogurt (All Flavors),junior - 5 oz - 141 g,160,0,0,0,5,90,33,0,29,6,0,0,0,0,0,0,0
140252,22965,Nonfat Frozen Yogurt (All Flavors),small - 7 oz - 198 g,220,0,0,0,10,120,46,0,40,8,0,0,0,0,0,0,0
140253,22965,Nonfat Frozen Yogurt (All Flavors),regular - 9 oz - 255 g,290,0,0,0,15,160,60,0,52,10,0,0,0,0,0,0,0
140254,22965,Nonfat Frozen Yogurt (All Flavors),large - 11 oz - 312 g,350,0,0,0,15,190,73,0,64,13,0,0,0,0,0,0,0
140255,22965,Nonfat Frozen Yogurt (All Flavors),pint - 392 g,440,0,0,0,20,240,92,0,80,16,0,0,0,0,0,0,0
140256,22965,Nonfat Frozen Yogurt (All Flavors),quart - 784 g,880,0,0,0,40,480,184,0,160,32,0,0,0,0,0,0,0
140257,22965,Nonfat Frozen Yogurt (All Flavors),kids - 2.8 oz - 78 g,70,0,0,0,5,30,16,0,6,3,0,0,0,0,0,0,0
140258,22965,Nonfat Frozen Yogurt (All Flavors),junior - 5 oz - 141 g,130,0,0,0,5,50,29,0,10,6,0,0,0,0,0,0,0
140259,22965,Nonfat Frozen Yogurt (All Flavors),small - 7 oz - 198 g,190,0,0,0,10,70,41,0,14,8,0,0,0,0,0,0,0
140260,22965,Nonfat Frozen Yogurt (All Flavors),regular - 9 oz - 255 g,240,0,0,0,15,90,53,0,19,11,0,0,0,0,0,0,0
140261,22965,Nonfat Frozen Yogurt (All Flavors),large - 11 oz - 312 g,290,0,0,0,15,110,65,0,23,13,0,0,0,0,0,0,0
140262,22965,Nonfat Frozen Yogurt (All Flavors),pint - 384 g,360,0,0,0,20,140,80,0,28,16,0,0,0,0,0,0,0
140263,22965,Nonfat Frozen Yogurt (All Flavors),quart - 768 g,720,0,0,0,40,280,160,0,56,32,0,0,0,0,0,0,0
140264,22965,Low-Carb Lovers' Frozen Yogurt (Chocolate),kids - 2.8 oz - 78 g,90,6,4,0,20,50,14,6,3,3,2,2,13,0,0,0,0
140265,22965,Low-Carb Lovers' Frozen Yogurt (Vanilla),kids - 2.8 oz - 78 g,90,6,4,0,20,50,14,6,3,3,2,2,13,0,0,0,0
140266,22965,Low-Carb Lovers' Frozen Yogurt (Chocolate),junior - 5 oz - 142 g,160,10,7,0,40,90,25,11,5,5,2,2,20,0,0,0,0
140267,22965,Low-Carb Lovers' Frozen Yogurt (Vanilla),junior - 5 oz - 142 g,170,10,7,0,40,90,25,11,5,5,2,2,20,0,0,0,0
140268,22965,Low-Carb Lovers' Frozen Yogurt (Chocolate),small - 7 oz - 198 g,230,14,9,0,55,125,35,16,6,7,4,4,30,0,0,0,0
140269,22965,Low-Carb Lovers' Frozen Yogurt (Vanilla),small - 7 oz - 198 g,230,14,10,0,55,130,35,16,7,6,4,4,30,0,0,0,0
140270,22965,Low-Carb Lovers' Frozen Yogurt (Chocolate),regular - 9 oz - 255 g,300,18,12,0,70,160,45,20,8,9,4,4,40,0,0,0,0
140271,22965,Low-Carb Lovers' Frozen Yogurt (Vanilla),regular - 9 oz - 255 g,300,18,12,0,75,160,45,21,8,8,4,4,40,0,0,0,0
140272,22965,Low-Carb Lovers' Frozen Yogurt (Chocolate),large - 11 oz - 312 g,360,22,15,0,85,200,56,25,10,11,6,6,50,0,0,0,0
140273,22965,Low-Carb Lovers' Frozen Yogurt (Vanilla),large - 11 oz - 312 g,370,22,15,0,90,200,55,25,10,10,6,6,50,0,0,0,0
140274,22965,Low-Carb Lovers' Frozen Yogurt (Chocolate),pint - 368 g,440,28,18,0,100,240,64,28,12,12,8,8,60,0,0,0,0
140275,22965,Low-Carb Lovers' Frozen Yogurt (Vanilla),pint - 368 g,440,28,18,0,100,240,64,28,12,12,8,8,60,0,0,0,0
140276,22965,Low-Carb Lovers' Frozen Yogurt (Chocolate),quart - 736 g,880,56,36,0,200,480,128,56,24,24,16,16,120,0,0,0,0
140277,22965,Low-Carb Lovers' Frozen Yogurt (Vanilla),quart - 736 g,880,56,36,0,200,480,128,56,24,24,16,16,120,0,0,0,0
140278,22965,TCBY Hand Scooped Frozen Yogurt (Chocolate Chocolate),kids - 2.8 oz - 46 g,80,2,1,0,10,30,12,1,10,3,1,1,6,3,0,0,0
140279,22965,TCBY Hand Scooped Frozen Yogurt (Chocolate Chocolate),junior - 5 oz - 73 g,120,4,2,0,15,50,19,1,16,4,2,2,10,4,0,0,0
140280,22965,TCBY Hand Scooped Frozen Yogurt (Chocolate Chocolate),small - 7 oz - 91 g,150,4,3,0,20,60,24,1,20,5,3,3,13,5,0,0,0
140281,22965,TCBY Hand Scooped Frozen Yogurt (Chocolate Chocolate),regular - 9 oz - 146 g,240,7,4,0,30,100,38,2,32,8,4,4,20,8,0,0,0
140282,22965,TCBY Hand Scooped Frozen Yogurt (Chocolate Chocolate),large - 11 oz - 192 g,320,9,5,0,40,130,50,3,42,11,5,5,26,11,0,0,0
140283,22965,TCBY Hand Scooped Frozen Yogurt (Chocolate Chocolate),pint - 292 g,480,14,8,0,60,200,76,4,64,16,8,8,40,16,0,0,0
140284,22965,TCBY Hand Scooped Frozen Yogurt (Chocolate Chocolate),quart - 584 g,960,28,16,0,120,400,152,8,128,32,16,16,80,32,0,0,0
140285,22965,TCBY Hand Scooped Frozen Yogurt (Chocolate Chocolate Swirl),kids - 2.8 oz - 46 g,60,0,0,0,0,40,14,4,3,3,1,0,6,13,0,0,0
140286,22965,TCBY Hand Scooped Frozen Yogurt (Chocolate Chocolate Swirl),junior - 5 oz - 73 g,90,1,0,0,0,70,23,6,5,4,2,0,10,20,0,0,0
140287,22965,TCBY Hand Scooped Frozen Yogurt (Chocolate Chocolate Swirl),small - 7 oz - 91 g,110,1,0,0,0,90,29,8,6,5,3,0,13,25,0,0,0
140288,22965,TCBY Hand Scooped Frozen Yogurt (Chocolate Chocolate Swirl),regular - 9 oz - 146 g,180,1,0,0,0,140,46,12,10,8,4,0,20,40,0,0,0
140289,22965,TCBY Hand Scooped Frozen Yogurt (Chocolate Chocolate Swirl),large - 11 oz - 192 g,240,1,0,0,0,180,60,16,13,11,5,0,26,53,0,0,0
140290,22965,TCBY Hand Scooped Frozen Yogurt (Chocolate Chocolate Swirl),pint - 292 g,360,2,0,0,0,280,92,24,20,16,8,0,40,80,0,0,0
140291,22965,TCBY Hand Scooped Frozen Yogurt (Chocolate Chocolate Swirl),quart - 584 g,720,4,0,0,0,560,184,48,40,32,16,0,80,160,0,0,0
140292,22965,TCBY Hand Scooped Frozen Yogurt (Chunky Chocolate Cookie Dough),kids - 2.8 oz - 46 g,100,4,2,0,10,50,15,0,11,2,0,3,6,1,0,0,0
140293,22965,TCBY Hand Scooped Frozen Yogurt (Chunky Chocolate Cookie Dough),kids - 2.8 oz - 46 g,90,3,3,0,5,30,14,0,11,2,0,1,6,1,0,0,0
140294,22965,TCBY Hand Scooped Frozen Yogurt (Chunky Chocolate Cookie Dough),junior - 5 oz - 73 g,160,6,3,0,15,80,24,0,18,3,0,4,10,2,0,0,0
140295,22965,TCBY Hand Scooped Frozen Yogurt (Chunky Chocolate Cookie Dough),small - 7 oz - 91 g,200,8,4,0,20,90,30,0,23,4,0,5,13,3,0,0,0
140296,22965,TCBY Hand Scooped Frozen Yogurt (Chunky Chocolate Cookie Dough),regular - 9 oz - 146 g,320,12,6,0,30,150,48,0,36,6,0,8,20,4,0,0,0
140297,22965,TCBY Hand Scooped Frozen Yogurt (Chunky Chocolate Cookie Dough),large - 11 oz - 192 g,420,16,8,0,40,200,63,0,47,8,0,11,26,5,0,0,0
140298,22965,TCBY Hand Scooped Frozen Yogurt (Chunky Chocolate Cookie Dough),pint - 292 g,640,24,12,0,60,300,96,0,72,12,0,16,40,8,0,0,0
140299,22965,TCBY Hand Scooped Frozen Yogurt (Chunky Chocolate Cookie Dough),quart - 584 g,1280,48,24,0,120,600,192,0,144,24,0,32,80,16,0,0,0
140300,22965,TCBY Hand Scooped Frozen Yogurt (Chunky Chocolate Mint),junior - 5 oz - 73 g,140,5,4,0,10,60,22,0,18,3,0,2,10,2,0,0,0
140301,22965,TCBY Hand Scooped Frozen Yogurt (Chunky Chocolate Mint),small - 7 oz - 91 g,180,6,5,0,15,70,28,0,23,4,0,3,13,3,0,0,0
140302,22965,TCBY Hand Scooped Frozen Yogurt (Chunky Chocolate Mint),regular - 9 oz - 146 g,280,10,8,0,20,110,44,0,36,6,0,4,20,4,0,0,0
140303,22965,TCBY Hand Scooped Frozen Yogurt (Chunky Chocolate Mint),large - 11 oz - 192 g,370,13,11,0,25,140,58,0,47,8,0,5,26,5,0,0,0
140304,22965,TCBY Hand Scooped Frozen Yogurt (Chunky Chocolate Mint),pint - 292 g,560,20,16,0,40,220,88,0,72,12,0,8,40,8,0,0,0
140305,22965,TCBY Hand Scooped Frozen Yogurt (Chunky Chocolate Mint),quart - 584 g,1120,40,32,0,80,440,176,0,144,24,0,16,80,16,0,0,0
140306,22965,TCBY Hand Scooped Frozen Yogurt (Cookies & Cream),kids - 2.8 oz - 46 g,90,3,2,0,5,50,14,0,11,2,0,1,6,0,0,0,0
140307,22965,TCBY Hand Scooped Frozen Yogurt (Cookies & Cream),junior - 5 oz - 73 g,140,4,3,0,10,80,22,0,17,3,0,2,10,0,0,0,0
140308,22965,TCBY Hand Scooped Frozen Yogurt (Cookies & Cream),small - 7 oz - 91 g,180,5,3,0,15,90,28,0,21,4,0,3,13,0,0,0,0
140309,22965,TCBY Hand Scooped Frozen Yogurt (Cookies & Cream),regular - 9 oz - 146 g,280,8,5,0,20,150,44,0,34,6,0,4,20,0,0,0,0
140310,22965,TCBY Hand Scooped Frozen Yogurt (Cookies & Cream),large - 11 oz - 192 g,370,11,7,0,25,200,58,0,45,8,0,5,26,0,0,0,0
