food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
141301,22971,Ham & Swiss,,440,12,5,0,50,1690,56,3,7,28,25,8,25,25,0,0,0
141302,22971,Turkey Breast,,390,5,1.5,0,10,1480,59,4,6,27,25,2,8,30,0,0,0
141303,22971,Turkey Bacon Club,,440,8,2.5,0,25,1730,63,2,16,30,15,2,4,25,0,0,0
141304,22971,Tuna Salad,,420,9,2,0,10,990,55,4,3,29,8,2,6,35,0,0,0
141305,22971,Chicken Salad,,410,11,1.5,0,40,840,54,3,6,23,35,6,4,30,0,0,0
141306,22971,Egg Salad,,390,13,3,0,245,780,52,2,7,17,2,2,4,30,0,0,0
141307,22971,Garden Vegetable,,400,14,7,0,40,980,57,3,11,14,25,10,8,20,0,0,0
141308,22971,B.L.T.,,450,18,5,0,30,850,53,2,9,18,15,4,2,30,0,0,0
141309,22971,Toasted Chicken Club,,460,7,2.5,0,50,1170,70,2,14,30,10,10,4,35,0,0,0
141310,22971,Country Bun - whole wheat,,230,1,0,0,0,490,46,4,4,10,0,2,2,20,0,0,0
141311,22971,Country Bun - white,,240,1,0,0,0,510,49,2,5,9,0,0,2,25,0,0,0
141312,22972,Chicken Noodle,10 oz,120,2,1,0,20,880,18,1,2,5,25,15,2,25,0,0,0
141313,22972,Hearty Vegetable,10 oz,70,0,0,0,0,1060,14,3,2,4,6,0,4,6,0,0,0
141314,22972,Vegetable Beef Barley,10 oz,110,1.5,0,0,5,980,21,2,2,4,30,15,2,30,0,0,0
141315,22972,Turkey Rice,10 oz,120,1.5,0,0,0,1000,21,1,2,3,35,10,2,35,0,0,0
141316,22972,Split Pea,10 oz,150,2.5,2.5,0,5,970,27,5,3,8,6,15,2,35,0,0,0
141317,22972,Chicken Gumbo,10 oz,130,1.5,0.5,0,5,880,23,2,3,4,45,35,2,40,0,0,0
