food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
141514,22994,Original Roll,5.3 oz,510,10,3.5,0,5,370,73,4,31,10,0,0,0,0,0,0,0
141515,22994,Original Roll,6.5 oz,650,17,7,0,15,430,95,4,51,11,0,0,0,0,0,0,0
141516,22994,Pecan Sticky Roll,6.5 oz,690,22,5,0,5,420,91,5,45,12,0,0,0,0,0,0,0
141517,22994,Cinnachips,1 bag - 10 oz,1130,50,5.5,0,42,700,157,3,0,14,0,0,0,0,0,0,0
141518,22994,Cinnamon Twist,2.5 oz,260,13,3,0,5,190,33,1,11,3,0,0,0,0,0,0,0
141519,22994,Chocolate Twist,2.5 oz,250,12,3.5,0,5,110,34,2,12,4,0,0,0,0,0,0,0
141520,22994,Icing for Twists,1 oz,120,5,2.5,0,10,50,18,0,16,1,0,0,0,0,0,0,0
141521,22995,Mocha Chill,12 oz,260,4,2.5,0,15,210,46,1,44,11,0,0,0,0,0,0,0
141522,22995,Mocha Chill,12.5 oz,310,7,4,0,30,210,46,1,46,11,0,0,0,0,0,0,0
141523,22995,Mocha Chill,18 oz,400,6,3.5,0,25,320,70,1,66,17,0,0,0,0,0,0,0
141524,22995,Mocha Chill,18.5 oz,440,9,5,0,35,320,71,1,68,17,0,0,0,0,0,0,0
141525,22995,Coffee,12 oz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
