food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
141847,23006,Almonde Joy,1 scoop - 4 oz - 113 g,290,18,11,0,30,85,29,1,26,5,0,0,0,0,0,0,0
141848,23006,Banana,1 scoop - 4 oz - 113 g,240,12,8,0,30,55,28,0,25,4,0,0,0,0,0,0,0
141849,23006,Black Cherry,1 scoop - 4 oz - 113 g,240,12,8,0,30,60,30,0,24,4,0,0,0,0,0,0,0
141850,23006,Black Walnut,1 scoop - 4 oz - 113 g,290,18,8,0,35,60,25,1,22,6,0,0,0,0,0,0,0
141851,23006,Butter Brickle,1 scoop - 4 oz - 113 g,270,15,9,0,35,85,32,0,28,4,0,0,0,0,0,0,0
141852,23006,Butter Pecan,1 scoop - 4 oz - 113 g,290,18,8,0,30,105,28,1,24,5,0,0,0,0,0,0,0
141853,23006,Butterfinger,1 scoop - 4 oz - 113 g,270,14,8,0,30,85,32,1,22,5,0,0,0,0,0,0,0
141854,23006,Chocolate,1 scoop - 4 oz - 113 g,250,13,8,0,30,75,30,0,25,4,0,0,0,0,0,0,0
141855,23006,Chocolate Chip,1 scoop - 4 oz - 113 g,280,16,10,0,30,60,31,1,27,4,0,0,0,0,0,0,0
141856,23006,Choc. Chip Cookie Dough,1 scoop - 4 oz - 113 g,280,14,8,1,30,95,36,0,30,4,0,0,0,0,0,0,0
141857,23006,French Vanilla,1 scoop - 4 oz - 113 g,250,14,8,0,45,65,28,0,25,4,0,0,0,0,0,0,0
141858,23006,Mint Chocolate Chip,1 scoop - 4 oz - 113 g,280,16,10,0,30,60,31,1,27,4,0,0,0,0,0,0,0
141859,23006,Mississippi Mud,1 scoop - 4 oz - 113 g,270,14,9,1,30,110,32,0,26,4,0,0,0,0,0,0,0
141860,23006,Moose Tracks,1 scoop - 4 oz - 113 g,320,19,10,0,30,90,32,1,28,5,0,0,0,0,0,0,0
141861,23006,Peppermint,1 scoop - 4 oz - 113 g,260,14,8,0,35,65,30,0,26,4,0,0,0,0,0,0,0
141862,23006,Praline Pecan,1 scoop - 4 oz - 113 g,280,15,8,0,30,115,32,1,28,4,0,0,0,0,0,0,0
141863,23006,Pumpkin,1 scoop - 4 oz - 113 g,240,12,8,0,35,60,27,1,24,4,0,0,0,0,0,0,0
141864,23006,Strawberry,1 scoop - 4 oz - 113 g,230,12,7,0,30,55,27,0,23,4,0,0,0,0,0,0,0
141865,23006,Swiss Almond Chocolate,1 scoop - 4 oz - 113 g,280,15,9,0,30,85,31,1,27,5,0,0,0,0,0,0,0
141866,23006,White Choc. Raspberry,1 scoop - 4 oz - 113 g,290,15,10,0,30,150,35,1,31,4,0,0,0,0,0,0,0
141867,23006,White Tiger Paws,1 scoop - 4 oz - 113 g,280,14,8,1,30,110,33,0,27,4,0,0,0,0,0,0,0
141868,23006,Sherbet - Vanilla,1 scoop - 4 oz - 113 g,250,14,9,0,35,65,27,0,23,4,0,0,0,0,0,0,0
141869,23006,Sherbet - Orange,1 scoop - 4 oz - 113 g,100,2,1.5,0,10,15,20,0,17,1,0,0,0,0,0,0,0
141870,23006,Watermelon,1 scoop - 4 oz - 113 g,100,2,1.5,0,10,15,20,0,17,1,0,0,0,0,0,0,0
141871,23006,Sugar Cone,13 g,50,0.5,0,0,0,55,10,0,4,1,0,0,0,0,0,0,0
141872,23006,Cup Cone,5 g,20,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0
141873,23006,Waffle Cone,23 g,90,1,0,0,0,35,20,1,7,2,0,0,0,0,0,0,0
