food_id,menu_id,food_name,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,vit_a,vit_c,calcium,iron,is_vegetarian,is_vegan,is_gf
141980,23030,Beef Ribs,6 oz - 170 g,590,48,19,0,135,1250,10,0,0,36,0,0,0,0,0,0,0
141981,23030,Brisket,6 oz - 170 g,370,17,6,0,160,120,0,0,0,51,0,0,0,0,0,0,0
141982,23030,Chicken Breast,6 oz - 170 g,280,3.5,1,0,85,290,24,0,28,32,0,0,0,0,0,0,0
141983,23030,Half Chicken,6 oz - 170 g,500,35,10,0,145,260,2,0,2,43,0,0,0,0,0,0,0
141984,23030,Ham,6 oz - 170 g,410,29,10,0,105,2020,0,0,0,37,0,0,0,0,0,0,0
141985,23030,Hot Links,6 oz - 170 g,490,44,15,0,115,1720,2,0,2,21,0,0,0,0,0,0,0
141986,23030,Pork Butt,6 oz - 170 g,350,29,10,0,95,2390,4,0,0,21,0,0,0,0,0,0,0
141987,23030,Pork Ribs,6 oz - 170 g,410,30,10,0,90,1410,17,0,6,21,0,0,0,0,0,0,0
141988,23030,Pork Tenderloin,6 oz - 170 g,250,9,3,0,100,1120,16,1,0,32,0,0,0,0,0,0,0
141989,23030,Smoked Sausage,6 oz - 170 g,580,52,18,0,120,1610,2,0,2,23,0,0,0,0,0,0,0
141990,23030,Turkey,6 oz - 170 g,380,20,6,0,150,130,0,0,0,47,0,0,0,0,0,0,0
141991,23030,Turkey Breast,6 oz - 170 g,320,13,3.5,0,125,105,0,0,0,49,0,0,0,0,0,0,0
141992,23030,Turkey Sausage,6 oz - 170 g,270,17,4.5,0,110,1610,5,0,5,25,0,0,0,0,0,0,0
141993,23030,Cheese Burger,267 g,710,37,14,0,135,900,40,3,6,51,0,0,0,0,0,0,0
141994,23030,Burger,246 g,640,32,11,0,120,640,39,3,5,47,0,0,0,0,0,0,0
141995,23030,Chili,1 cup - 245 g,320,19,7,0,95,600,11,2,0,27,0,0,0,0,0,0,0
141996,23031,Broccoli Salad,6 oz - 170 g,120,9,1,0,5,200,10,4,4,4,0,0,0,0,0,0,0
